番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
Love Live! 学园偶像 电影,9.9,1674298,1767742,38286,8064,原创|校园|偶像,1
Love Live! School Idol Project,9.7,22438995,1767742,1836054,11067,校园|音乐|偶像|社团,0
LoveLive! Sunshine!! 学园偶像 电影 彩虹彼端,9.7,717005,1258662,20844,3225,原创|音乐|偶像|社团,1
Love Live! Sunshine!!,9,16547949,1258662,1098437,3895,音乐|偶像,0
赛马娘 第二季,9.9,9166790,1107852,107186,22838,游戏改|运动|偶像|催泪,1
22/7,9.3,15229445,871809,229636,12783,原创|日常|萌系|音乐,1
Love Live! School Idol Project（第二季）,9.7,26682067,1767742,1554145,8442,校园|音乐|偶像|社团,0
魔法少女 俺,9.3,11558051,831541,269606,6318,搞笑|漫画改|偶像|魔法,1
佐贺偶像是传奇 卷土重来,9.8,4470852,763247,40503,935,原创|偶像|搞笑|音乐,1
赛马娘,9.7,13543390,1107856,270044,10809,游戏改|运动|偶像,1
催眠麦克风-Division Rap Battle- Rhyme Anima,7,10881534,640662,241802,8273,偶像|音乐,1
少女☆歌剧 Revue Starlight,9.8,15039986,650507,277264,26482,音乐|奇幻|战斗|偶像,0
神推偶像登上武道馆我就死而无憾,9.8,11250479,625297,289787,20271,漫画改|日常|偶像|萌系,1
赛马娘四格,9.6,4264492,1107854,6903,1555,游戏改|日常|运动|偶像,1
月歌。THE ANIMATION2,7.9,2185861,636484,23228,596,原创|声控|偶像|日常,1
IDOLiSH7-偶像星愿- Second BEAT!,9.8,4544497,652273,85924,3870,游戏改|声控|偶像,1
IDOLiSH7-偶像星愿-,9.8,11895182,652273,233705,6729,音乐|偶像|游戏改,0
月歌,9.6,10585751,636485,538788,2201,乙女|音乐|偶像,0
偶像荣耀/IDOLY PRIDE,9.8,4779223,471875,55891,6377,原创|偶像|奇幻,1
偶像大师 灰姑娘女孩,9.3,7368654,543501,224292,1175,音乐|偶像|励志|少女,0
Love Live! Sunshine!! 第二季,9.4,6469408,1258662,271693,5771,音乐|校园|偶像|社团,0
满溢的水果挞,9.6,3726085,396134,43651,3708,漫画改|日常|萌系|偶像,1
佐賀偶像是傳奇（僅限港澳台地區）,9.8,2023849,338585,45847,5718,原创|搞笑|偶像,0
Love Live！虹咲学园学园偶像同好会,9.8,5567571,318653,126502,8561,校园|偶像|音乐,1
A3!满开剧团 秋组&冬组篇,9.4,873805,290238,11014,478,游戏改|音乐|偶像,1
偶像梦幻祭,8.7,7139495,252240,187625,2796,游戏改|音乐|偶像|声控,1
偶像大师,9.8,3094673,259067,279738,2529,校园|音乐|催泪|偶像,0
歌之☆王子殿下 真爱REVOLUTIONS,9.3,6998125,325852,300774,490,音乐|声控|乙女|偶像,0
A3!满开剧团,9.4,2676226,290238,39035,1470,游戏改|偶像|音乐,1
超时空要塞 Frontier,9.5,3612073,201364,100004,1469,科幻|热血|机战|偶像,0
TSUKIPRO,9.2,3580788,186735,41685,861,音乐|偶像|原创,0
梦之祭,9.1,3888494,201334,92506,139,偶像|原创,0
偶像选举,8,3032228,155208,50309,246,偶像|音乐|日常,0
音乐少女,7.8,2741376,152624,30345,736,搞笑|音乐|偶像|日常,0
B-PROJECT～绝顶＊Emotion～,8,2648189,150972,10034,381,音乐|偶像|原创,1
武士弗拉明戈,9.3,703557,141599,13607,907,搞笑|科幻|热血|偶像,0
偶像大师 灰姑娘女孩 第2期,9.2,2852280,543501,103077,753,音乐|励志|偶像|少女,0
普通女高中生要做当地偶像,9.7,1162496,134496,22830,1156,偶像,0
"Wake Up, Girls! 新章",8,947542,127139,8398,435,音乐|偶像|社团|原创,1
高校星歌剧 第二季,9.5,3530382,316083,102110,733,音乐|校园|原创|偶像,0
歌塑世界,9,2148000,123328,13718,695,原创|校园|音乐|偶像,0
星梦手记,8.4,1845336,113462,38097,102,科幻|偶像|励志|原创,0
AKB0048 第一季,9.6,3769850,118577,101514,624,科幻|音乐|热血|偶像,0
黑白小姐 第三季,8.9,1512098,171404,26665,169,日常|泡面|科幻|偶像,0
黑白小姐 第二季,8.9,2058907,171404,45958,156,萌系|搞笑|泡面|偶像,0
超时空要塞 Macross,9.5,1809759,118507,67287,527,科幻|热血|机战|偶像,0
夏色奇迹,9.4,1108406,104848,67832,589,日常|治愈|偶像|社团,0
ARGONAVIS from BanG Dream! 梦想协奏曲,9.5,1813046,102963,20390,1064,音乐|偶像|励志,1
高校星歌剧 第三季,9.5,2589346,316083,30011,1223,原创|音乐|偶像|声控,0
寻找满月,9.8,1728742,97973,29181,633,催泪|少女|治愈|奇幻,0
