番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
食戟之灵 餐之皿,9.4,9633182,3573975,64907,2515,校园|美食|搞笑|热血,1
卫宫家今天的饭,9.8,72088752,3247912,1108532,51722,日常|美食,0
食戟之灵,9.4,165102903,3573973,3924786,8719,美食|热血,1
食戟之灵 贰之皿,9.4,89107558,3573975,1838555,7087,热血|美食,1
异世界食堂,9.4,45213088,1831071,988431,9853,小说改|奇幻|美食|架空,0
请问您今天要来点兔子吗？,9.7,19774930,2636115,823823,11500,萌系|日常|美食|治愈,1
爱吃拉面的小泉同学,9.2,26467364,1377181,555555,8931,治愈|美食|漫画改,0
请问您今天要来点兔子吗？？,9.7,22182089,2636115,863415,8854,萌系|日常|美食|萝莉,1
粗点心战争,9.2,23088604,1325808,823028,3238,日常|搞笑|美食,1
粗点心战争2,9.1,9070385,1325808,105948,3784,日常|美食|漫画改,1
迷糊餐厅 WORKING!!,9.5,4910482,787306,86512,3002,搞笑|日常|声控|美食,1
厨神小当家2,6.3,4013633,693215,24566,1252,漫画改|奇幻|冒险|美食,1
厨神小当家2（中配）,6.8,1529976,693215,14454,559,漫画改|奇幻|冒险|美食,1
宅饮,9.3,6722139,427775,65293,1888,日常|美食|漫画改,0
异世界居酒屋～古都阿伊特力亚的居酒屋阿信～,9.2,13251014,414523,143387,2651,小说改|美食|架空,0
厨神小当家,5,8744075,693215,108505,7759,漫画改|奇幻|冒险|美食,1
迷糊餐厅 WORKING!!!,9.7,13277430,787306,334142,2806,搞笑|日常|声控|美食,1
梦色蛋糕师,9.8,14390778,316450,360175,2611,少女|美食|奇幻|日常,0
和歌子酒 动画,9.6,13145115,291534,56151,1583,日常|泡面|治愈|美食,0
银之匙 Silver Spoon 第一季,9.8,6916599,301899,160902,3946,日常|校园|热血|美食,0
迷糊餐厅 WORKING’!!,9.6,2793283,787306,69080,1924,搞笑|日常|声控|美食,1
幸腹涂鸦,9.5,4728317,216638,129029,1049,萌系|日常|治愈|美食,0
猎龙飞船,8.8,3149872,188451,27435,4954,漫画改|奇幻|架空|美食,1
面包带来和平！,8.8,3601682,179982,34020,327,萌系|校园|日常|治愈,0
舞伎家的料理人,9.9,684044,166078,4091,119,漫画改|日常|美食,0
银之匙 Silver Spoon 第二季,9.8,5044886,301899,92954,3224,日常|热血|校园|美食,0
天堂餐馆,9.6,232695,112743,1620,541,日常|少女|治愈|美食,1
给你做饭了！,6.7,2686457,101044,29234,210,萌系|校园|泡面|日常,0
雨色可可,8.1,3654470,171946,33038,107,日常|治愈|美食,0
荷包蛋的蛋黄什么时候戳破才好？,9.2,3422212,89694,225719,630,搞笑|日常|美食,0
厨神小当家（中配）,5.2,3868782,693215,61159,2360,漫画改|奇幻|冒险|美食,1
女仆咖啡厅,9.6,1219327,86224,15932,845,搞笑|少女|治愈|美食,0
食戟之靈 神之皿（僅限港澳台地區）,8.6,764086,108577,10359,815,漫画改|校园|奇幻|美食,0
夏之岚,9.5,319409,84829,2748,278,奇幻|日常|美食,0
西洋古董洋果子店,9.4,401553,56036,14270,161,日常|治愈|美食,0
宫河家的空腹,9.1,926749,49550,11854,375,萌系|日常|泡面|治愈,0
旅街LateShow,9,453503,48752,6618,103,日常|治愈|美食,0
夏之岚！ ～春夏冬中～,9.3,149321,84829,1502,179,奇幻|日常|美食|穿越,0
