番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
辉夜大小姐想让我告白～天才们的恋爱头脑战～,9.8,226766379,7792008,4579472,219768,恋爱|校园|智斗|日常,1
OVERLORD Ⅲ,9.4,330780725,8682816,3776233,80791,小说改|奇幻|智斗|战斗,0
JOJO的奇妙冒险 黄金之风,9.8,360445042,5590610,3917946,235890,热血|智斗|战斗|漫画改,1
NO GAME NO LIFE 游戏人生,9.8,63132623,4200859,1661540,60061,奇幻|智斗|架空|穿越,0
约定的梦幻岛 第二季,2.7,33844113,3870204,322724,106341,漫画改|热血|冒险|励志,1
约定的梦幻岛,9.8,68900949,3870204,868847,75537,热血|智斗|励志|漫画改,1
名侦探柯南,9.8,255032988,3738538,5490969,65756,漫画改|推理|智斗,1
无能力者娜娜,9.4,35439981,1477587,292475,78501,漫画改|校园|智斗|催泪,1
弹丸论破3 -未来篇-,8,34970935,1575698,927080,4205,热血|智斗|推理,0
名侦探柯南 唐红的恋歌,8.9,3581007,3738536,56642,2398,漫画改|推理|智斗,1
忧国的莫里亚蒂 后半,9.8,2311556,1319932,23098,1444,漫画改|架空|声控|智斗,1
樱子小姐的脚下埋着秘密,9.4,24918062,1254430,623936,5270,智斗|日常|推理,0
忧国的莫里亚蒂,9.6,18422375,1319933,179568,15880,漫画改|智斗|声控|架空,1
弹丸论破3 -绝望篇-,8.3,40417298,1575698,898395,5768,热血|校园|智斗,0
记录的地平线,9.7,27301936,1784989,508148,8881,奇幻|智斗|架空|穿越,0
超自然9人组,9.1,14410392,909482,276941,4479,小说改|智斗|神魔,0
ACCA13区监察课,9.8,11990756,857550,238859,8948,漫画改|奇幻|智斗,0
全职猎人,9.8,29480224,801958,808878,9016,奇幻|热血|智斗|战斗,0
名侦探柯南（中配）,9.8,157769419,3738534,2543420,17725,漫画改|智斗|推理,1
少女与战车,9.6,8172505,685618,382805,8552,科幻|智斗|日常,1
攻壳机动队 STAND ALONE COMPLEX,9.8,8170569,943236,159652,4571,科幻|热血|智斗,0
逆转裁判,8.7,22793057,717148,1017406,2826,推理|智斗|游戏改|职场,0
记录的地平线 第二季,9.5,39091503,1784989,627061,7010,奇幻|智斗|穿越|冒险,0
歌舞伎町夏洛克,7.5,12381989,554100,159094,9910,原创|推理|冒险|声控,1
[C]THE MONEY OF SOUL AND POSSIBILITY CONTROL,9.2,4958425,543121,77592,2970,奇幻|战斗|智斗|原创,0
鲁邦三世VS名侦探柯南THE MOVIE,9.7,3449322,3738543,70283,2189,原创|智斗|推理,0
名侦探柯南 Episode“ONE” 变小的名侦探,9.7,3649227,3738543,97400,1987,漫画改|推理|智斗,0
江户川柯南失踪事件～史上最糟糕的两天～,9.5,3493923,3738543,43781,1774,漫画改|推理|智斗,0
怪盗基德,9.8,7938787,680577,111069,3892,漫画改|智斗,0
