番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
黑塔利亚 The Beautiful World 第5期,9.7,6121417,990513,229867,1755,萌系|日常|声控|泡面,0
机巧魔神,8.9,985112,136453,8290,393,科幻|热血,0
环战公主 CIRCLET PRINCESS,7.1,3589159,217927,27627,1199,社团|战斗|游戏改,1
秀逗魔导士 第三季,9.5,582204,115677,24966,174,时泪|奇幻|热血|魔法,0
灼热乒乓妹,9.2,1964657,104164,83282,398,漫画改|校园|社团|运动,1
Fate/Zero 第一季,9.6,96360867,3778495,3571106,19292,时泪|奇幻|战斗|热血,0
怪物猎人物语 RIDE ON 第二季,9.4,435224,17893,5788,143,奇幻|战斗|少儿,0
逆转裁判,8.7,22793057,717148,1017406,2826,推理|智斗|游戏改|职场,0
武装炼金,9.3,752699,50916,17356,271,热血,0
我的女神 缤纷之翼,9.8,651462,253061,11965,720,时泪|治愈|奇幻,1
飞篮扣杀,9.1,92408,21453,371,159,科幻|架空|原创,1
轻羽飞扬！,4.1,12735479,626794,303633,60991,社团|运动|漫画改,1
转生成蜘蛛又怎样！,9,156737563,4194919,838133,66060,奇幻|穿越|冒险|励志,1
此花亭奇谭（中配）,9.2,2417171,2138432,23139,608,萌系|日常|治愈|漫画改,0
物怪,9.5,242387,33676,5845,146,奇幻|日常|治愈,0
棒球大联盟 2,9.6,2905099,66611,27683,673,运动|漫画改,0
Love Live! Sunshine!!,9,16547004,1258618,1098432,3895,音乐|偶像,0
薄樱鬼 第一章 京都乱舞,9.3,414192,420795,17912,134,声控|时泪,0
蜡笔小新 呼风唤雨！夕阳下的春日部男孩,9.8,1366613,1401310,32546,817,萌系|搞笑|少儿,1
织田肉桂信长,9.7,7971272,520659,110277,7673,漫画改|搞笑|日常|萌系,1
银盘万花筒,9.2,254802,31423,4241,111,运动|小说改,0
堀桑与宫村君,9.8,3697113,299267,18950,2566,恋爱,0
哆啦A梦 大雄和发条都市冒险记,9.4,4202898,1473715,170775,260,时泪|少儿|架空|冒险,0
银河英雄传说 我的征途是星辰大海,9.6,803872,299796,9554,232,热血|科幻|智斗|声控,0
我的长腿叔叔,9.4,461616,34619,15189,142,奇幻,0
魔笛MAGI 辛巴达的冒险,9.5,11651700,1112831,187994,1378,奇幻|战斗|架空|冒险,0
团团喵,9.7,304775,15922,646,227,漫画改,0
Ragnastrike Angels,8.6,2518218,83233,2832,301,游戏改,0
