番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
关于我转生变成史莱姆这档事 第二季,9.1,171235032,8518185,1209451,174082,小说改|奇幻|战斗|魔法,1
关于我转生变成史莱姆这档事,9.4,353440903,8518184,4569985,109030,小说改|奇幻|战斗|魔法,1
Re：从零开始的异世界生活 新编集版,9.6,66808120,8647336,1455699,33918,穿越|奇幻|魔法|架空,1
OVERLORD Ⅲ,9.4,330760284,8682591,3776126,80789,小说改|奇幻|智斗|战斗,0
OVERLORD Ⅱ,9.6,314674096,8682591,3910342,71352,小说改|奇幻|战斗|魔法,0
这个勇者明明超强却过分慎重,9.7,146944129,4548561,1427340,122704,小说改|穿越|奇幻|战斗,1
盾之勇者成名录,7.3,211153432,4031135,3574898,243997,小说改|奇幻|魔法|架空,1
魔法禁书目录 第三季,8,94258125,4959993,1518202,55902,小说改|热血|科幻|奇幻,1
魔卡少女樱 CLEAR CARD篇,9.8,58576801,3708156,2096553,46148,少女|魔法|漫画改,0
公主连结Re:Dive,9.5,78458497,2810858,1714595,49375,奇幻|战斗|魔法|冒险,1
某科学的一方通行,6.6,63772518,2695484,1150067,68439,漫画改|科幻|战斗|魔法,1
魔女之旅,9.7,56284767,2664964,813629,70540,小说改|魔法|奇幻|架空,1
约会大作战 第三季,7.8,55896274,4772847,1443175,38495,小说改|萌系|奇幻|战斗,1
君主·埃尔梅罗二世事件簿 魔眼收集列车 Grace note,9.7,46026694,2238382,568590,39464,小说改|奇幻|魔法|冒险,1
从零开始的魔法书,9,46301290,2190261,992232,8795,小说改|奇幻|魔法|架空,1
黑色四叶草,9.5,207163820,2213107,2255316,99015,战斗|热血|魔法|漫画改,1
我，不是说了能力要平均值么！,8.2,57386902,2086249,728655,52621,小说改|穿越|奇幻|萌系,1
骑士&魔法,8.7,72794399,1976778,1047075,10269,小说改|机战|奇幻|魔法,1
重来吧，魔王大人！,8.2,54605576,1791078,912919,36247,小说改|奇幻|魔法|穿越,1
异界少女召唤术,6.9,32642465,1681893,519338,16848,小说改|奇幻|战斗|魔法,1
魔法少女小圆,9.8,24344309,2196679,979096,33030,奇幻|魔法|穿越|原创,0
魔法纪录 魔法少女小圆外传,9.5,17854987,2196678,264551,13020,游戏改|奇幻|战斗|萌系,1
百变小樱,9.8,53808743,3708156,3732396,20082,少女|魔法,0
刺客守则,6.5,33884267,1478454,448726,20561,小说改|奇幻|战斗|魔法,1
街角魔族,9.8,29880171,1459751,442328,32553,漫画改|日常|萌系|搞笑,1
Fate/kaleid liner 魔法少女☆伊莉雅 Prisma☆Phantasm,9.6,3987407,1941167,64740,6421,漫画改|校园|魔法|搞笑,1
熊熊勇闯异世界,8.3,33788703,1299499,336241,15886,穿越|魔法|萌系|小说改,1
八男？别闹了！,5.4,44331433,1202025,733751,54643,小说改|穿越|奇幻|魔法,1
Fate/stay night 06版,9.5,19889111,5239937,702336,11359,奇幻|战斗|魔法|游戏改,0
魔法少女小圆 剧场版 [新篇] 叛逆的物语,9.9,2869765,2196678,87093,22856,原创|战斗|奇幻|魔法,1
魔法少女小圆 剧场版 [前篇] 起始的物语,9.8,1348952,2196679,33965,3164,原创|奇幻|战斗|魔法,1
魔法少女小圆 剧场版 [后篇] 永远的物语,9.8,1093396,2196679,24126,2941,原创|战斗|奇幻|魔法,1
魔法少女☆伊莉雅 2WEI!,9.5,11903930,1941167,215305,3221,萌系|校园|战斗|热血,0
龙与魔女/BURN THE WITCH,9.8,5711689,873113,41006,14814,漫画改|魔法|架空,1
玛纳利亚的密友（Mysteria Friends）/巴哈姆特之怒/玛娜利亚魔法学院,9.8,10468165,837596,128426,10763,校园|魔法|游戏改|日常,1
Fate/kaleid liner 魔法少女☆伊莉雅：雪下的誓言,9.6,4263182,1941167,95594,5700,热血|奇幻|战斗|魔法,1
魔法少女 俺,9.3,11557790,831536,269606,6318,搞笑|漫画改|偶像|魔法,1
魔法少女☆伊莉雅 3REI!!,9.6,8522547,1941167,167273,3454,奇幻|战斗|魔法|漫画改,0
爱丽丝与藏六,9.3,7288474,545516,223022,1928,魔法|日常|治愈|萝莉,0
终末的伊泽塔,9.3,7683262,520531,243351,2564,战斗|魔法|原创|架空,0
飞翔的魔女,9.8,5049721,546940,93764,8889,魔法|日常|治愈,0
魔法少女育成计划,7.9,9959600,511740,418342,3323,魔法,0
巴哈姆特之怒 GENESIS,9.5,5006536,615814,99157,2685,奇幻|魔法|神魔|架空,0
宝石幻想 光芒重现,9.6,5572538,464652,85932,4900,校园|魔法|原创|日常,1
王之逆袭：意志的继承者,6.6,6262154,432474,25117,1879,奇幻|战斗|冒险|架空,1
Concrete Revolutio 超人幻想 第一季,9.5,8159093,498883,167209,1600,热血|奇幻|战斗|魔法,0
魔法使的新娘（僅限台灣地區）,9.5,1165856,374301,27708,3540,恋爱|奇幻|魔法|漫画改,0
魔法少女什么的已经够了啦。,9,6913835,398442,63054,714,萌系|日常|魔法,0
魔法律事务所 第二季,8.6,2773948,328866,8563,777,漫画改|奇幻|魔法,1
结城友奈是勇者 鹫尾须美之章&勇者之章,9.6,4581710,536190,82810,4751,少女|魔法|原创|冒险,0
结城友奈是勇者,9.6,2566715,536191,63374,4288,战斗|魔法|冒险,0
剧场版总集篇 OVERLORD 不死者之王,9.3,15333686,8682591,114218,2464,奇幻|战斗|魔法,0
巴哈姆特之怒 VIRGIN SOUL,7,10231497,615814,247826,4493,奇幻|战斗|魔法|架空,0
剧场版总集篇 OVERLORD 漆黑的英雄,9.2,16484165,8682591,74224,2153,奇幻|战斗|魔法,0
ViVid Strike!,8.5,5767851,482055,109519,686,战斗|魔法,0
战斗女子高校,7.9,3341839,267041,56138,294,校园|魔法|游戏改|战斗,0
TRINITY SEVEN 七人魔法使 剧场版 2,9,1537242,1119761,5855,1142,奇幻|魔法,1
魔卡少女樱 被封印的卡片,9.8,582414,3708156,7471,2783,魔法,1
魔卡少女樱 香港之旅,9.5,2021758,3708154,49451,1479,时泪|萌系|奇幻|少女,0
OVERLORD OAD,9.3,12556517,8682591,36240,2307,热血|奇幻|魔法|架空,0
神装少女小缠,8.7,5607749,226829,113746,538,魔法|神魔|原创,0
SHUFFLE,9.1,2496599,223511,41244,803,游戏改|奇幻|魔法|神魔,0
魔法少女奈叶,9.7,1180642,482055,14861,1402,热血|魔法,0
魔女的使命 OVA,9.3,2048770,215040,52583,464,校园|魔法,0
魔法老师涅吉! 第一季,9,1906054,239791,33876,519,萌系|日常|魔法,0
怪盗圣少女,9.8,197884,207318,2056,1842,萌系|少女|魔法,1
魔法少女☆伊莉雅 OVA,9.2,2904361,1941167,30480,841,萌系|校园|少女|魔法,0
剧场版 魔法禁书目录炭 SP,9.1,5054182,4959993,73543,1203,科幻|战斗|魔法,0
魔法少女什么的已经够了啦。第二季,9.1,2789653,398442,16262,581,萌系|魔法|日常|泡面,0
魔卡少女樱 知世的影像活跃日记,9.6,2378650,3708154,25426,970,少女|魔法,0
幼女戰記（僅限港澳台地區）,9.7,497966,144305,10162,1715,小说改|穿越|奇幻|战斗,0
不可思议星球的双胞胎公主,9.3,2958886,182212,117176,565,奇幻|少女|魔法,0
小魔女学园,9.7,1430688,979100,15620,1320,萌系|奇幻|搞笑|校园,0
绝对防卫利维坦,9.1,1208989,126723,17863,321,萌系|奇幻|魔法|战斗,0
魔法少女奈叶ViVid,8.7,5380002,482054,122008,412,萌系|少儿|热血|魔法,0
海物语,8.4,529913,111643,13405,144,奇幻|魔法,0
魔卡少女樱 Clear Card篇 序幕 小樱与两人的小熊,9.6,2383654,3708156,28768,1432,魔法|漫画改,0
结城友奈是勇者 -鹫尾须美之章-,9.6,1120125,536190,15087,1107,少女|魔法,0
宝石宠物 Tinkle☆（第二季）,9.8,2317510,109147,46773,562,萌系|治愈|魔法,0
小马宝莉 友谊的魔力 第七季,9.7,7923936,496368,159931,2093,魔法,0
不可思议星球的双胞胎公主 Gyu,9.5,1878238,182212,32282,435,奇幻|战斗|少女|少儿,0
秀逗魔导士 第一季,9.8,2035045,115677,5818,848,时泪|奇幻|热血|魔法,0
咕噜咕噜魔法阵 新系列,9.6,2171573,98732,41508,963,搞笑|科幻|魔法|漫画改,1
魔法使的新娘 等待繁星之人（僅限台灣地區）,9.5,52103,374301,1020,295,恋爱|奇幻|魔法,0
棺姬嘉依卡（僅限港澳台地區）,9,87797,107350,2875,168,小说改|战斗|魔法|冒险,0
小马宝莉 友谊的魔力 第六季 (中配）,9.7,6318008,496368,106061,1176,萌系|魔法|日常|少儿,0
魔法少女☆伊莉雅（僅限港澳台地區）,9.6,156321,74029,6384,415,漫画改|魔法|冒险|战斗,0
小马宝莉 友谊的魔力 第八季（中配）,9.7,6867009,496368,51889,678,少女|魔法,0
魔法骑士,9.4,1039121,61449,20612,243,奇幻|少女|魔法|架空,0
棺姬嘉依卡 AVENGING BATTLE（僅限港澳台地區）,8.9,49890,107350,1,142,小说改|战斗|魔法,0
百變小櫻Clear咭（僅限港澳地區）,9.4,785393,58345,21366,475,少女|魔法|漫画改,0
彩虹小马 小马国女孩2：彩虹摇滚,9.7,1856977,496368,39911,649,萌系|少女|魔法,0
魔法老师涅吉!?,8.7,1007446,239791,15064,213,萌系|日常|魔法,0
舞-HIME,9.4,532767,58235,13344,397,奇幻|热血|魔法,0
小马宝莉 第五季 (中配）,9.6,6308344,496368,35126,505,少儿|魔法|少女,0
魔法使的注意事项,8.9,306399,62174,5775,116,奇幻|治愈|魔法,0
魔法少女奈叶 The MOVIE 2nd A’s,9.7,1006816,482055,27095,542,魔法,0
魔女的考验【中文】,9.5,1525570,84300,34760,178,萌系|奇幻|少女|魔法,0
魔女的考验【日语】,9.6,1428481,84300,32006,333,魔法|少儿,0
快盗天使 BREAK,8.3,499992,62654,5740,125,魔法|原创,0
魔法护士小麦R,8.9,989333,45188,46434,112,萌系|战斗|魔法,0
彩虹小马 魔法公主特别篇,9.5,1747676,496368,10811,281,萌系|少女|魔法,0
彩虹小马 小马国女孩4：无尽之森传奇,9.5,1082381,496368,22076,330,萌系|少女|魔法,0
黑魔女学园,9.4,1029052,34158,16371,142,奇幻|日常|魔法,0
這個勇者明明超TUEEE卻過度謹慎！（僅限台灣地區）,9.5,461137,32286,7555,548,小说改|穿越|奇幻|战斗,0
破天荒游戏,8.8,282186,28366,6096,154,奇幻|少女|魔法,0
魔法使的注意事项 夏季的天空,8.9,169536,62174,2455,101,奇幻|治愈|魔法,0
魔王大人、RETRY！（僅限港澳台地區）,7.7,195594,24644,3163,207,小说改|奇幻|魔法|穿越,1
科學一方通行（僅限台灣地區）,7.3,200286,24294,3877,273,漫画改|科幻|魔法|校园,0
秀逗魔导士 第二季,9.7,615461,115677,10553,295,时泪|奇幻|热血|魔法,0
我是小甜甜,9.6,348561,20463,8017,148,魔法,0
我不是說了能力要平均值嗎？（僅限港澳台地區）,8.4,192857,16882,4406,314,小说改|穿越|奇幻|萌系,1
秀逗魔导士 第三季,9.5,582204,115677,24966,174,时泪|奇幻|热血|魔法,0
刺客守則（僅限港澳台地區）,6.2,96650,15348,2226,105,小说改|奇幻|战斗|魔法,1
秀逗魔导士 第四季 上,9.1,221304,115677,4170,108,时泪|奇幻|热血|魔法,0
宝石宠物 Sunshine（第三季）,7.4,400039,109147,5846,104,萌系|治愈|魔法,0
Lapis Re:LiGHTs（僅限港澳台地區）,9.4,67679,8147,999,116,校园|偶像|少女|魔法,0
