番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
碧蓝之海,9.9,96449807,3147167,889375,97986,搞笑|校园|社团|运动,1
装甲重拳/MEGALOBOX 第二季,9.9,5960875,2118455,27326,4333,原创|热血|科幻|运动,1
装甲重拳/MEGALOBOX,9.8,48032290,2118462,439406,64073,运动|科幻|原创|热血,1
流汗吧！健身少女,9.7,38199630,1596270,527886,18283,漫画改|日常|运动,0
强风吹拂,9.9,32056226,1326857,515528,61536,运动|励志|小说改|热血,1
Free!-Road to the World-梦,9.7,941481,1619750,35790,1981,社团|校园|运动,1
赛马娘 第二季,9.9,9166790,1107852,107186,22838,游戏改|运动|偶像|催泪,1
Free!-Dive to the Future-,9.5,13161083,1619751,359717,5506,热血|社团|运动|小说改,1
Free!,9.6,10187337,1619750,337614,4681,校园|运动,1
黑子的篮球,9.1,19308163,1207316,915773,3014,运动|热血|声控|社团,1
弦音 -风舞高中弓道部-,9.5,12503762,822343,251558,9918,小说改|校园|社团|运动,1
苍之彼方的四重奏,7.7,18400495,793793,473429,1964,奇幻|运动|游戏改,0
赛马娘,9.7,13543205,1107850,270044,10809,游戏改|运动|偶像,1
轻羽飞扬！,4.1,12735786,626800,303641,60993,社团|运动|漫画改,1
排球少年！！,9.9,15070607,741121,283139,25513,漫画改|热血|校园|运动,1
赛马娘四格,9.6,4264492,1107854,6903,1555,游戏改|日常|运动|偶像,1
黑子的篮球 第3期,9.3,49900924,1207316,1885425,2256,运动|热血|声控|社团,1
舞动青春,9.6,17044176,519011,340016,9305,运动|漫画改|励志,0
头文字D First Stage,9.8,20986924,590483,566316,4985,时泪|运动|热血,0
花牌情缘 第三季,7.8,6787551,574361,78844,9344,漫画改|热血|恋爱|少女,1
黑子的篮球 第2期,9.2,15288506,1207316,924424,1730,运动|热血|声控|社团,1
星合之空,9.7,7531350,418432,122269,12442,原创|运动|校园,1
花牌情缘,8.6,4792811,574361,111147,2851,少女|运动|校园|热血,0
网球王子,9.6,21316791,618536,687031,3198,校园|运动|奇幻,1
萝球社！,9.3,3739448,368117,225713,1297,校园|萌系|运动|小说改,0
ANIMAYELL!,9.5,3256075,338294,58433,3084,萌系|校园|社团|运动,1
Free! -Eternal Summer-,9.7,5238224,1619747,229328,2511,校园|运动,1
体操武士,9.8,3520123,321266,29080,6269,运动|搞笑|治愈|励志,1
攀岩少女！,9,3560152,309002,31572,2277,漫画改|运动,1
乒乓,9.8,4238175,297394,41513,11615,漫画改|校园|运动|热血,1
花样滑冰Stars,2.7,3640137,284018,26080,9649,原创|运动|声控,1
2.43清阴高中男子排球社,8.7,2008096,268569,17323,1442,小说改|运动|社团|励志,1
钻石王牌 act II 后半,9.8,9635797,316357,95802,4624,漫画改|校园|运动|社团,1
剧场版「High☆Speed! -Free! Starting Days-」,9.7,52366,1619751,942,1683,校园|运动,1
新网球王子 OVA 对战Genius10,9.3,8934380,618536,343202,940,运动|热血|社团,1
DAYS,8.6,8340508,210194,231366,518,热血|校园|运动,0
火之丸相扑,9.2,7739426,194363,45637,2732,热血|漫画改|运动,0
MIX,9.8,6377562,192546,42375,4431,漫画改|运动|社团|恋爱,1
美妙射击部,9.4,2348729,186814,31001,2218,漫画改|萌系|运动|社团,1
钻石王牌,9.7,9502413,316357,211048,3115,运动,0
钻石王牌 act II 前半,9.7,12363346,316357,113421,3802,漫画改|校园|运动|社团,1
八月的棒球甜心,9,1489381,155980,24554,1111,游戏改|运动|校园,1
飙速宅男 新世代,9.2,5035312,210628,67907,367,热血|运动|漫画改,1
萝球社！SS,9.3,1988847,368117,128413,925,萌系|校园|运动|小说改,0
黑子的篮球 第3期 OVA,9.7,745498,1207315,8824,988,热血|校园|社团|运动,1
排球少年剧场版 结束与开始,9.8,1820470,741121,17583,1496,热血|校园|社团|运动,0
花牌情缘 第二季,8.5,2269207,574361,69896,1862,少女|运动|校园|热血,0
头文字D Second Stage,9.8,7254076,590483,197547,1205,时泪|运动|热血,0
骑行少女,9.5,1928744,121421,72505,607,漫画改|校园|社团|运动,0
特别版 Free!-Take Your Marks-,9.7,796676,1619751,63639,1443,社团|运动,1
高智能方程式,9.7,5057594,139162,79617,1139,时泪|科幻|运动|热血,0
超智游戏,9.7,3915215,106871,71638,1932,热血|运动|智斗,0
灼热乒乓妹,9.2,1964657,104164,83282,398,漫画改|校园|社团|运动,1
黑子的篮球 Winter Cup总集篇,9.1,3271237,1207316,29611,387,热血|运动,1
头文字D Fifth Stage,9.4,10413700,590483,156988,675,时泪|运动|热血,0
剧场版 Free!-Timeless Medley,9.5,850485,1619751,35727,824,运动,1
网球王子 全国大会篇,9.2,5142203,618536,91475,665,运动,1
王牌投手 振臂高挥,9.7,1462970,97480,24814,1140,运动|治愈|热血|声控,0
来冲浪吧！！美少年！！,6.3,917021,90246,10178,560,运动|声控,1
黑子的篮球 第2期 OVA,9.4,1784202,1207316,28381,330,社团|运动|热血|校园,1
网球并不可笑嘛 第一季,9.4,1637146,185807,7623,319,萌系|日常|运动|社团,0
棒球英豪 TV版,9.8,4120225,81221,164642,1709,日常|少女|运动|热血,0
头文字D Third Stage,9.5,2688093,590483,88488,620,运动,0
头文字D Final Stage,9.7,88262,590483,1101,826,时泪|运动|热血,0
新网球王子,8.7,2504927,618536,26338,368,搞笑|校园|运动|奇幻,1
排球少年剧场版 观念之战,9.7,1482705,741119,23921,1690,热血|运动,0
头文字D Legend1 -觉醒-,9.4,1849377,590483,28247,277,热血|运动|时泪,0
钻石王牌 ～Second Season～,9.7,5848155,316357,163987,2098,运动,0
第一神拳,9.8,4861366,91379,79195,948,运动|热血,0
棒球伙伴,8.8,1012411,59842,27561,271,运动|治愈,0
排球少年剧场版 胜者与败者,9.7,1152513,741121,7535,942,热血|运动,0
排球少年剧场版 才能与感觉,9.7,1186424,741121,17969,1181,热血|运动,0
棒球大联盟 2,9.6,2905099,66611,27683,673,运动|漫画改,0
逆转监督,9.7,1223443,52680,28845,507,运动,0
明日之丈,9.7,134027,59403,229549,448,热血|运动,1
排球少年 烏野高校 VS 白鳥澤學園高校（僅限港澳台地區）,9.8,269968,59548,7165,927,漫画改|热血|运动|社团,0
头文字D Legend2 -斗走-,9.1,1282683,590483,17110,145,热血|运动,0
足球骑士,9.1,317394,38783,1507,294,运动,0
新网球王子 OVA,8.8,1411388,618536,9196,168,搞笑|运动,1
王牌投手 振臂高挥～夏日大会篇～,9.7,553144,97480,8864,686,运动|治愈|热血|声控,0
