番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
鬼灭之刃,9.7,648131726,10429758,9093687,367652,漫画改|战斗|热血|声控,1
鬼灭之刃（中配）,9.1,106634773,10429758,575810,14220,漫画改|热血|战斗|励志,1
关于我转生变成史莱姆这档事,9.4,353440903,8518184,4569985,109030,小说改|奇幻|战斗|魔法,1
刀剑神域 爱丽丝篇 异界战争 -终章-,4.8,84286410,7188491,1558319,303776,小说改|穿越|架空|科幻,1
OVERLORD,9.6,338817355,8682591,3649667,41594,奇幻|战斗|小说改|架空,0
刀剑神域 爱丽丝篇 异界战争,9.1,88642569,7188489,1054473,53023,小说改|穿越|科幻|架空,1
Angels of Death,9.5,111301754,4786327,3259126,56953,恋爱|游戏改|冒险,1
JOJO的奇妙冒险,9.8,103790261,5590277,2107839,71869,漫画改|战斗|奇幻|冒险,1
这个勇者明明超强却过分慎重,9.7,146944129,4548561,1427340,122704,小说改|穿越|奇幻|战斗,1
刀剑神域 Alicization,8.3,169126921,7188491,3082656,84133,小说改|热血|奇幻|战斗,1
命运-冠位指定 绝对魔兽战线 巴比伦尼亚,9.4,137670986,4607179,1637005,136923,游戏改|奇幻|战斗|冒险,1
转生成蜘蛛又怎样！,9,156646082,4193817,837866,66034,奇幻|穿越|冒险|励志,1
JOJO的奇妙冒险 黄金之风,9.8,360426450,5590277,3917835,235881,热血|智斗|战斗|漫画改,1
多罗罗,9.4,158710824,4068831,1329648,74173,热血|战斗|冒险,1
盾之勇者成名录,7.3,211153432,4031135,3574898,243997,小说改|奇幻|魔法|架空,1
JOJO的奇妙冒险 星尘远征军,9.8,78018440,5590277,1916494,59588,漫画改|奇幻|战斗|冒险,1
JOJO的奇妙冒险 星尘远征军 埃及篇,9.8,70594330,5590277,1866469,57601,漫画改|战斗|奇幻|冒险,1
Ｄｒ．ＳＴＯＮＥ 石纪元  (第二季),9.7,51782343,3816191,303616,19841,漫画改|热血|科幻|冒险,1
约定的梦幻岛 第二季,2.7,33840622,3870187,322679,106334,漫画改|热血|冒险|励志,1
约定的梦幻岛,9.8,68899161,3870186,868819,75534,热血|智斗|励志|漫画改,1
平凡职业造就世界最强,5.9,116183185,3054883,1623202,217776,小说改|奇幻|战斗|冒险,1
Ｄｒ．ＳＴＯＮＥ 石纪元,9.7,131452232,3816189,1290842,70790,漫画改|科幻|励志|冒险,1
刀剑神域,9.7,95512673,7188491,3779949,80258,小说改|热血|奇幻|战斗,0
公主连结Re:Dive,9.5,78458497,2810858,1714595,49375,奇幻|战斗|魔法|冒险,1
在地下城寻求邂逅是否搞错了什么 第三季,9.2,28673566,2885599,213867,14604,小说改|战斗|奇幻|冒险,1
钢之炼金术师 FULLMETAL ALCHEMIST,9.9,70379933,2549107,1365152,104633,时泪|奇幻|战斗|热血,1
JOJO的奇妙冒险 不灭钻石,9.8,123635388,5590277,3583318,87065,热血|奇幻|漫画改|战斗,1
在地下城寻求邂逅是否搞错了什么,9.6,11934836,2885599,139763,5577,小说改|奇幻|战斗|架空,1
好比是最终迷宫前的少年到新手村生活一般的故事,7.8,64009204,2381140,331254,23071,小说改|搞笑|冒险,1
落第骑士英雄谭,9.4,96075739,2339468,2463391,19908,校园|战斗|架空|冒险,0
贤者之孙,6.7,73591925,2324705,958901,56722,小说改|奇幻|架空|穿越,1
君主·埃尔梅罗二世事件簿 魔眼收集列车 Grace note,9.7,46026694,2238382,568590,39464,小说改|奇幻|魔法|冒险,1
从零开始的魔法书,9,46301290,2190261,992232,8795,小说改|奇幻|魔法|架空,1
黑色四叶草,9.5,207163820,2213107,2255316,99015,战斗|热血|魔法|漫画改,1
少女终末旅行,9.8,32715452,2162915,978079,64654,奇幻|漫画改|冒险|架空,1
星掠者,5.4,92402564,2107453,986050,45172,漫画改|奇幻|搞笑|战斗,1
博人传 火影忍者新时代,4.2,225630760,2066285,4209422,210361,热血|架空|冒险,1
在地下城寻求邂逅是否搞错了什么 第二季,9,50264140,2885599,708875,22275,小说改|奇幻|战斗|冒险,1
