番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
Charlotte,9.4,129034977,4170355,2268094,46948,日常|校园|奇幻|催泪,0
异度侵入 ID:INVADED,9.8,107772574,4055622,1487388,289747,原创|科幻|推理,1
我们仍未知道那天所看见的花的名字。,9.5,40697213,3874931,2111108,32959,日常|治愈|催泪|原创,1
Re：创造主,8.8,90167406,3372808,2523571,29020,科幻|奇幻|原创|穿越,0
月色真美,9.8,59384521,3199596,3219022,42929,恋爱|校园|原创|治愈,1
罪恶王冠,9,60123707,3193723,3047017,33112,奇幻|战斗|热血|原创,0
全员恶玉,6.3,90088503,3047679,657096,83925,原创|战斗|架空|科幻,1
CAROLE & TUESDAY,9.7,63303120,2261938,1034624,100671,原创|科幻|音乐|励志,1
Angel Beats!,9.7,14781637,2078660,376380,25993,奇幻|校园|战斗|催泪,0
半妖的夜叉姬,4.8,29676837,2652645,388771,23054,原创|穿越|奇幻|战斗,1
装甲重拳/MEGALOBOX 第二季,9.9,5959454,2118389,27323,4333,原创|热血|科幻|运动,1
地狱少女,9.7,13045556,2067745,278817,6703,原创|神魔,1
奇蛋物语 / WONDER EGG PRIORITY,9.8,33588957,1984844,372103,53068,原创|奇幻,1
成神之日,5.8,42486342,1940022,452967,49998,恋爱|催泪|日常|搞笑,1
装甲重拳/MEGALOBOX,9.8,48030493,2118384,439401,64072,运动|科幻|原创|热血,1
无论何时我们的恋情都是10厘米。～告白实行委员会～,9.6,17661629,2356869,295212,11329,恋爱|音乐|原创|校园,0
Love Live! 学园偶像 电影,9.9,1674275,1767738,38286,8064,原创|校园|偶像,1
魔法少女小圆,9.8,24346828,2196826,979108,33040,奇幻|魔法|穿越|原创,0
Just Because!,9.5,27842242,1615017,726537,25892,恋爱|原创|校园,0
没落要塞 / DECA-DENCE,9.7,29428963,1582479,271702,36697,原创|科幻|架空|冒险,1
无限滑板 / SK8 the Infinity,9.6,36960562,1581312,707326,34087,原创|战斗|热血,1
K RETURN OF KINGS,9.3,68613647,3027211,1177902,5338,奇幻|战斗|声控|原创,1
比宇宙更远的地方,9.8,20151828,1419781,443957,37675,声控|治愈|励志|原创,0
DARKER THAN BLACK -黑之契约者-,9.8,13309136,1458091,310566,9525,奇幻|战斗|热血|催泪,1
斩服少女,9.8,11970517,1373302,236259,28841,奇幻|热血|原创,0
Hand Shakers,8.2,19158517,1175526,510788,3486,战斗|热血|萝莉|原创,0
魔法少女小圆 剧场版 [新篇] 叛逆的物语,9.9,2870159,2196826,87114,22859,原创|战斗|奇幻|魔法,1
LoveLive! Sunshine!! 学园偶像 电影 彩虹彼端,9.7,716997,1258660,20844,3225,原创|音乐|偶像|社团,1
DARLING in the FRANXX（僅限港澳台地區）,8.9,5787999,1130730,260863,20461,科幻|原创|架空,0
天狼 Sirius the Jaeger,8.8,14007418,1117550,300648,13448,战斗|原创|架空|冒险,1
多田君不恋爱,9,17006129,1105284,371181,14248,恋爱|原创,1
魔法少女小圆 剧场版 [前篇] 起始的物语,9.8,1349155,2196826,33965,3164,原创|奇幻|战斗|魔法,1
动物新世代 / BNA,9.3,17929360,1053259,396307,41082,原创,1
魔法少女小圆 剧场版 [后篇] 永远的物语,9.8,1093565,2196826,24133,2942,原创|战斗|奇幻|魔法,1
花开伊吕波,9.6,12075497,1049900,583468,11811,日常|治愈|催泪|原创,0
黑岩射手 / BLACK★ROCK SHOOTER,9.5,1062763,999707,5830,5077,战斗|穿越|原创,1
One Room 第二季,9.7,23406519,2093703,254566,8066,萌系|恋爱|日常|治愈,0
小魔女学园 TV版,9.7,27904776,979124,805299,15279,原创|冒险,0
少女编号,9.2,12633010,908996,377463,4094,搞笑|励志|原创|职场,0
22/7,9.3,15229300,871804,229635,12783,原创|日常|萌系|音乐,1
樱花任务,9.4,11707121,828829,407050,5256,励志|职场|原创,0
超时空要塞Δ,9,33010033,818601,874524,3133,机战|科幻|恋爱|战斗,0
佐贺偶像是传奇 卷土重来,9.8,4457374,762331,40400,712,原创|偶像|搞笑|音乐,1
知晓天空之蓝的人啊,9.6,4929442,737295,74280,15710,恋爱|穿越|音乐|治愈,1
突击莉莉 BOUQUET,8.8,10016962,726559,140586,7198,原创|战斗|萌系|校园,1
刀使巫女,8.7,13890712,659584,235134,6326,校园|战斗|原创,0
少女☆歌剧 Revue Starlight,9.8,15039894,650505,277264,26482,音乐|奇幻|战斗|偶像,0
剧场版 K Seven Stories,9.7,9640991,3027211,196580,5663,奇幻|战斗|声控|原创,1
revisions,8.8,9417576,620580,108481,9815,机战|科幻|战斗|原创,1
月歌。THE ANIMATION2,7.9,2185849,636483,23228,596,原创|声控|偶像|日常,1
巴克·亚罗/BACK ARROW,9.6,8346610,581980,61795,5607,原创|机战|架空,1
环太平洋：黑色禁区,6.3,9172348,566132,74077,6067,战斗|科幻|机战|原创,1
迷家,4.2,16688904,562056,768825,9739,原创,0
歌舞伎町夏洛克,7.5,12381978,554098,159094,9910,原创|推理|冒险|声控,1
SSSS.电光机王,9.7,4223351,549918,34356,2329,原创|战斗|机战|特摄,1
[C]THE MONEY OF SOUL AND POSSIBILITY CONTROL,9.2,4958398,543111,77592,2970,奇幻|战斗|智斗|原创,0
KEMURIKUSA,9.7,7256145,530480,79261,12117,原创|战斗,1
终末的伊泽塔,9.3,7683540,520554,243357,2564,战斗|魔法|原创|架空,0
TARI TARI,9.7,3314249,526165,86518,4214,日常|音乐|校园|催泪,0
高达创形者 再起 第二季,9.8,10234249,564715,142494,13180,原创|热血|科幻|机战,0
鲁邦三世VS名侦探柯南THE MOVIE,9.7,3449209,3738459,70283,2189,原创|智斗|推理,0
BanG Dream! 梦想协奏曲 第三季,9.8,4676581,671524,113630,6385,原创|校园|音乐,1
天元突破红莲螺岩,9.8,8175954,611846,131506,16655,热血|科幻|励志|机战,0
在盛夏等待,9.3,2292863,499197,55126,2219,科幻|催泪|恋爱|原创,0
W'Z,8.5,7890641,476556,72565,2012,战斗|原创,1
偶像荣耀/IDOLY PRIDE,9.8,4779058,471870,55891,6377,原创|偶像|奇幻,1
宝石幻想 光芒重现,9.6,5572835,464672,85934,4901,校园|魔法|原创|日常,1
BanG Dream! 梦想协奏曲 电影演唱会,9.8,891152,671524,23903,3969,音乐|社团|少女|声控,1
战翼的希格德莉法,9.1,5277542,459488,54619,4571,原创|科幻,1
猎魔武士/GIBIATE,4,6811602,456129,49822,3008,原创|战斗|架空,1
机甲少女 FRAME ARMS GIRL,9.1,5894598,443831,196400,811,机战|科幻|原创,0
重神机潘多拉,6.6,6966760,489483,100451,4910,机战|原创|科幻,1
革命机Valvrave,9.8,7339597,420495,230066,95474,机战|科幻|战斗|原创,0
星合之空,9.7,7531336,418430,122269,12442,原创|运动|校园,1
Love Live! Sunshine!! 第二季,9.4,6469387,1258660,271693,5771,音乐|校园|偶像|社团,0
龙的牙医,9.6,3409977,399272,53091,3000,奇幻|战斗|原创|架空,0
聆听者 / LISTENERS,7.7,5418100,392132,52412,3266,原创|音乐|热血,1
动画同好会,8.6,4812772,382107,167486,2668,校园|社团|原创|搞笑,0
LOST SONG 失落的歌谣,9.4,5781407,365082,119478,11811,音乐|原创|架空,0
笑容的代价,4.2,6511746,364226,53306,8737,科幻|战斗|原创|机战,1
玻璃之花与崩坏的世界,9,3390845,356456,46782,1265,原创|治愈|架空,0
RobiHachi,9.5,5123324,351069,57702,3198,原创|冒险,1
Punch Line,9.3,2441985,344944,6090,1464,搞笑|科幻|原创,1
EVA 新世纪福音战士新剧场版2.22：破,9.7,6842863,1840010,146283,5453,原创|科幻|机战|战斗,0
佐賀偶像是傳奇（僅限港澳台地區）,9.8,2023785,338572,45847,5718,原创|搞笑|偶像,0
地狱少女 二笼,9.8,5073548,2067746,200547,3038,原创,1
ALDNOAH.ZERO,9.1,5432425,339716,45378,4536,原创|科幻|架空|机战,1
高达创形者,4.6,18628982,321535,292136,6345,热血|机战|社团|少儿,0
体操武士,9.8,3520096,321265,29080,6269,运动|搞笑|治愈|励志,1
ENDRO~!,9.8,2391817,318480,49071,4739,原创|奇幻|萌系|搞笑,1
高达创形者 再起,9.4,12803293,564715,120864,7907,原创|热血|科幻|机战,0
无畏魔女,8.6,4500549,316855,80816,451,战斗|机战|原创,0
结城友奈是勇者 鹫尾须美之章&勇者之章,9.6,4582006,536216,82827,4754,少女|魔法|原创|冒险,0
三丽鸥男子,8.7,3669655,287833,82722,872,原创,0
花样滑冰Stars,2.7,3640128,284019,26080,9649,原创|运动|声控,1
Room Mate,7.7,3884703,281989,50437,337,乙女|泡面|原创,0
翠星之加尔刚蒂亚,9.4,4008421,287304,59578,1465,奇幻|科幻|机战|原创,0
RErideD-穿越时空的德理达,7.5,3692880,251647,23202,1679,科幻|原创|穿越|冒险,0
地狱少女 三鼎,9.5,3206145,2067746,113712,1970,原创|奇幻|神魔,1
BanG Dream! 第二季,9.7,6727318,671524,117924,5095,音乐|社团|少女|声控,1
剧偶像,8.2,1491912,226822,13075,2110,原创|少女|架空,1
神装少女小缠,8.7,5608370,226879,113746,538,魔法|神魔|原创,0
天元突破 红莲螺岩 剧场版,9.8,1148024,611846,9196,2577,原创|热血|战斗|科幻,0
战姬绝唱SYMPHOGEAR,9.6,1733099,213160,27773,1248,科幻|音乐|热血|原创,0
东京地震8.0,9.7,681517,186892,13321,2315,日常|催泪|原创,0
TSUKIPRO,9.2,3580750,186733,41685,861,音乐|偶像|原创,0
梦之祭,9.1,3888488,201334,92506,139,偶像|原创,0
东之伊甸,9.1,1241092,174550,21753,912,奇幻|日常|治愈|智斗,0
Classica Loid,9.5,2605959,181049,72657,535,搞笑|原创|音乐|机战,0
ID-0,9.1,2162042,155646,26966,501,科幻|原创,0
音乐少女,7.8,2741356,152625,30345,736,搞笑|音乐|偶像|日常,0
