番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
虚构推理,9.2,82710266,3895699,1315071,63686,漫画改|神魔|恋爱|奇幻,1
珈百璃的堕落,9.6,74954123,2928383,1877344,20219,日常|漫画改|神魔,0
野良神,9.5,42564531,3903653,1384862,15628,奇幻|战斗|漫画改|神魔,1
夏目友人帐,9.8,35158258,5319614,1452636,11591,奇幻|日常|治愈|催泪,1
夏目友人帐 伍,9.7,47790284,5319614,1512743,7282,治愈|催泪|神魔|漫画改,1
元气少女缘结神◎,9.6,31319662,2644347,646561,6292,奇幻|少女|神魔,0
入间同学入魔了,9.5,104474569,2647429,1061999,42382,漫画改|校园|搞笑|奇幻,1
野良神 ARAGOTO,9.4,106708619,3903652,2154777,14915,奇幻|战斗|漫画改|神魔,1
怪物事变,9.6,45071038,2204171,380370,24598,漫画改|奇幻|神魔,1
打工吧！魔王大人,9.6,86363720,2187555,1081095,21803,日常|小说改|神魔|职场,0
地狱少女,9.7,13045689,2067748,278817,6703,原创|神魔,1
剑姬神圣谭 在地下城寻求邂逅是否搞错了什么 外传,9.7,8287578,2885666,85172,5717,小说改|奇幻|架空|神魔,1
犬夜叉,9.9,140893788,2652658,3214046,40470,漫画改|热血|穿越|奇幻,0
异界少女召唤术,6.9,32643706,1681921,519351,16849,小说改|奇幻|战斗|魔法,1
地狱少女 宵伽,9.2,27089903,2067748,612469,4893,治愈|神魔,0
邪神与厨二病少女 第二季,9.8,24974022,1905240,295126,32844,搞笑|日常|神魔|漫画改,1
邪神与厨二病少女,9.5,39256204,1905240,494272,18432,搞笑|日常|神魔,1
鬼灯的冷彻,9.6,20568231,2343492,634846,5141,日常|神魔,1
鬼灯的冷彻 第二季,9.7,36932430,2343492,574108,12551,搞笑|日常|神魔|漫画改,1
魔王勇者,9.5,10057634,1361013,187189,11777,奇幻|少女|声控|神魔,1
怪化猫,9.8,13171316,1240038,328798,11634,奇幻|治愈|神魔,0
灼眼的夏娜,9.4,14744605,1340152,990188,4822,校园|战斗|热血|小说改,0
只要贝尔哲布布大小姐喜欢就好,9.6,13378469,1128233,196526,7871,萌系|搞笑|恋爱|奇幻,1
续 夏目友人帐,9.7,19357633,5319614,1054271,5756,奇幻|日常|治愈|催泪,1
夏目友人帐 叁,9.7,16781548,5319614,848487,5563,奇幻|日常|治愈|催泪,1
夏目友人帐 肆,9.7,16168199,5319614,781174,5147,奇幻|日常|治愈|催泪,1
超自然9人组,9.1,14410392,909482,276941,4479,小说改|智斗|神魔,0
青之驱魔师,8.9,9338939,966540,242837,4174,奇幻|战斗|热血|漫画改,1
滑头鬼之孙,9.4,10294937,1010683,153056,4725,奇幻|战斗|热血|声控,0
萤火之森,9.7,4429025,830376,110962,7904,漫画改|神魔|催泪|恋爱,0
奇异太郎少年的妖怪绘日记,9.7,17717999,766467,67891,3324,漫画改|神魔|泡面,0
鬼灯的冷彻 第二季 其二,9.8,21556046,2343492,264558,6821,搞笑|神魔|漫画改,1
妖怪公寓的幽雅日常,9.1,21877205,759391,528575,4325,日常|神魔,0
