番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
Re：从零开始的异世界生活 第二季 后半,9.9,71274412,8647480,845506,140158,小说改|穿越|奇幻,1
关于我转生变成史莱姆这档事 第二季,9.1,171264574,8518575,1209623,174103,小说改|奇幻|战斗|魔法,1
Re：从零开始的异世界生活 第二季 前半,9.7,114048037,8647480,1877242,112093,小说改|穿越|奇幻,1
关于我转生变成史莱姆这档事,9.4,353464444,8518572,4570091,109032,小说改|奇幻|战斗|魔法,1
青春猪头少年不会梦到兔女郎学姐,9.8,170517870,6646986,3792358,138559,小说改|恋爱|奇幻|校园,1
Re：从零开始的异世界生活 新编集版,9.6,66811934,8647480,1455739,33920,穿越|奇幻|魔法|架空,1
Re：从零开始的异世界生活,9.2,231356242,8647480,11600907,53784,奇幻|小说改|架空|穿越,1
OVERLORD,9.6,338835043,8682796,3649723,41598,奇幻|战斗|小说改|架空,0
岸边露伴 一动也不动,9.9,12713059,5590587,79714,15075,漫画改|奇幻|战斗,1
OVERLORD Ⅲ,9.4,330779511,8682796,3776232,80791,小说改|奇幻|智斗|战斗,0
因为太怕痛就全点防御力了,9,182831716,5086314,3030013,140046,小说改|穿越|奇幻|萌系,1
OVERLORD Ⅱ,9.6,314691279,8682794,3910431,71354,小说改|奇幻|战斗|魔法,0
Re：从零开始的异世界生活 Memory Snow(雪之回忆),9.7,12192695,8647480,225151,12549,小说改|穿越|奇幻|日常,1
Re：从零开始的异世界生活 冰结之绊,9.5,12659254,8647479,108754,11120,小说改|奇幻|战斗,1
青春猪头少年不会梦到怀梦美少女,9.8,19243767,6646986,1081507,123114,小说改|穿越|奇幻|校园,1
某科学的超电磁炮,9.7,115967209,6923420,6281981,39865,校园|战斗|奇幻|漫画改,1
JOJO的奇妙冒险,9.8,103802537,5590588,2107909,71875,漫画改|战斗|奇幻|冒险,1
这个勇者明明超强却过分慎重,9.7,146953126,4548726,1427387,122711,小说改|穿越|奇幻|战斗,1
刀剑神域 Alicization,8.3,169130085,7188581,3082665,84134,小说改|热血|奇幻|战斗,1
命运-冠位指定 绝对魔兽战线 巴比伦尼亚,9.4,137679811,4607284,1637030,136929,游戏改|奇幻|战斗|冒险,1
转生成蜘蛛又怎样！,9,156738976,4194938,838134,66060,奇幻|穿越|冒险|励志,1
Charlotte,9.4,129035120,4170359,2268094,46948,日常|校园|奇幻|催泪,0
盾之勇者成名录,7.3,211163338,4031244,3575030,244012,小说改|奇幻|魔法|架空,1
命运之夜——天之杯II ：迷失之蝶,9.7,17729472,5240238,351948,14754,剧情|奇幻|动画,1
Fate/stay night [Unlimited Blade Works] 第一季,9.4,157457843,5240234,5365139,19677,奇幻|热血,0
JOJO的奇妙冒险 星尘远征军,9.8,78028230,5590588,1916570,59593,漫画改|奇幻|战斗|冒险,1
虚构推理,9.2,82710042,3895695,1315071,63686,漫画改|神魔|恋爱|奇幻,1
JOJO的奇妙冒险 星尘远征军 埃及篇,9.8,70603836,5590588,1866556,57606,漫画改|战斗|奇幻|冒险,1
