番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
Re：从零开始的异世界生活 第二季 后半,9.9,71274412,8647480,845506,140158,小说改|穿越|奇幻,1
关于我转生变成史莱姆这档事 第二季,9.1,171264206,8518570,1209623,174103,小说改|奇幻|战斗|魔法,1
Re：从零开始的异世界生活 第二季 前半,9.7,114048037,8647480,1877242,112093,小说改|穿越|奇幻,1
关于我转生变成史莱姆这档事,9.4,353464444,8518572,4570091,109032,小说改|奇幻|战斗|魔法,1
埃罗芒阿老师,9.2,195302225,6610653,9242225,56368,小说改|搞笑|恋爱,0
欢迎来到实力至上主义的教室,8.8,196953424,6486429,4321843,68506,小说改|校园,1
紫罗兰永恒花园,9.7,123151695,6777718,3117019,188481,治愈|励志|职场|催泪,1
青春猪头少年不会梦到兔女郎学姐,9.8,170517870,6646986,3792358,138559,小说改|恋爱|奇幻|校园,1
刀剑神域 爱丽丝篇 异界战争 -终章-,4.8,84289332,7188581,1558327,303780,小说改|穿越|架空|科幻,1
Re：从零开始的异世界生活 新编集版,9.6,66811934,8647480,1455739,33920,穿越|奇幻|魔法|架空,1
紫罗兰永恒花园外传：永远与自动手记人偶,9.9,25200111,6777718,476271,82898,剧情|动画|小说改,1
Re：从零开始的异世界生活,9.2,231356242,8647480,11600907,53784,奇幻|小说改|架空|穿越,1
我的青春恋爱物语果然有问题。完,8.8,67275396,5895948,1232785,79071,校园|恋爱|小说改,1
OVERLORD,9.6,338834726,8682792,3649723,41598,奇幻|战斗|小说改|架空,0
刀剑神域 爱丽丝篇 异界战争,9.1,88644416,7188581,1054482,53024,小说改|穿越|科幻|架空,1
OVERLORD Ⅲ,9.4,330779174,8682792,3776231,80791,小说改|奇幻|智斗|战斗,0
因为太怕痛就全点防御力了,9,182831716,5086314,3030013,140046,小说改|穿越|奇幻|萌系,1
OVERLORD Ⅱ,9.6,314691279,8682794,3910431,71354,小说改|奇幻|战斗|魔法,0
Re：从零开始的异世界生活 Memory Snow(雪之回忆),9.7,12192695,8647480,225151,12549,小说改|穿越|奇幻|日常,1
Re：从零开始的异世界生活 冰结之绊,9.5,12659243,8647480,108754,11120,小说改|奇幻|战斗,1
青春猪头少年不会梦到怀梦美少女,9.8,19243767,6646986,1081507,123114,小说改|穿越|奇幻|校园,1
这个勇者明明超强却过分慎重,9.7,146952976,4548725,1427387,122710,小说改|穿越|奇幻|战斗,1
约战狂三外传,9.6,15996234,4772910,111725,15203,小说改|战斗|校园,1
刀剑神域 Alicization,8.3,169130085,7188581,3082665,84134,小说改|热血|奇幻|战斗,1
转生成蜘蛛又怎样！,9,156737563,4194919,838133,66060,奇幻|穿越|冒险|励志,1
路人女主的养成方法 Fine,9.8,10038056,4417210,301377,44507,小说改|恋爱|社团,1
盾之勇者成名录,7.3,211163205,4031245,3575029,244012,小说改|奇幻|魔法|架空,1
我的青春恋爱物语果然有问题。,9.7,69575407,5895949,2659886,39213,日常|校园|恋爱|小说改,0
路人女主的养成方法,9.4,120622837,4417210,2984666,27192,恋爱|小说改,0
龙王的工作！,9.1,99223344,3578641,3575698,31729,小说改|职场,0
中二病也要谈恋爱！,9.7,21160224,4400024,399926,29720,恋爱|校园|小说改|搞笑,1
路人女主的养成方法 ♭,9.7,19340774,4417210,288111,21460,小说改|恋爱|校园|社团,1
樱花庄的宠物女孩,9.7,39575032,3401301,2497724,45591,校园|催泪|恋爱|小说改,0
平凡职业造就世界最强,5.9,116192081,3055028,1623276,217785,小说改|奇幻|战斗|冒险,1
魔法禁书目录 第三季,8,94260834,4960055,1518204,55904,小说改|热血|科幻|奇幻,1
我的青春恋爱物语果然有问题。续,9.8,123925194,5895949,3353129,43313,日常|校园|恋爱|小说改,0
刀剑神域,9.7,95523970,7188581,3780010,80261,小说改|热血|奇幻|战斗,0
转生成为了只有乙女游戏破灭Flag的邪恶大小姐,9.5,78831790,2864800,1546170,74352,穿越|搞笑|恋爱|乙女,1
如果能写小说就好了,9.3,55699436,2739801,1353538,26320,小说改|恋爱,0
魔女之旅,9.7,56289118,2665118,813677,70548,小说改|魔法|奇幻|架空,1
在地下城寻求邂逅是否搞错了什么 第三季,9.2,28676139,2885660,213882,14606,小说改|战斗|奇幻|冒险,1
龙与虎,9.8,42080589,2512003,2405246,41649,少女|校园|治愈|催泪,0
在地下城寻求邂逅是否搞错了什么,9.6,11937466,2885660,139801,5577,小说改|奇幻|战斗|架空,1
约会大作战 第三季,7.8,55897812,4772910,1443181,38497,小说改|萌系|奇幻|战斗,1
好比是最终迷宫前的少年到新手村生活一般的故事,7.8,64014757,2381140,331271,23077,小说改|搞笑|冒险,1
贤者之孙,6.7,73594749,2324742,958910,56724,小说改|奇幻|架空|穿越,1
君主·埃尔梅罗二世事件簿 魔眼收集列车 Grace note,9.7,46028680,2238436,568601,39464,小说改|奇幻|魔法|冒险,1
喜欢本大爷的竟然就你一个？,9,62297117,2235847,1356513,91604,小说改|校园|恋爱,1
从零开始的魔法书,9,46305331,2190463,992250,8797,小说改|奇幻|魔法|架空,1
打工吧！魔王大人,9.6,86363452,2187549,1081095,21803,日常|小说改|神魔|职场,0
我的妹妹不可能那么可爱 第一季,9.2,36759038,2351570,2462959,14594,萌系|校园|日常|恋爱,0
我，不是说了能力要平均值么！,8.2,57391142,2086347,728674,52622,小说改|穿越|奇幻|萌系,1
在地下城寻求邂逅是否搞错了什么 第二季,9,50266331,2885660,708901,22275,小说改|奇幻|战斗|冒险,1
骑士&魔法,8.7,72800193,1976847,1047113,10272,小说改|机战|奇幻|魔法,1
你与我最后的战场，亦或是世界起始的圣战,7.8,41536605,1923171,318099,16076,冒险|战斗|奇幻|恋爱,1
剑姬神圣谭 在地下城寻求邂逅是否搞错了什么 外传,9.7,8287510,2885660,85172,5716,小说改|奇幻|架空|神魔,1
异世界食堂,9.4,45212859,1831061,988429,9853,小说改|奇幻|美食|架空,0
重来吧，魔王大人！,8.2,54608505,1791142,912947,36248,小说改|奇幻|魔法|穿越,1
我想吃掉你的胰脏,9.5,22863438,0,775932,35957,爱情|动画|小说改,0
弱势角色友崎君,9.1,35160290,1758992,410665,38199,小说改|校园|恋爱,1
异界少女召唤术,6.9,32643649,1681919,519351,16849,小说改|奇幻|战斗|魔法,1
记录的地平线 圆桌崩坏,9.7,11827477,1784982,87385,8482,小说改|穿越|战斗,1
魔法禁书目录 第二季,9.1,45248658,4960055,2456728,11360,科幻|校园|战斗|热血,0
GOSICK,9.7,6577185,1561490,125002,18817,萌系|奇幻|日常|催泪,1
笨蛋，测验，召唤兽,9.7,27708282,1716621,911911,11098,奇幻|校园|恋爱|小说改,0
十二大战,7.7,44526397,1510692,559409,13681,小说改|热血|战斗,1
刺客守则,6.5,33885343,1478481,448743,20561,小说改|奇幻|战斗|魔法,1
博多豚骨拉面团,9.7,25729370,1457637,641137,27372,小说改,0
无头骑士异闻录,9.6,18210123,1695014,952202,7392,奇幻|日常|声控|小说改,0
变态王子与不笑猫,9.7,5154755,1358094,90852,11346,日常|恋爱|小说改,0
GAMERS电玩咖！,9.1,34498666,1339099,1131321,18555,小说改|校园|社团,0
被神捡到的男人,5.5,33555414,1328896,282102,20574,穿越|日常|小说改|架空,1
强风吹拂,9.9,32055960,1326853,515528,61536,运动|励志|小说改|热血,1
COP CRAFT,9.1,24501662,1315040,288653,29987,小说改|职场|奇幻|穿越,1
熊熊勇闯异世界,8.3,33790729,1299528,336265,15888,穿越|魔法|萌系|小说改,1
吹响吧！上低音号,9.8,28687514,1481909,673770,16665,音乐|校园|少女|励志,0
