番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
辉夜大小姐想让我告白？～天才们的恋爱头脑战～,9.8,174082533,7791773,3545786,199762,搞笑|校园|恋爱|漫画改,1
辉夜大小姐想让我告白～天才们的恋爱头脑战～,9.8,226758563,7791775,4579425,219762,恋爱|校园|智斗|日常,1
欢迎来到实力至上主义的教室,8.8,196947948,6486324,4321800,68495,小说改|校园,1
青春猪头少年不会梦到兔女郎学姐,9.8,170510787,6646796,3792316,138554,小说改|恋爱|奇幻|校园,1
某科学的超电磁炮T,9.8,172489109,6923306,2553241,113707,漫画改|战斗|科幻|校园,1
冰菓,9.8,91758784,5606020,3326252,60792,恋爱|推理|校园|日常,1
堀与宫村,9.8,153271456,5439742,1882689,122234,漫画改|校园|恋爱|少女,1
在下坂本，有何贵干？,9.3,191584035,5279555,3123205,31548,搞笑|校园|日常,1
我的青春恋爱物语果然有问题。完,8.8,67271406,5895826,1232759,79065,校园|恋爱|小说改,1
徒然喜欢你,9.7,132676003,5051624,2871962,43516,恋爱|校园|漫画改|搞笑,0
青春猪头少年不会梦到怀梦美少女,9.8,19242409,6646797,1081497,123105,小说改|穿越|奇幻|校园,1
某科学的超电磁炮,9.7,115960804,6923305,6281928,39861,校园|战斗|奇幻|漫画改,1
约战狂三外传,9.6,15994947,4772841,111718,15202,小说改|战斗|校园,1
五等分的新娘∬,9.7,47511967,4528109,563298,24022,漫画改|校园|恋爱,1
Charlotte,9.4,129025328,4170133,2268055,46942,日常|校园|奇幻|催泪,0
我的青春恋爱物语果然有问题。,9.7,69571329,5895826,2659855,39212,日常|校园|恋爱|小说改,0
五等分的新娘,8.8,97379421,4528111,2151066,51732,恋爱|校园|日常|漫画改,1
齐木楠雄的灾难 始动篇,9.8,24348659,4460606,183043,36297,漫画改|奇幻|日常|搞笑,1
动物狂想曲 / BEASTARS 第二季,9.3,37290040,3871870,405088,25130,漫画改|校园|恋爱|架空,1
中二病也要谈恋爱！,9.7,21155762,4399849,399887,29715,恋爱|校园|小说改|搞笑,1
路人女主的养成方法 ♭,9.7,19338587,4417086,288101,21456,小说改|恋爱|校园|社团,1
食戟之灵 餐之皿,9.4,9628020,3573930,64901,2515,校园|美食|搞笑|热血,1
樱花庄的宠物女孩,9.7,39570956,3401203,2497684,45585,校园|催泪|恋爱|小说改,0
笨女孩,9.2,107509140,3367705,2110326,28334,搞笑|校园|漫画改,0
地缚少年花子君,9.4,65007965,3337632,1616776,68825,漫画改|搞笑|少女|奇幻,1
动物狂想曲 / BEASTARS,9.7,76044824,3871873,1088033,82956,漫画改|奇幻|恋爱|校园,1
月色真美,9.8,59382468,3199503,3218984,42929,恋爱|校园|原创|治愈,1
月刊少女野崎君,9.8,33772598,3175627,645374,46716,搞笑|校园|少女|漫画改,0
魔法禁书目录 第一季,9,70831846,4959987,3693179,15147,科幻|校园|战斗|热血,0
碧蓝之海,9.9,96427836,3146086,889319,97960,搞笑|校园|社团|运动,1
魔法禁书目录 第三季,8,94258050,4959987,1518202,55902,小说改|热血|科幻|奇幻,1
我的青春恋爱物语果然有问题。续,9.8,123920886,5895826,3353073,43312,日常|校园|恋爱|小说改,0
CLANNAD,9.8,28842802,3139116,758773,50684,时泪|校园|治愈|催泪,0
某科学的一方通行,6.6,63772466,2695483,1150067,68437,漫画改|科幻|战斗|魔法,1
男子高中生的日常,9.8,45422006,2574817,1632920,33232,搞笑|校园|日常|漫画改,0
龙与虎,9.8,42075505,2511871,2405194,41643,少女|校园|治愈|催泪,0
女高中生的虚度日常,9.8,56409100,2504261,1031670,66724,日常|漫画改|校园|搞笑,1
线上游戏的队友不可能是女生？,8.8,70485896,2467880,1840000,10534,奇幻|校园,0
