番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
辉夜大小姐想让我告白？～天才们的恋爱头脑战～,9.8,174082533,7791773,3545786,199762,搞笑|校园|恋爱|漫画改,1
埃罗芒阿老师,9.2,195297931,6610586,9242158,56364,小说改|搞笑|恋爱,0
辉夜大小姐想让我告白～天才们的恋爱头脑战～,9.8,226758563,7791775,4579425,219762,恋爱|校园|智斗|日常,1
青春猪头少年不会梦到兔女郎学姐,9.8,170510787,6646796,3792316,138554,小说改|恋爱|奇幻|校园,1
冰菓,9.8,91758784,5606020,3326252,60792,恋爱|推理|校园|日常,1
堀与宫村,9.8,153271456,5439742,1882689,122234,漫画改|校园|恋爱|少女,1
我的青春恋爱物语果然有问题。完,8.8,67271406,5895826,1232759,79065,校园|恋爱|小说改,1
徒然喜欢你,9.7,132676144,5051630,2871963,43516,恋爱|校园|漫画改|搞笑,0
Angels of Death,9.5,111301690,4786327,3259126,56953,恋爱|游戏改|冒险,1
四月是你的谎言,9.8,140584574,4877171,4614868,55228,少女|音乐|催泪|恋爱,0
青春猪头少年不会梦到怀梦美少女,9.8,19242409,6646797,1081497,123105,小说改|穿越|奇幻|校园,1
总之就是非常可爱,9.5,113593154,4314439,2037875,76794,日常|恋爱|漫画改,1
五等分的新娘∬,9.7,47512188,4528112,563301,24022,漫画改|校园|恋爱,1
路人女主的养成方法 Fine,9.8,10036710,4417088,301366,44502,小说改|恋爱|社团,1
我的青春恋爱物语果然有问题。,9.7,69571329,5895826,2659855,39212,日常|校园|恋爱|小说改,0
虚构推理,9.2,82707120,3895580,1315065,63684,漫画改|神魔|恋爱|奇幻,1
路人女主的养成方法,9.4,120619033,4417088,2984642,27190,恋爱|小说改,0
五等分的新娘,8.8,97379421,4528111,2151066,51732,恋爱|校园|日常|漫画改,1
动物狂想曲 / BEASTARS 第二季,9.3,37290177,3871873,405089,25130,漫画改|校园|恋爱|架空,1
中二病也要谈恋爱！,9.7,21155762,4399849,399887,29715,恋爱|校园|小说改|搞笑,1
路人女主的养成方法 ♭,9.7,19338587,4417086,288101,21456,小说改|恋爱|校园|社团,1
樱花庄的宠物女孩,9.7,39571130,3401207,2497685,45585,校园|催泪|恋爱|小说改,0
境界的彼方,9.5,36937042,3591692,1397740,20417,恋爱|奇幻|战斗,1
地缚少年花子君,9.4,65007965,3337632,1616776,68825,漫画改|搞笑|少女|奇幻,1
动物狂想曲 / BEASTARS,9.7,76044824,3871873,1088033,82956,漫画改|奇幻|恋爱|校园,1
月色真美,9.8,59382523,3199504,3218986,42929,恋爱|校园|原创|治愈,1
月刊少女野崎君,9.8,33772598,3175627,645374,46716,搞笑|校园|少女|漫画改,0
我的青春恋爱物语果然有问题。续,9.8,123920886,5895826,3353073,43312,日常|校园|恋爱|小说改,0
CLANNAD,9.8,28842943,3139124,758775,50684,时泪|校园|治愈|催泪,0
