番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
One Room 第三季,9.8,13171504,2093659,94756,9541,日常|恋爱|治愈|泡面,0
齐木楠雄的灾难（日播&精选版）,9.6,216472550,4460605,1291879,10536,奇幻|校园|泡面|漫画改,1
One Room,9.6,30570616,2093660,603153,8517,泡面|日常,0
关于完全听不懂老公在说什么的事 第一季,9.7,60858818,1354753,298819,7573,日常|泡面,0
幻想嘉年华,9.7,22794973,1209585,638866,9222,日常|泡面|奇幻,0
猫咪日常,9.6,25075250,1051214,125901,6006,漫画改|萌系|日常|泡面,0
奇异太郎少年的妖怪绘日记,9.7,17716934,766411,67889,3324,漫画改|神魔|泡面,0
关于完全听不懂老公在说什么的事 第二季,9.7,40345571,1354751,196235,6305,日常|少女|泡面,0
黑塔利亚 Axis Powers,9.5,18145212,990512,670710,3462,萌系|泡面|声控|日常,0
男子高校生活,9.2,18798566,680111,229071,1562,校园|日常|泡面,0
我家浴缸的二三事,9.6,26489217,623761,278233,2358,日常|泡面|治愈,0
黑塔利亚 The World Twinkle 第6期,9.7,22171915,990512,447830,3227,萌系|日常|泡面|声控,0
搞笑漫画日和,9.3,7947542,534051,49884,1370,搞笑|泡面,0
踏切时间,9.7,6270319,297494,30041,4079,日常|泡面,0
和歌子酒 动画,9.6,13144535,291509,56151,1583,日常|泡面|治愈|美食,0
Room Mate,7.7,3884465,281981,50437,337,乙女|泡面|原创,0
宇宙巡警露露子,9.7,6574678,278619,104872,2706,奇幻|泡面,0
学园Handsome,9.4,6817310,269313,98930,2869,搞笑|校园|游戏改|泡面,0
小不点社长,9.5,1677611,238849,3643,2083,漫画改|泡面|搞笑,0
黑塔利亚 Axis Powers 第2期,9.6,18145231,990512,670710,1642,萌系|日常|声控|泡面,0
犬神同学和猫山同学,9.7,4812277,223828,33975,2062,日常|泡面|治愈,0
OZMAFIA!!,8.8,3945052,220205,30961,228,萌系|日常|泡面,0
黑塔利亚 World Series 第3期,9.6,10488730,990512,576127,1412,萌系|日常|泡面|声控,0
幼女战记 短篇,9.6,6680079,212552,10113,1103,泡面|架空,0
黑塔利亚 The Beautiful World 第5期,9.7,6121464,990512,229867,1755,萌系|日常|声控|泡面,0
前进吧！登山少女,9.7,1469161,363519,7844,1413,日常|泡面|萌系,0
雨色可可side G,8.3,3445139,201663,5940,628,日常|泡面|漫画改|萌系,0
忍者少女千鸟,9.4,7576004,251659,25993,510,漫画改|搞笑|泡面,1
KERORO军曹,9.8,9138918,208896,283793,1781,萌系|搞笑|泡面,0
黑塔利亚 World Series 第4期,9.6,10488730,990512,576127,1404,萌系|日常|声控|泡面,0
梦王国与沉睡的100王子 短篇动画,8.6,2184280,295978,60752,348,声控|泡面,0
大叔与棉花糖,9,6112346,170843,49265,536,日常|泡面|萌系,0
搞笑漫画日和＋,9.4,3446436,534052,12553,562,搞笑|泡面,0
魔法少女什么的已经够了啦。第二季,9.1,2789653,398442,16262,581,萌系|魔法|日常|泡面,0
越狱兔 前传,9.6,14589556,267555,16825,812,萌系|搞笑|泡面,0
伯纳德小姐说。,9.2,2094826,151201,8011,392,漫画改|日常|泡面,0
屁屁吾郎,8.7,6290525,149963,94408,530,日常|泡面,0
越狱兔 第1季,9.7,6984965,267555,90596,1731,萌系|搞笑|泡面,0
BanG Dream! 少女乐团派对☆PICO,9.8,8947006,201752,22365,3204,萌系|音乐|少女|游戏改,0
SHOW BY ROCK!! Short!!,9,2520773,286890,10296,171,萌系|搞笑|音乐|泡面,0
宇宙战舰提拉米斯II,9.5,3600334,466624,18118,1181,搞笑|奇幻|泡面|漫画改,0
血型君2,9.4,7249013,139582,115761,277,泡面,0
与汪汪喵喵同居的开心日常,9.8,4687525,132176,3132,2998,日常|萌系|治愈|漫画改,0
搞笑漫画日和2,9.3,3905163,534052,19742,509,搞笑|泡面,0
薄樱鬼 御伽草子,9.6,2935330,119753,31725,291,萌系|乙女|泡面,0
搞笑漫画日和3,9.2,2827855,534052,17675,400,搞笑|泡面,0
黑白小姐 第三季,8.9,1511874,171287,26665,169,日常|泡面|科幻|偶像,0
