番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
鬼灭之刃,9.7,648121685,10429650,9093617,367650,漫画改|战斗|热血|声控,1
咒术回战,9.8,550387457,9227990,4110625,188431,漫画改|战斗|热血,1
工作细胞 第二季,9.7,61806155,8925627,512573,15117,漫画改|搞笑|战斗|日常,1
Re：从零开始的异世界生活 第二季 后半,9.9,71260122,8647289,845335,140073,小说改|穿越|奇幻,1
关于我转生变成史莱姆这档事 转生史莱姆日记,9.2,9450416,8518027,5028,198,漫画改|日常|搞笑|穿越,1
关于我转生变成史莱姆这档事 第二季,9.1,171222913,8518045,1209404,174077,小说改|奇幻|战斗|魔法,1
鬼灭之刃（中配）,9.1,106633198,10429654,575803,14219,漫画改|热血|战斗|励志,1
工作细胞,9.6,209835128,8925630,4418145,69906,搞笑|战斗|日常|声控,1
Re：从零开始的异世界生活 第二季 前半,9.7,114040533,8647291,1877167,112087,小说改|穿越|奇幻,1
辉夜大小姐想让我告白？～天才们的恋爱头脑战～,9.8,174078334,7791685,3545760,199762,搞笑|校园|恋爱|漫画改,1
关于我转生变成史莱姆这档事,9.4,353431819,8518045,4569949,109029,小说改|奇幻|战斗|魔法,1
小林家的龙女仆,9.7,252602112,6868853,5382924,47720,萌系|搞笑|日常|漫画改,1
埃罗芒阿老师,9.2,195296228,6610520,9242127,56363,小说改|搞笑|恋爱,0
辉夜大小姐想让我告白～天才们的恋爱头脑战～,9.8,226755757,7791684,4579414,219758,恋爱|校园|智斗|日常,1
欢迎来到实力至上主义的教室,8.8,196946096,6486279,4321776,68495,小说改|校园,1
紫罗兰永恒花园,9.7,123143801,6777296,3116975,188449,治愈|励志|职场|催泪,1
青春猪头少年不会梦到兔女郎学姐,9.8,170507863,6646692,3792292,138554,小说改|恋爱|奇幻|校园,1
刀剑神域 爱丽丝篇 异界战争 -终章-,4.8,84285099,7188440,1558318,303776,小说改|穿越|架空|科幻,1
某科学的超电磁炮T,9.8,172486679,6923238,2553217,113704,漫画改|战斗|科幻|校园,1
Re：从零开始的异世界生活 新编集版,9.6,66806415,8647280,1455666,33918,穿越|奇幻|魔法|架空,1
紫罗兰永恒花园外传：永远与自动手记人偶,9.9,25197627,6777306,476261,82893,剧情|动画|小说改,1
冰菓,9.8,91752252,5605596,3326218,60788,恋爱|推理|校园|日常,1
Re：从零开始的异世界生活,9.2,231350611,8647280,11600874,53777,奇幻|小说改|架空|穿越,1
堀与宫村,9.8,153261256,5439581,1882577,122223,漫画改|校园|恋爱|少女,1
在下坂本，有何贵干？,9.3,191582996,5279509,3123201,31548,搞笑|校园|日常,1
我的青春恋爱物语果然有问题。完,8.8,67269676,5895788,1232745,79063,校园|恋爱|小说改,1
OVERLORD,9.6,338809692,8682470,3649649,41594,奇幻|战斗|小说改|架空,0
岸边露伴 一动也不动,9.9,12704505,5590164,79702,15070,漫画改|奇幻|战斗,1
刀剑神域 爱丽丝篇 异界战争,9.1,88641754,7188435,1054442,53023,小说改|穿越|科幻|架空,1
OVERLORD Ⅲ,9.4,330752183,8682470,3776095,80789,小说改|奇幻|智斗|战斗,0
因为太怕痛就全点防御力了,9,182812777,5085810,3029839,140036,小说改|穿越|奇幻|萌系,1
徒然喜欢你,9.7,132674315,5051566,2871949,43515,恋爱|校园|漫画改|搞笑,0
OVERLORD Ⅱ,9.6,314667393,8682474,3910325,71352,小说改|奇幻|战斗|魔法,0
Re：从零开始的异世界生活 Memory Snow(雪之回忆),9.7,12191567,8647281,225149,12545,小说改|穿越|奇幻|日常,1
Re：从零开始的异世界生活 冰结之绊,9.5,12658436,8647291,108752,11119,小说改|奇幻|战斗,1
Angels of Death,9.5,111300914,4786288,3259123,56952,恋爱|游戏改|冒险,1
四月是你的谎言,9.8,140580402,4877043,4614827,55224,少女|音乐|催泪|恋爱,0
青春猪头少年不会梦到怀梦美少女,9.8,19241818,6646689,1081497,123105,小说改|穿越|奇幻|校园,1
某科学的超电磁炮,9.7,115958391,6923240,6281905,39861,校园|战斗|奇幻|漫画改,1
JOJO的奇妙冒险,9.8,103785074,5590163,2107800,71869,漫画改|战斗|奇幻|冒险,1
干物妹！小埋R,9.4,130703513,6733339,3603893,36678,萌系|搞笑|日常|漫画改,1
这个勇者明明超强却过分慎重,9.7,146940459,4548472,1427318,122700,小说改|穿越|奇幻|战斗,1
约战狂三外传,9.6,15994560,4772821,111718,15202,小说改|战斗|校园,1
刀剑神域 Alicization,8.3,169125623,7188435,3082649,84133,小说改|热血|奇幻|战斗,1
命运-冠位指定 绝对魔兽战线 巴比伦尼亚,9.4,137668326,4607142,1636998,136922,游戏改|奇幻|战斗|冒险,1
干物妹！小埋,9.3,157593514,6733338,6034366,19780,萌系|日常,1
总之就是非常可爱,9.5,113590604,4314365,2037848,76793,日常|恋爱|漫画改,1
五等分的新娘∬,9.7,47509428,4528084,563269,24022,漫画改|校园|恋爱,1
转生成蜘蛛又怎样！,9,156604958,4193307,837714,66033,奇幻|穿越|冒险|励志,1
JOJO的奇妙冒险 黄金之风,9.8,360418731,5590162,3917805,235873,热血|智斗|战斗|漫画改,1
Charlotte,9.4,129021938,4170026,2268029,46942,日常|校园|奇幻|催泪,0
多罗罗,9.4,158708189,4068780,1329647,74173,热血|战斗|冒险,1
异度侵入 ID:INVADED,9.8,107768236,4055487,1487371,289738,原创|科幻|推理,1
路人女主的养成方法 Fine,9.8,10036073,4417020,301345,44500,小说改|恋爱|社团,1
盾之勇者成名录,7.3,211149331,4031079,3574863,243997,小说改|奇幻|魔法|架空,1
