番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
四月是你的谎言,9.8,140594183,4877386,4614935,55232,少女|音乐|催泪|恋爱,0
CAROLE & TUESDAY,9.7,63303196,2261939,1034624,100671,原创|科幻|音乐|励志,1
无论何时我们的恋情都是10厘米。～告白实行委员会～,9.6,17661732,2356883,295212,11329,恋爱|音乐|原创|校园,0
轻音少女 第一季,9.9,25712213,1918292,729198,61599,日常|校园|音乐|漫画改,1
Love Live! School Idol Project,9.7,22438995,1767742,1836054,11067,校园|音乐|偶像|社团,0
吹响吧！上低音号,9.8,28687638,1481917,673772,16665,音乐|校园|少女|励志,0
LoveLive! Sunshine!! 学园偶像 电影 彩虹彼端,9.7,717005,1258662,20844,3225,原创|音乐|偶像|社团,1
Love Live! Sunshine!!,9,16547949,1258662,1098437,3895,音乐|偶像,0
吹响吧！上低音号 第二季,9.9,5330165,1481917,160730,15970,日常|校园|励志|音乐,1
22/7,9.3,15229445,871809,229636,12783,原创|日常|萌系|音乐,1
轻音少女 第二季,9.9,24420716,1918295,720070,49627,漫画改|萌系|音乐|校园,1
Love Live! School Idol Project（第二季）,9.7,26682067,1767742,1554145,8442,校园|音乐|偶像|社团,0
吹响吧！上低音号～誓言的终章～,9.9,2747540,1481917,107263,17616,日常|校园|励志|音乐,1
从很久以前就喜欢你了。～告白实行委员会～,9.6,8071270,2356883,209396,2824,恋爱|音乐|校园|声控,1
佐贺偶像是传奇 卷土重来,9.8,4470852,763247,40503,935,原创|偶像|搞笑|音乐,1
知晓天空之蓝的人啊,9.6,4929509,737305,74280,15710,恋爱|穿越|音乐|治愈,1
吹响吧！上低音号～想要传达的旋律～,9.8,1080965,1481916,14595,3696,小说改|日常|校园|萌系,1
吹响吧！上低音号～欢迎来到北宇治高中吹奏乐部～,9.8,1048957,1481917,15235,3252,小说改|日常|萌系|校园,1
催眠麦克风-Division Rap Battle- Rhyme Anima,7,10881534,640662,241802,8273,偶像|音乐,1
少女☆歌剧 Revue Starlight,9.8,15039986,650507,277264,26482,音乐|奇幻|战斗|偶像,0
NANA,9.8,9886709,595963,326187,4857,日常|少女|音乐,1
月歌。THE ANIMATION2,7.9,2185861,636484,23228,596,原创|声控|偶像|日常,1
轻音少女 剧场版,9.9,3190958,1918295,193562,51784,日常|萌系|音乐|校园,1
目隐都市的演绎者,9.6,4222897,522184,69078,6787,奇幻|声控|励志|音乐,0
TARI TARI,9.7,3314322,526175,86518,4214,日常|音乐|校园|催泪,0
IDOLiSH7-偶像星愿-,9.8,11895182,652273,233705,6729,音乐|偶像|游戏改,0
月歌,9.6,10585745,636484,538788,2201,乙女|音乐|偶像,0
BanG Dream! 梦想协奏曲 第三季,9.8,4676597,671539,113630,6385,原创|校园|音乐,1
BanG Dream!,9.5,8175223,671540,219818,3331,校园|音乐|社团|日常,0
BanG Dream! 梦想协奏曲 电影演唱会,9.8,891159,671540,23903,3969,音乐|社团|少女|声控,1
覆面系 NOISE,8.4,6986497,432662,196797,962,恋爱|音乐|少女|漫画改,0
偶像大师 灰姑娘女孩,9.3,7368654,543501,224292,1175,音乐|偶像|励志|少女,0
Love Live! Sunshine!! 第二季,9.4,6469408,1258662,271693,5771,音乐|校园|偶像|社团,0
聆听者 / LISTENERS,7.7,5418142,392133,52412,3266,原创|音乐|热血,1
LOST SONG 失落的歌谣,9.4,5781430,365082,119478,11811,音乐|原创|架空,0
Love Live！虹咲学园学园偶像同好会,9.8,5567571,318653,126502,8561,校园|偶像|音乐,1
A3!满开剧团 秋组&冬组篇,9.4,873805,290238,11014,478,游戏改|音乐|偶像,1
纯白之音,9.7,1412988,256724,12762,912,漫画改|音乐|励志,1
偶像梦幻祭,8.7,7139495,252240,187625,2796,游戏改|音乐|偶像|声控,1
偶像大师,9.8,3094673,259067,279738,2529,校园|音乐|催泪|偶像,0
超心动！艺术之星,9,6061198,241968,117690,450,乙女|音乐,0
歌之☆王子殿下 真爱1000%,9.4,2021604,325852,77964,697,音乐|声控|乙女,0
BanG Dream! 第二季,9.7,6727339,671540,117924,5095,音乐|社团|少女|声控,1
琴之森,9.5,3678059,312709,29340,1383,音乐|治愈|励志|漫画改,0
歌之☆王子殿下 真爱REVOLUTIONS,9.3,6998125,325852,300774,490,音乐|声控|乙女|偶像,0
