番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
鬼灭之刃,9.7,648128102,10429719,9093661,367650,漫画改|战斗|热血|声控,1
咒术回战,9.8,550405103,9228179,4110724,188431,漫画改|战斗|热血,1
工作细胞 第二季,9.7,61806989,8925658,512582,15117,漫画改|搞笑|战斗|日常,1
关于我转生变成史莱姆这档事 第二季,9.1,171231128,8518132,1209433,174082,小说改|奇幻|战斗|魔法,1
鬼灭之刃（中配）,9.1,106634291,10429728,575806,14219,漫画改|热血|战斗|励志,1
工作细胞,9.6,209835962,8925662,4418148,69906,搞笑|战斗|日常|声控,1
关于我转生变成史莱姆这档事,9.4,353437812,8518129,4569970,109030,小说改|奇幻|战斗|魔法,1
刀剑神域 爱丽丝篇 异界战争 -终章-,4.8,84286004,7188472,1558318,303776,小说改|穿越|架空|科幻,1
某科学的超电磁炮T,9.8,172488467,6923288,2553239,113707,漫画改|战斗|科幻|校园,1
OVERLORD,9.6,338815017,8682558,3649660,41594,奇幻|战斗|小说改|架空,0
岸边露伴 一动也不动,9.9,12706146,5590244,79703,15070,漫画改|奇幻|战斗,1
刀剑神域 爱丽丝篇 异界战争,9.1,88642325,7188471,1054467,53023,小说改|穿越|科幻|架空,1
OVERLORD Ⅲ,9.4,330757703,8682555,3776112,80789,小说改|奇幻|智斗|战斗,0
OVERLORD Ⅱ,9.6,314671850,8682555,3910333,71352,小说改|奇幻|战斗|魔法,0
Re：从零开始的异世界生活 冰结之绊,9.5,12658579,8647315,108752,11119,小说改|奇幻|战斗,1
某科学的超电磁炮,9.7,115960226,6923288,6281921,39861,校园|战斗|奇幻|漫画改,1
JOJO的奇妙冒险,9.8,103788659,5590244,2107827,71869,漫画改|战斗|奇幻|冒险,1
这个勇者明明超强却过分慎重,9.7,146942873,4548540,1427337,122701,小说改|穿越|奇幻|战斗,1
约战狂三外传,9.6,15994861,4772838,111718,15202,小说改|战斗|校园,1
刀剑神域 Alicization,8.3,169126519,7188473,3082653,84133,小说改|热血|奇幻|战斗,1
命运-冠位指定 绝对魔兽战线 巴比伦尼亚,9.4,137670246,4607166,1637004,136923,游戏改|奇幻|战斗|冒险,1
转生成蜘蛛又怎样！,9,156629561,4193601,837815,66034,奇幻|穿越|冒险|励志,1
JOJO的奇妙冒险 黄金之风,9.8,360423962,5590244,3917830,235881,热血|智斗|战斗|漫画改,1
多罗罗,9.4,158709945,4068811,1329648,74173,热血|战斗|冒险,1
Fate/Apocrypha,5.9,139620012,3968826,3536402,112754,热血|战斗,0
JOJO的奇妙冒险 星尘远征军,9.8,78017152,5590244,1916491,59588,漫画改|奇幻|战斗|冒险,1
JOJO的奇妙冒险 星尘远征军 埃及篇,9.8,70592892,5590244,1866454,57601,漫画改|战斗|奇幻|冒险,1
Fate/Zero 第一季,9.6,96349952,3778206,3571019,19290,时泪|奇幻|战斗|热血,0
境界的彼方,9.5,36936696,3591671,1397736,20417,恋爱|奇幻|战斗,1
路人超能100 第一次灵能咨询所员工旅游～舒缓心灵的疗愈之旅~（OVA2）,9.8,3780940,4127665,32421,13639,热血|奇幻|战斗|漫画改,1
魔法禁书目录 第一季,9,70831367,4959978,3693179,15147,科幻|校园|战斗|热血,0
罪恶王冠,9,60118457,3193598,3046966,33107,奇幻|战斗|热血|原创,0
宝石之国,9.7,63846312,3064195,1358221,56849,战斗|架空|励志|催泪,1
平凡职业造就世界最强,5.9,116181865,3054864,1623196,217776,小说改|奇幻|战斗|冒险,1
全员恶玉,6.3,90085407,3047675,657088,83921,原创|战斗|架空|科幻,1
魔法禁书目录 第三季,8,94257605,4959979,1518201,55902,小说改|热血|科幻|奇幻,1
路人超能100(灵能百分百),9.8,92644228,4127665,1320764,25437,热血|奇幻|战斗,1
刀剑神域,9.7,95511078,7188472,3779935,80258,小说改|热血|奇幻|战斗,0
终结的炽天使,8.5,103294857,3446485,2483047,10849,奇幻|战斗,0
Fate/EXTRA Last Encore,8.8,45156247,2825897,869773,39441,奇幻|战斗|游戏改,1
公主连结Re:Dive,9.5,78458051,2810847,1714594,49375,奇幻|战斗|魔法|冒险,1
野良神,9.5,42559566,3903525,1384830,15627,奇幻|战斗|漫画改|神魔,1
工作细胞BLACK,9.8,63450332,2764980,611744,30954,漫画改|战斗|声控,1
某科学的一方通行,6.6,63772225,2695475,1150065,68437,漫画改|科幻|战斗|魔法,1
文豪野犬 第三季,9.8,55556301,3030707,804708,36282,漫画改|战斗|奇幻,1
路人超能100 II(灵能百分百 第二季),9.8,88883689,4127665,919382,72239,热血|奇幻|战斗|漫画改,1
炎炎消防队 贰之章,9.1,54534464,2997844,430162,17003,漫画改|热血|战斗|声控,1
在地下城寻求邂逅是否搞错了什么 第三季,9.2,28673183,2885590,213867,14604,小说改|战斗|奇幻|冒险,1
愤怒的审判,5.9,14874742,2696816,60659,5779,漫画改|热血|战斗|奇幻,1
钢之炼金术师 FULLMETAL ALCHEMIST,9.9,70376790,2549062,1365130,104633,时泪|奇幻|战斗|热血,1
约会大作战,9.3,42035093,4772839,1920372,13910,战斗,0
炎炎消防队,9.2,89953250,2997844,886458,39976,漫画改|战斗|热血,1
JOJO的奇妙冒险 不灭钻石,9.8,123633637,5590244,3583309,87065,热血|奇幻|漫画改|战斗,1
在地下城寻求邂逅是否搞错了什么,9.6,11934508,2885591,139763,5577,小说改|奇幻|战斗|架空,1
约会大作战 第三季,7.8,55896095,4772839,1443174,38495,小说改|萌系|奇幻|战斗,1
某科学的超电磁炮S,9.7,67322541,6923290,3723830,26260,校园|战斗|奇幻,1
落第骑士英雄谭,9.4,96075276,2339460,2463387,19908,校园|战斗|架空|冒险,0
Fate/Grand Order ‐First Order‐,8.3,28599844,4607168,752862,10066,战斗|游戏改,0
野良神 ARAGOTO,9.4,106703611,3903525,2154723,14914,奇幻|战斗|漫画改|神魔,1
黑色四叶草,9.5,207159326,2213090,2255285,99015,战斗|热血|魔法|漫画改,1
诸神的逆鳞,4.7,48834503,2696816,270637,43857,漫画改|热血|战斗|奇幻,1
星掠者,5.4,92402220,2107451,986050,45172,漫画改|奇幻|搞笑|战斗,1
Angel Beats!,9.7,14779648,2078533,376365,25990,奇幻|校园|战斗|催泪,0
幻界战线,9.6,57363735,2811438,814772,13092,科幻|热血|战斗,0
Fate/Zero 第二季,9.6,96302734,3778209,3570999,16680,时泪|奇幻|战斗|热血,0
半妖的夜叉姬,4.8,29675284,2652478,388756,23054,原创|穿越|奇幻|战斗,1
在地下城寻求邂逅是否搞错了什么 第二季,9,50263798,2885591,708871,22275,小说改|奇幻|战斗|冒险,1
K,9.4,23372966,3027123,673068,6460,奇幻|战斗|声控,1
终结的炽天使 名古屋决战篇,8.7,78820242,3446485,2113315,8721,奇幻|校园|战斗,0
你与我最后的战场，亦或是世界起始的圣战,7.8,41532942,1923055,318080,16075,冒险|战斗|奇幻|恋爱,1
双星之阴阳师,8.5,92176606,1908119,3118578,5731,热血|奇幻|战斗|冒险,1
戒律的复活,9.7,81754788,2696815,534923,21710,热血|战斗|漫画改|架空,1
学战都市Asterisk,8.3,81162433,2248037,1365051,4145,校园|奇幻|战斗|架空,1
漆黑的子弹,9.2,24606641,1804148,883420,11263,奇幻|战斗,0
火影忍者 疾风传,9.6,139632393,1822853,2664236,16982,热血|战斗|漫画改|架空,1
犬夜叉,9.9,140869764,2652474,3213852,40465,漫画改|热血|穿越|奇幻,0
异界少女召唤术,6.9,32642287,1681893,519338,16848,小说改|奇幻|战斗|魔法,1
格莱普尼尔,8.9,40025985,1680667,419020,25375,漫画改|奇幻|战斗,1
问题儿童都来自异世界？,9.2,49505217,1716334,692542,7317,奇幻|战斗|热血|架空,0
神之塔,9.3,46769076,1664442,483465,46938,漫画改|战斗|奇幻|冒险,1
银魂,9.9,68417945,1693582,463921,39022,漫画改|热血|搞笑|战斗,1
幻界战线 & BEYOND,9.8,35605997,2811440,397633,30741,奇幻|战斗|漫画改,0
魔法纪录 魔法少女小圆外传,9.5,17854884,2196659,264551,13020,游戏改|奇幻|战斗|萌系,1
记录的地平线 圆桌崩坏,9.7,11824540,1784930,84513,8474,小说改|穿越|战斗,1
魔法禁书目录 第二季,9.1,45245605,4959979,2456684,11359,科幻|校园|战斗|热血,0
无限滑板 / SK8 the Infinity,9.6,36956082,1581214,707262,34084,原创|战斗|热血,1
碧蓝航线,8.1,32189347,1698995,691987,26123,游戏改|战斗|萌系|架空,1
K RETURN OF KINGS,9.3,68612399,3027122,1177899,5338,奇幻|战斗|声控|原创,1
EVA 新世纪福音战士,9.7,38998528,1839841,773145,38116,科幻|机战|战斗,0
