番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
冰菓,9.8,91775573,5607049,3326327,60796,恋爱|推理|校园|日常,1
路人女主的养成方法 Fine,9.8,10038157,4417223,301378,44508,小说改|恋爱|社团,1
路人女主的养成方法 ♭,9.7,19340912,4417222,288111,21460,小说改|恋爱|校园|社团,1
碧蓝之海,9.9,96449807,3147167,889375,97986,搞笑|校园|社团|运动,1
CLANNAD,9.8,28847458,3139264,758803,50691,时泪|校园|治愈|催泪,0
理科生坠入情网，故尝试证明。,9.7,40476304,2457138,761817,44819,漫画改|日常|搞笑|校园,1
Love Live! School Idol Project,9.7,22438995,1767742,1836054,11067,校园|音乐|偶像|社团,0
GAMERS电玩咖！,9.1,34498781,1339108,1131323,18555,小说改|校园|社团,0
吹响吧！上低音号,9.8,28687638,1481917,673772,16665,音乐|校园|少女|励志,0
Free!-Road to the World-梦,9.7,941481,1619750,35790,1981,社团|校园|运动,1
LoveLive! Sunshine!! 学园偶像 电影 彩虹彼端,9.7,717005,1258662,20844,3225,原创|音乐|偶像|社团,1
欢迎光临樱兰高校,9.9,25851393,1110447,614829,12808,搞笑|日常|少女|校园,0
Rewrite 2nd Season,9.2,18327254,1930984,383894,4442,校园|社团|战斗|游戏改,0
恋爱小行星,9.7,13623007,1007996,339333,15779,漫画改|搞笑|日常|治愈,1
Free!-Dive to the Future-,9.5,13161083,1619751,359717,5506,热血|社团|运动|小说改,1
吹响吧！上低音号 第二季,9.9,5330165,1481917,160730,15970,日常|校园|励志|音乐,1
黑子的篮球,9.1,19308163,1207316,915773,3014,运动|热血|声控|社团,1
凉宫春日的忧郁 2009,9.7,8504075,1177802,250607,9273,小说改|奇幻|校园|日常,1
Love Live! School Idol Project（第二季）,9.7,26682067,1767742,1554145,8442,校园|音乐|偶像|社团,0
吹响吧！上低音号～誓言的终章～,9.9,2747540,1481917,107263,17616,日常|校园|励志|音乐,1
弦音 -风舞高中弓道部-,9.5,12503762,822343,251558,9918,小说改|校园|社团|运动,1
吹响吧！上低音号～想要传达的旋律～,9.8,1080965,1481916,14595,3696,小说改|日常|校园|萌系,1
吹响吧！上低音号～欢迎来到北宇治高中吹奏乐部～,9.8,1048957,1481917,15235,3252,小说改|日常|萌系|校园,1
轻羽飞扬！,4.1,12735786,626800,303641,60993,社团|运动|漫画改,1
排球少年！！,9.9,15070607,741121,283139,25513,漫画改|热血|校园|运动,1
大神与七位伙伴,9.4,3332402,624151,59236,3275,奇幻|热血|社团,0
黑子的篮球 第3期,9.3,49900924,1207316,1885425,2256,运动|热血|声控|社团,1
BanG Dream!,9.5,8175223,671540,219818,3331,校园|音乐|社团|日常,0
花牌情缘 第三季,7.8,6787551,574361,78844,9344,漫画改|热血|恋爱|少女,1
BanG Dream! 梦想协奏曲 电影演唱会,9.8,891159,671540,23903,3969,音乐|社团|少女|声控,1
凉宫春日的忧郁 2006,9.7,2364380,1177802,23621,3213,时泪|奇幻|搞笑|科幻,1
黑子的篮球 第2期,9.2,15288506,1207316,924424,1730,运动|热血|声控|社团,1
凉宫春日的消失,9.9,1635341,1177802,54039,11123,搞笑|奇幻|校园|日常,1
Love Live! Sunshine!! 第二季,9.4,6469408,1258662,271693,5771,音乐|校园|偶像|社团,0
花牌情缘,8.6,4792811,574361,111147,2851,少女|运动|校园|热血,0
动画同好会,8.6,4812791,382108,167486,2668,校园|社团|原创|搞笑,0
ANIMAYELL!,9.5,3256075,338294,58433,3084,萌系|校园|社团|运动,1
放学后桌游俱乐部,9.3,3343862,322178,64062,3220,漫画改|校园|日常|社团,1
高达创形者,4.6,18629013,321537,292136,6345,热血|机战|社团|少儿,0
我的朋友很少 OAD,9.1,4008261,1305856,36398,600,小说改|社团|少女|日常,0
银之匙 Silver Spoon 第一季,9.8,6916599,301899,160902,3946,日常|校园|热血|美食,0
笨蛋，测验，召唤兽 OVA,9.7,5745339,1716627,98472,2498,搞笑|校园|社团|日常,0
2.43清阴高中男子排球社,8.7,2008096,268569,17323,1442,小说改|运动|社团|励志,1
斯特拉的魔法,9.4,2873542,245804,83982,1058,萌系|校园|社团,0
钻石王牌 act II 后半,9.8,9635797,316357,95802,4624,漫画改|校园|运动|社团,1
新网球王子 OVA 对战Genius10,9.3,8934380,618536,343202,940,运动|热血|社团,1
BanG Dream! 第二季,9.7,6727339,671540,117924,5095,音乐|社团|少女|声控,1
环战公主 CIRCLET PRINCESS,7.1,3589173,217928,27627,1199,社团|战斗|游戏改,1
前进吧！登山少女 第三季,9.7,2761199,363543,49067,2659,萌系|社团|日常|漫画改,0
青春歌舞伎,9,2106706,194742,42553,292,校园|社团|励志,0
MIX,9.8,6377562,192546,42375,4431,漫画改|运动|社团|恋爱,1
美妙射击部,9.4,2348729,186814,31001,2218,漫画改|萌系|运动|社团,1
御神乐学园组曲,9,5136457,167646,194558,641,热血|校园|社团|战斗,0
钻石王牌 act II 前半,9.7,12363346,316357,113421,3802,漫画改|校园|运动|社团,1
黑子的篮球 第3期 OVA,9.7,745498,1207315,8824,988,热血|校园|社团|运动,1
排球少年剧场版 结束与开始,9.8,1820470,741121,17583,1496,热血|校园|社团|运动,0
花牌情缘 第二季,8.5,2269207,574361,69896,1862,少女|运动|校园|热血,0
银之匙 Silver Spoon 第二季,9.8,5044886,301899,92954,3224,日常|热血|校园|美食,0
"Wake Up, Girls! 新章",8,947542,127139,8398,435,音乐|偶像|社团|原创,1
玉响～hitotose～,9.6,666248,154523,24609,577,日常|治愈|社团,0
骑行少女,9.5,1928744,121421,72505,607,漫画改|校园|社团|运动,0
特别版 Free!-Take Your Marks-,9.7,796676,1619751,63639,1443,社团|运动,1
