番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
关于我转生变成史莱姆这档事 第二季,9.1,171235032,8518185,1209451,174082,小说改|奇幻|战斗|魔法,1
关于我转生变成史莱姆这档事,9.4,353440903,8518184,4569985,109030,小说改|奇幻|战斗|魔法,1
紫罗兰永恒花园,9.7,123146384,6777455,3116988,188464,治愈|励志|职场|催泪,1
刀剑神域 爱丽丝篇 异界战争 -终章-,4.8,84286410,7188491,1558319,303776,小说改|穿越|架空|科幻,1
Re：从零开始的异世界生活 新编集版,9.6,66808120,8647336,1455699,33918,穿越|奇幻|魔法|架空,1
Re：从零开始的异世界生活,9.2,231352437,8647336,11600894,53777,奇幻|小说改|架空|穿越,1
OVERLORD,9.6,338817355,8682591,3649667,41594,奇幻|战斗|小说改|架空,0
刀剑神域 爱丽丝篇 异界战争,9.1,88642569,7188489,1054473,53023,小说改|穿越|科幻|架空,1
OVERLORD Ⅲ,9.4,330760284,8682591,3776126,80789,小说改|奇幻|智斗|战斗,0
因为太怕痛就全点防御力了,9,182817450,5085898,3029898,140041,小说改|穿越|奇幻|萌系,1
OVERLORD Ⅱ,9.6,314674096,8682591,3910342,71352,小说改|奇幻|战斗|魔法,0
这个勇者明明超强却过分慎重,9.7,146944129,4548561,1427340,122704,小说改|穿越|奇幻|战斗,1
刀剑神域 Alicization,8.3,169126921,7188491,3082656,84133,小说改|热血|奇幻|战斗,1
盾之勇者成名录,7.3,211153432,4031135,3574898,243997,小说改|奇幻|魔法|架空,1
NO GAME NO LIFE 游戏人生,9.8,63127966,4200715,1661527,60056,奇幻|智斗|架空|穿越,0
动物狂想曲 / BEASTARS 第二季,9.3,37290350,3871879,405092,25131,漫画改|校园|恋爱|架空,1
动物狂想曲 / BEASTARS,9.7,76044944,3871879,1088035,82956,漫画改|奇幻|恋爱|校园,1
罪恶王冠,9,60119152,3193608,3046988,33107,奇幻|战斗|热血|原创,0
宝石之国,9.7,63846521,3064209,1358221,56849,战斗|架空|励志|催泪,1
平凡职业造就世界最强,5.9,116183185,3054883,1623202,217776,小说改|奇幻|战斗|冒险,1
全员恶玉,6.3,90085798,3047673,657091,83923,原创|战斗|架空|科幻,1
公主连结Re:Dive,9.5,78458497,2810858,1714595,49375,奇幻|战斗|魔法|冒险,1
魔女之旅,9.7,56284767,2664964,813629,70540,小说改|魔法|奇幻|架空,1
在地下城寻求邂逅是否搞错了什么 第三季,9.2,28673566,2885599,213867,14604,小说改|战斗|奇幻|冒险,1
钢之炼金术师 FULLMETAL ALCHEMIST,9.9,70379933,2549107,1365152,104633,时泪|奇幻|战斗|热血,1
在地下城寻求邂逅是否搞错了什么,9.6,11934931,2885599,139765,5577,小说改|奇幻|战斗|架空,1
落第骑士英雄谭,9.4,96075739,2339468,2463391,19908,校园|战斗|架空|冒险,0
贤者之孙,6.7,73591925,2324705,958901,56722,小说改|奇幻|架空|穿越,1
从零开始的魔法书,9,46301290,2190261,992232,8795,小说改|奇幻|魔法|架空,1
打工吧！魔王大人,9.6,86360088,2187466,1081081,21802,日常|小说改|神魔|职场,0
黑色四叶草,9.5,207163820,2213107,2255316,99015,战斗|热血|魔法|漫画改,1
少女终末旅行,9.8,32715452,2162915,978079,64654,奇幻|漫画改|冒险|架空,1
诸神的逆鳞,4.7,48835256,2696828,270639,43857,漫画改|热血|战斗|奇幻,1
星掠者,5.4,92402564,2107453,986050,45172,漫画改|奇幻|搞笑|战斗,1
此花亭奇谭,9.8,30401466,2138395,748732,29909,萌系|漫画改|日常|治愈,0
我，不是说了能力要平均值么！,8.2,57386902,2086249,728655,52621,小说改|穿越|奇幻|萌系,1
博人传 火影忍者新时代,4.2,225630760,2066285,4209422,210361,热血|架空|冒险,1
在地下城寻求邂逅是否搞错了什么 第二季,9,50264140,2885599,708875,22275,小说改|奇幻|战斗|冒险,1
骑士&魔法,8.7,72794399,1976778,1047075,10269,小说改|机战|奇幻|魔法,1
你与我最后的战场，亦或是世界起始的圣战,7.8,41533400,1923069,318088,16075,冒险|战斗|奇幻|恋爱,1
戒律的复活,9.7,81755310,2696827,534930,21710,热血|战斗|漫画改|架空,1
剑姬神圣谭 在地下城寻求邂逅是否搞错了什么 外传,9.7,8286389,2885599,85167,5716,小说改|奇幻|架空|神魔,1
学战都市Asterisk,8.3,81162648,2248045,1365052,4145,校园|奇幻|战斗|架空,1
异世界食堂,9.4,45209999,1830987,988409,9852,小说改|奇幻|美食|架空,0
重来吧，魔王大人！,8.2,54605671,1791081,912919,36247,小说改|奇幻|魔法|穿越,1
火影忍者 疾风传,9.6,139633778,1822860,2664237,16982,热血|战斗|漫画改|架空,1
异界少女召唤术,6.9,32642465,1681893,519338,16848,小说改|奇幻|战斗|魔法,1
问题儿童都来自异世界？,9.2,49505333,1716337,692542,7317,奇幻|战斗|热血|架空,0
没落要塞 / DECA-DENCE,9.7,29427693,1582423,271695,36695,原创|科幻|架空|冒险,1
碧蓝航线,8.1,32189557,1698997,691988,26123,游戏改|战斗|萌系|架空,1
刺客守则,6.5,33884267,1478454,448726,20561,小说改|奇幻|战斗|魔法,1
URARA迷路帖,9.5,20498177,1460482,719005,6198,漫画改|日常|架空,0
魔王勇者,9.5,10053605,1360756,187159,11776,奇幻|少女|声控|神魔,1
刀剑乱舞-花丸-,9.6,24642545,1330912,1116400,3834,游戏改|日常|架空,0
被神捡到的男人,5.5,33553792,1328877,282097,20574,穿越|日常|小说改|架空,1
灰与幻想的格林姆迦尔,9.8,13815440,1291252,298959,28393,奇幻|战斗|小说改|励志,0
热诚传说X,8.3,31103498,1494402,780232,2027,热血|奇幻|战斗|架空,0
忧国的莫里亚蒂 后半,9.8,2305036,1319559,23071,1438,漫画改|架空|声控|智斗,1
时钟机关之星,8.2,26451308,1230893,479928,3545,小说改|科幻|架空,0
超人高中生们即便在异世界也能从容生存！,3.6,28744249,1227851,566542,100908,小说改|穿越|奇幻|冒险,1
忧国的莫里亚蒂,9.6,18417943,1319563,179534,15876,漫画改|智斗|声控|架空,1
零之使魔,9.3,10841766,1430813,319165,5648,奇幻|日常|战斗|恋爱,0
学战都市Asterisk 第二季,8.5,56076836,2248045,977573,3324,奇幻|校园|战斗|架空,1
八男？别闹了！,5.4,44331433,1202025,733751,54643,小说改|穿越|奇幻|魔法,1
赤发白雪姬 第一季,9.7,26275487,1369575,1003001,4577,少女|奇幻|架空,0
记录的地平线,9.7,27298460,1784943,508128,8881,奇幻|智斗|架空|穿越,0
索玛丽与森林之神,9.8,16044737,1139990,257851,23074,漫画改|奇幻|治愈|萌系,1
DARLING in the FRANXX（僅限港澳台地區）,8.9,5787735,1130699,260861,20461,科幻|原创|架空,0
天狼 Sirius the Jaeger,8.8,14006873,1117507,300646,13448,战斗|原创|架空|冒险,1
Q版！黑色四叶草,9.7,1654545,2213107,2907,1091,搞笑|萌系|战斗|架空,1
百炼霸王与圣约女武神,6.2,33011886,1082931,406721,11193,小说改|奇幻|战斗|架空,0
钢之炼金术师,9.4,9324811,1009749,140977,8381,架空|冒险,1
進擊的巨人 第二季（僅限台灣地區）,9.7,3382343,1304230,70660,5318,奇幻|热血|战斗|漫画改,0
精灵宝可梦 日月,9.5,141896141,1566997,1979032,9578,治愈|游戏改|架空|冒险,0
龙与魔女/BURN THE WITCH,9.8,5711689,873113,41006,14814,漫画改|魔法|架空,1
不正经的魔术讲师与禁忌教典,9.2,13125974,870498,112849,7157,战斗|校园|奇幻|架空,1
