番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
冰海战记,9.8,38545868,1370823,435752,66617,漫画改|历史|热血|冒险,1
黑塔利亚 Axis Powers,9.5,18145251,990512,670710,3462,萌系|泡面|声控|日常,0
浪客剑心,9.7,9891596,627429,98561,3901,热血|战斗|历史|漫画改,1
黄金神威,9.8,7346216,646245,71123,5273,漫画改|搞笑|冒险|历史,1
浪客剑心 追忆篇,9.9,2002419,627434,20560,7186,漫画改|战斗|催泪|历史,1
黄金神威 第三季,9.9,7160310,646245,76071,12316,漫画改|冒险|历史|搞笑,1
浪客剑心 新京都篇,7.8,769615,627434,3853,339,战斗|历史,1
浪客剑心 星霜篇,8,572161,627434,3338,458,催泪|战斗|历史,1
薄樱鬼,9.2,3959665,420781,155544,744,历史|少女|声控|乙女,0
刀语,9.5,2658088,259840,78236,1974,历史|奇幻|战斗|催泪,0
黄金神威 第二季,9.9,4622374,646245,62372,4479,漫画改|搞笑|冒险|历史,1
黑塔利亚 Axis Powers 第2期,9.6,18145269,990512,670710,1642,萌系|日常|声控|泡面,0
黑塔利亚 World Series 第3期,9.6,10488766,990512,576127,1412,萌系|日常|泡面|声控,0
黑塔利亚 The Beautiful World 第5期,9.7,6121476,990512,229867,1755,萌系|日常|声控|泡面,0
江户盗贼团五叶,9.7,1206312,193214,42287,1255,日常|历史,0
黑塔利亚 World Series 第4期,9.6,10488766,990512,576127,1404,萌系|日常|声控|泡面,0
鬼平,9.5,2585331,157043,19642,689,推理|历史,0
源氏物语千年纪 Genji,9.1,1743307,147903,50147,363,历史|少女|恋爱,0
SD高达三国传 Brave Battle Warriors,9.5,4090576,132204,47333,710,机战|历史,0
忍者少女千鸟～伊势・金崎篇～,9.3,3775909,251659,9825,645,历史|泡面|漫画改,1
薄樱鬼 碧血录,9.3,3959675,420783,155544,332,历史|声控|乙女,0
BRAVE10 真田十勇士,8.4,475236,99876,5927,238,历史|奇幻|热血|战斗,0
牙狼 -红莲之月-,7.9,2931663,99202,52849,224,热血|奇幻|战斗|历史,0
战国BASARA,9.2,809446,108550,16593,260,历史|热血|游戏改,0
新撰组异闻录 铁,9.7,272384,91046,5273,297,漫画改|战斗|历史,0
信长协奏曲,9.7,1073218,81029,17809,1738,漫画改|历史|声控,0
薄樱鬼 黎明录,9.1,1157527,420782,53528,218,历史|声控|乙女,0
紫式部 源氏物语,9,730361,67751,14618,137,历史|恋爱,0
薄樱鬼 雪华录,9.3,820474,420783,23004,167,历史|声控|乙女,0
凡尔赛玫瑰,9.6,50056,64428,617,342,少女|历史|时泪,1
真魔神英雄传 魔神山篇,9.5,807971,62285,2206,148,热血|奇幻|历史|时泪,0
随风飘的月影兰,9.7,441048,47332,14386,709,历史|热血,0
新撰组镇魂歌 二分之一,9.2,808849,45894,3344,101,搞笑|泡面|历史,0
战国鸟兽戏画～乙～,9.3,866801,101319,3232,101,泡面|搞笑|日常|历史,0
浪客剑心 （中配）,8.4,1193364,627434,5056,182,热血|战斗|历史,0
薄樱鬼 第二章 士魂苍穹,9.3,397503,420783,18357,168,声控|历史,0
哆啦A梦 大雄的人鱼大海战,9.4,715900,1473722,17858,315,奇幻|历史|冒险,0
战国无双,8.6,464236,41240,6924,156,历史|热血,0
昭和物语,9.1,291799,38188,4833,123,历史|日常|治愈,0
战国BASARA 贰,9,500868,108550,24973,112,历史|热血|游戏改,0
手冢治虫的佛陀：永无止境之旅,9.1,259941,27338,4640,141,历史,0
傀儡师左近,9.4,387429,24930,18977,185,历史|奇幻|推理,0
苍天航路,8.7,530834,21100,14822,190,历史|热血,0
战国鬼才传,9.7,641706,13068,36831,231,历史,0
