番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
紫罗兰永恒花园,9.7,123146168,6777449,3116988,188464,治愈|励志|职场|催泪,1
Charlotte,9.4,129025328,4170133,2268055,46942,日常|校园|奇幻|催泪,0
我们仍未知道那天所看见的花的名字。,9.5,40694794,3874796,2111089,32957,日常|治愈|催泪|原创,1
月色真美,9.8,59382468,3199503,3218984,42929,恋爱|校园|原创|治愈,1
天使降临到我身边,9.8,64828136,3164946,1992594,53321,日常|治愈|漫画改|萌系,1
CLANNAD,9.8,28842802,3139116,758773,50684,时泪|校园|治愈|催泪,0
夏目友人帐,9.8,35156432,5319488,1452626,11588,奇幻|日常|治愈|催泪,1
龙与虎,9.8,42075505,2511871,2405194,41643,少女|校园|治愈|催泪,0
夏目友人帐 伍,9.7,47789222,5319488,1512742,7282,治愈|催泪|神魔|漫画改,1
在魔王城说晚安,9.7,51758687,2459132,385427,41900,漫画改|奇幻|治愈|搞笑,1
请问您今天要来点兔子吗？BLOOM,9.9,11619375,2636049,190408,15897,漫画改|日常|萌系|治愈,1
言叶之庭,9.7,19224034,2218366,704179,18408,日常|少女|治愈,0
玉子市场,9.8,26855848,2891556,860521,24571,萌系|少女|治愈|日常,0
此花亭奇谭,9.8,30401413,2138392,748732,29909,萌系|漫画改|日常|治愈,0
夏目友人帐 陆,9.8,41244416,5319488,1226238,11332,催泪|奇幻|日常|治愈,1
One Room 第三季,9.8,13171504,2093659,94756,9541,日常|恋爱|治愈|泡面,0
请问您今天要来点兔子吗？,9.7,19773660,2636049,823820,11500,萌系|日常|美食|治愈,1
地狱少女 宵伽,9.2,27089381,2067683,612463,4893,治愈|神魔,0
请问您今天要来点兔子吗？？～Sing for You～,9.8,1545163,2636049,27511,6101,漫画改|搞笑|日常|萌系,1
悠哉日常大王 第三季,9.9,15762864,1554746,202271,21803,漫画改|日常|萌系|治愈,1
ISLAND,9.2,24146717,1469065,327235,11231,游戏改|催泪|推理|治愈,0
ReLIFE,9.9,13900103,1495052,192075,27525,校园|恋爱|搞笑|治愈,1
比宇宙更远的地方,9.8,20150935,1419738,443955,37674,声控|治愈|励志|原创,0
爱吃拉面的小泉同学,9.2,26466155,1377141,555551,8930,治愈|美食|漫画改,0
散华礼弥,9.5,9128698,1351749,338537,10762,奇幻|日常|治愈,0
她与她的猫,9.7,10582172,1252173,81722,5938,治愈,0
怪化猫,9.8,13170648,1240027,328798,11634,奇幻|治愈|神魔,0
