番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
小林家的龙女仆,9.7,252607064,6868982,5382943,47721,萌系|搞笑|日常|漫画改,1
因为太怕痛就全点防御力了,9,182816738,5085888,3029897,140041,小说改|穿越|奇幻|萌系,1
干物妹！小埋R,9.4,130704498,6733385,3603897,36678,萌系|搞笑|日常|漫画改,1
干物妹！小埋,9.3,157594520,6733385,6034369,19780,萌系|日常,1
天使降临到我身边,9.8,64828001,3164938,1992594,53321,日常|治愈|漫画改|萌系,1
日常,9.9,30915358,2782358,480894,47993,萌系|搞笑|日常|漫画改,1
请问您今天要来点兔子吗？BLOOM,9.9,11619325,2636048,190408,15897,漫画改|日常|萌系|治愈,1
约会大作战 第三季,7.8,55896178,4772839,1443175,38495,小说改|萌系|奇幻|战斗,1
玉子市场,9.8,26855848,2891556,860521,24571,萌系|少女|治愈|日常,0
我的妹妹不可能那么可爱 第一季,9.2,36756834,2351520,2462935,14594,萌系|校园|日常|恋爱,0
此花亭奇谭,9.8,30401365,2138389,748732,29909,萌系|漫画改|日常|治愈,0
我，不是说了能力要平均值么！,8.2,57386567,2086245,728655,52619,小说改|穿越|奇幻|萌系,1
小木乃伊到我家,9.6,43721559,2050634,669323,14457,漫画改|萌系|搞笑|日常,0
属性咖啡厅,9.6,40257231,2017149,1136787,22223,萌系|少女|日常|漫画改,0
请问您今天要来点兔子吗？,9.7,19773609,2636048,823820,11500,萌系|日常|美食|治愈,1
请问您今天要来点兔子吗？？～Sing for You～,9.8,1545161,2636048,27511,6101,漫画改|搞笑|日常|萌系,1
魔法纪录 魔法少女小圆外传,9.5,17854951,2196672,264551,13020,游戏改|奇幻|战斗|萌系,1
碧蓝航线：微速前行！,9.8,10926954,1698996,93827,9028,日常|萌系|漫画改,1
GOSICK,9.7,6576011,1561418,125003,18817,萌系|奇幻|日常|催泪,1
碧蓝航线,8.1,32189447,1698996,691988,26123,游戏改|战斗|萌系|架空,1
悠哉日常大王 第三季,9.9,15762864,1554746,202271,21803,漫画改|日常|萌系|治愈,1
NEW GAME!,9.6,26354844,1818657,903991,7147,萌系|日常,0
街角魔族,9.8,29879950,1459739,442327,32553,漫画改|日常|萌系|搞笑,1
邻家索菲,9.8,23924198,1374575,555544,17134,萌系|漫画改,1
妖精森林的小不点,9.9,23292569,1317116,317548,38737,奇幻|日常|漫画改|萌系,0
熊熊勇闯异世界,8.3,33788535,1299496,336240,15886,穿越|魔法|萌系|小说改,1
一起一起这里那里,9.8,11723889,1227773,172630,9976,萌系|日常|治愈|萝莉,0
电波女与青春男,9.6,8556824,1178115,224598,7599,萌系|日常|小说改,0
请问您今天要来点兔子吗？？,9.7,22181286,2636049,863409,8853,萌系|日常|美食|萝莉,1
索玛丽与森林之神,9.8,16044716,1139989,257851,23074,漫画改|奇幻|治愈|萌系,1
学园孤岛,9.5,27348122,1130650,1242856,11947,萌系|校园|冒险|日常,0
只要贝尔哲布布大小姐喜欢就好,9.6,13377594,1128158,196526,7871,萌系|搞笑|恋爱|奇幻,1
我的妹妹不可能那么可爱 第二季,8.5,28733897,2351520,3947921,19331,日常|萌系|校园|小说改,0
雏子的笔记,9.5,14083622,1097330,431147,4246,萌系|日常|漫画改,0
Q版！黑色四叶草,9.7,1654518,2213098,2907,1091,搞笑|萌系|战斗|架空,1
濑户的花嫁,9.7,19498978,1090109,655737,10766,萌系|日常|恋爱,0
猫咪日常,9.6,25075197,1051209,125901,6006,漫画改|萌系|日常|泡面,0
银仙,9.7,34237077,1047449,2914248,4280,萌系|搞笑|日常|治愈,0
天真与闪电,9.7,16976171,1001839,475263,4169,日常|治愈|萌系,0
恋爱研究所,9.7,6813260,973865,157199,9130,萌系|日常,0
One Room 第二季,9.7,23405392,2093658,254566,8066,萌系|恋爱|日常|治愈,0
魔法少女☆伊莉雅 2WEI!,9.5,11903820,1941167,215304,3221,萌系|校园|战斗|热血,0
同居人是猫,9.7,20684391,916874,215706,11585,治愈|漫画改|萌系,0
吹响吧！上低音号 第二季,9.9,5329004,1481811,160718,15969,日常|校园|励志|音乐,1
一个人的〇〇小日子,9.6,14556218,889921,246235,7075,漫画改|日常|萌系|校园,1
22/7,9.3,15227870,871701,229629,12783,原创|日常|萌系|音乐,1
轻音少女 第二季,9.9,24416012,1918082,720035,49626,漫画改|萌系|音乐|校园,1
吹响吧！上低音号～誓言的终章～,9.9,2747232,1481810,107259,17614,日常|校园|励志|音乐,1
GJ部,9.7,9822267,835502,299456,6827,萌系|搞笑|日常|校园,0
恶魔奶爸,9.8,15826467,771722,94641,6530,萌系|搞笑|热血|战斗,0
暗黑破坏神在身边。,9.2,14219172,769140,179887,11541,漫画改|日常|搞笑|声控,1
幸运星,9.9,7094749,739209,112648,12798,萌系|搞笑|日常|治愈,0
突击莉莉 BOUQUET,8.8,10015693,726508,140573,7198,原创|战斗|萌系|校园,1
干物妹！小埋 OVA,9.4,17388330,6733392,352476,3259,萌系|校园|日常|治愈,0
花丸幼稚园,9.7,7006754,692743,183074,4693,萌系|日常|治愈,0
黑塔利亚 Axis Powers,9.5,18145150,990513,670710,3462,萌系|泡面|声控|日常,0
吹响吧！上低音号～想要传达的旋律～,9.8,1080821,1481811,14595,3696,小说改|日常|校园|萌系,1
吹响吧！上低音号～欢迎来到北宇治高中吹奏乐部～,9.8,1048809,1481811,15234,3252,小说改|日常|萌系|校园,1
啾咪BABY 日语版,9.8,3856764,645016,58647,5498,萌系|搞笑|日常,0
神推偶像登上武道馆我就死而无憾,9.8,11249938,625275,289784,20270,漫画改|日常|偶像|萌系,1
房东青春期！,9.4,17455804,583901,108151,2305,萌系|日常,0
Anne Happy,9.6,8156084,555683,305755,2901,萌系|校园|日常,0
轻音少女 剧场版,9.9,3190414,1918086,193550,51779,日常|萌系|音乐|校园,1
南家三姐妹,9.7,7620369,643003,287346,3344,萌系|搞笑|日常,0
织田肉桂信长,9.7,7971044,520655,110276,7673,漫画改|搞笑|日常|萌系,1
蔷薇少女,9.7,3387545,607679,58464,2398,萌系|奇幻,0
潜行吧！奈亚子 Remember My Love,9.3,5915004,809682,12485,457,萌系|奇幻,0
NEKOPARA EXTRA 小猫篇（猫娘乐园）,9.7,3317002,469797,69744,4506,萌系|日常|治愈|游戏改,0
黑塔利亚 The World Twinkle 第6期,9.7,22171878,990513,447829,3227,萌系|日常|泡面|声控,0
兽娘动物园,9.7,8039953,465839,269956,8251,萌系|日常|架空,1
未确认进行式,9.7,5973580,697921,71766,5549,漫画改|萌系|搞笑,0
电器街的漫画店,9.5,11246715,401448,278518,1784,萌系|搞笑|日常|治愈,0
