番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
哆啦A梦 第一季,9.8,8048751,1473714,58357,3163,漫画改|日常|少儿|搞笑,1
高达创形者,4.6,18628399,321530,292135,6345,热血|机战|社团|少儿,0
影之诗,3.5,6675981,309471,144851,12903,游戏改|少儿,1
魔卡少女樱 香港之旅,9.5,2021758,3708154,49451,1479,时泪|萌系|奇幻|少女,0
天线宝宝,9.7,7191001,208600,125713,3879,少儿,0
魔法少女奈叶ViVid,8.7,5380002,482054,122008,412,萌系|少儿|热血|魔法,0
蜡笔小新 超级美味B级美食大逃亡,9.7,2585170,1401314,50442,1105,萌系|搞笑|少儿|冒险,1
不可思议星球的双胞胎公主 Gyu,9.5,1878238,182212,32282,435,奇幻|战斗|少女|少儿,0
哆啦A梦 第三季,9.8,8712149,1473714,52026,1231,漫画改|搞笑|日常|少儿,1
蜡笔小新 呼风唤雨！大人帝国的反击,9.8,1562539,1401314,41939,1554,萌系|少儿,1
小马宝莉 友谊的魔力 第六季 (中配）,9.7,6318008,496368,106061,1176,萌系|魔法|日常|少儿,0
蜡笔小新 超时空！呼风唤雨的我的新娘,9.7,1627502,1401315,36438,942,萌系|搞笑|少儿|穿越,1
小猪佩奇 第一季 英文版,9.1,4471932,91879,11457,949,原创|少儿,0
香蕉喵 不可思议的伙伴们,9.6,953532,131394,2642,608,原创|少儿|治愈|萌系,1
蜡笔小新 呼风唤雨！光荣烧肉之路,9.7,1434193,1401314,39070,616,萌系|少儿,1
蜡笔小新 呼风唤雨！夕阳下的春日部男孩,9.8,1366619,1401315,32546,817,萌系|搞笑|少儿,1
美妙天堂 第三季,9.2,4403834,144243,69638,338,偶像|少儿,1
玩偶游戏,9.7,2224294,69891,73117,494,日常|少儿,0
怪盗JOKER 第一季,9.7,2643139,104546,102555,422,萌系|少儿,0
蜡笔小新 呼风唤雨黄金的间谍大作战,9.4,1531056,1401313,22055,428,萌系|搞笑|少儿,1
蜡笔小新 呼唤传说！三分钟嘎巴大进攻,9.5,1322146,1401313,19269,346,萌系|搞笑|少儿,1
蜡笔小新 呐喊!春日部野生王国,9.6,1264872,1401313,26927,383,萌系|搞笑|少儿,1
哆啦A梦 第二季,9.7,3922696,1473715,22878,638,漫画改|搞笑|日常|少儿,1
哆啦A梦 大雄的平行西游记,9,1688702,1473715,30842,430,萌系|奇幻|科幻|少儿,0
蜡笔小新 呼风唤雨！战国大合战,9.8,1031389,1401313,20293,797,萌系|少儿|穿越|冒险,1
铁臂阿童木 2003,9.8,1916938,83732,41659,621,时泪|萌系|科幻|少儿,0
蜡笔小新 呼风唤雨！会唱歌的屁股炸弹,9.6,1056896,1401313,19288,336,萌系|搞笑|少儿,1
蜡笔小新之黑暗珠珠大追击,9.6,949098,1401313,16323,348,萌系|时泪|少儿|冒险,1
蜡笔小新之云黑斋的野心,9.4,847822,1401315,14233,277,萌系|时泪|少儿|穿越,1
蜡笔小新 森林里的暴风雨,9.6,1237201,1401313,27458,536,萌系|少儿|冒险,1
小马宝莉 第五季 (中配）,9.6,6308344,496368,35126,505,少儿|魔法|少女,0
哆啦A梦 大雄的新魔界大冒险~7人之魔法使,9.5,917315,1473715,19396,395,时泪|少儿|穿越|冒险,0
哆啦A梦 大雄的恐龙,9.5,1224218,1473715,17400,361,萌系|奇幻|科幻|少儿,0
魔女的考验【日语】,9.6,1428481,84300,32006,333,魔法|少儿,0
小猪佩奇 第一季,8.7,14783620,64897,14699,906,原创|少儿|日常,0
哆啦A梦 大雄和发条都市冒险记,9.4,4202898,1473715,170775,260,时泪|少儿|架空|冒险,0
哆啦A梦 大雄的海底鬼岩城,9.5,1009705,1473715,22881,312,萌系|奇幻|科幻|少儿,0
铁臂阿童木 1980,9.7,1054244,83732,26520,325,时泪|萌系|科幻|少儿,0
哆啦A梦 大雄的猫狗时空传,9.6,1071117,1473715,24424,399,萌系|奇幻|科幻|少儿,0
怪盗JOKER 第二季,9.7,2003060,104546,84740,279,萌系|少儿,0
哆啦A梦 大雄与日本诞生,9.3,1434255,1473715,19807,220,萌系|奇幻|科幻|少儿,0
哆啦A梦 大雄的创世日记,9.6,882412,1473713,19092,240,萌系|奇幻|科幻|少儿,0
哆啦A梦 大雄的宇宙开拓史,9.3,996576,1473715,7034,254,萌系|奇幻|科幻|少儿,0
海獭波乐,9.5,798646,73993,8561,249,少儿,0
甜甜私房猫 第四季,9.4,1859160,185143,5449,159,治愈|少儿,0
哆啦A梦 大雄的宇宙小战争,9.5,747697,1473715,20073,239,萌系|奇幻|科幻|少儿,0
哆啦A梦 大雄与风之使者,9.6,768995,1473715,17437,303,萌系|奇幻|科幻|少儿,0
哆啦A梦 大雄的天方夜谭,9.6,637775,1473715,14595,219,萌系|奇幻|科幻|少儿,0
哆啦A梦 大雄与梦幻三剑士,9.7,706310,1473715,18277,310,萌系|奇幻|科幻|少儿,0
哆啦A梦 大雄的太阳王传说,9.5,776171,1473715,18672,244,萌系|奇幻|科幻|少儿,0
哆啦A梦 大雄与铁人兵团,9.6,696348,1473715,14646,237,萌系|奇幻|科幻|少儿,0
哆啦A梦 大雄和长翅膀的勇士们,9.4,422896,1473715,4689,176,时泪|少儿|冒险,0
哆啦A梦 大雄的大魔境,9.2,720547,1473715,7981,192,萌系|奇幻|科幻|少儿,0
哆啦A梦 大雄的南海大冒险,9.5,842210,1473715,18505,188,萌系|奇幻|科幻|少儿,0
