番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
Angels of Death,9.5,111303537,4786368,3259141,56955,恋爱|游戏改|冒险,1
命运-冠位指定 绝对魔兽战线 巴比伦尼亚,9.4,137679494,4607281,1637030,136929,游戏改|奇幻|战斗|冒险,1
CLANNAD,9.8,28847063,3139257,758799,50691,时泪|校园|治愈|催泪,0
Fate/EXTRA Last Encore,8.8,45158224,2825979,869776,39441,奇幻|战斗|游戏改,1
公主连结Re:Dive,9.5,78461649,2810893,1714603,49375,奇幻|战斗|魔法|冒险,1
Fate/Grand Order ‐First Order‐,8.3,28600833,4607283,752866,10066,战斗|游戏改,0
魔法纪录 魔法少女小圆外传,9.5,17855638,2196829,264551,13021,游戏改|奇幻|战斗|萌系,1
碧蓝航线,8.1,32191012,1699077,692000,26123,游戏改|战斗|萌系|架空,1
ISLAND,9.2,24148394,1469158,327256,11233,游戏改|催泪|推理|治愈,0
刀剑乱舞-花丸-,9.6,24642947,1330930,1116401,3834,游戏改|日常|架空,0
女神异闻录5 动画版,9.1,29565914,1365336,379402,9897,奇幻|游戏改,1
CLANNAD ～AFTER STORY～,9.9,18273511,3139257,412156,56970,时泪|校园|治愈|催泪,0
Fate/stay night 06版,9.5,19893059,5240236,702348,11360,奇幻|战斗|魔法|游戏改,0
噬神者,9.4,33465692,1200781,447725,4442,奇幻|科幻|热血|游戏改,0
Rewrite 2nd Season,9.2,18327212,1930981,383894,4442,校园|社团|战斗|游戏改,0
赛马娘 第二季,9.9,9165571,1107798,107169,22828,游戏改|运动|偶像|催泪,1
精灵宝可梦 日月,9.5,141901275,1567083,1979053,9578,治愈|游戏改|架空|冒险,0
玛纳利亚的密友（Mysteria Friends）/巴哈姆特之怒/玛娜利亚魔法学院,9.8,10468856,837637,128431,10767,校园|魔法|游戏改|日常,1
Caligula 卡里古拉,8.7,13389308,816696,192878,7578,战斗|游戏改|科幻,0
苍之彼方的四重奏,7.7,18400471,793793,473429,1964,奇幻|运动|游戏改,0
Fate/stay night UNLIMITED BLADE WORKS,9.3,3087628,5240234,33541,1803,游戏改|热血|奇幻|战斗,1
白色相簿 上半篇章,9.4,2450949,702056,24557,2227,日常|游戏改|恋爱,1
赛马娘,9.7,13542605,1107802,270041,10809,游戏改|运动|偶像,1
纯白交响曲,9.4,15411424,641448,585820,2899,日常|游戏改,0
赛马娘四格,9.6,4264128,1107801,6903,1555,游戏改|日常|运动|偶像,1
热诚传说 第二季,8.2,12739284,1494413,242357,1600,游戏改|奇幻|战斗|架空,0
文豪与炼金术师 ～审判的齿轮～,9,4385511,581764,59779,2776,游戏改|奇幻|架空,1
Code:Realize ～创世的姬君～,9,8822342,581081,96419,1710,恋爱|乙女|游戏改|奇幻,0
逆转裁判,8.7,22792981,717147,1017405,2826,推理|智斗|游戏改|职场,0
格林笔记 The Animation,8.9,7571885,541152,102696,3334,游戏改|架空|冒险,1
IDOLiSH7-偶像星愿- Second BEAT!,9.8,4544474,652268,85924,3870,游戏改|声控|偶像,1
明治东京恋伽,9.2,12094595,514021,176744,2742,恋爱|乙女|游戏改|声控,0
IDOLiSH7-偶像星愿-,9.8,11895148,652268,233705,6729,音乐|偶像|游戏改,0
NEKOPARA EXTRA 小猫篇（猫娘乐园）,9.7,3317160,469824,69746,4506,萌系|日常|治愈|游戏改,0
在世界尽头咏唱恋曲的少女YU-NO,6.8,2157090,459328,18004,1672,游戏改|科幻|恋爱|声控,1
真实之泪,9.3,4051057,459236,227263,3920,校园|治愈|恋爱|游戏改,0
苍之骑士团,8.5,4734176,454287,25157,1444,游戏改|战斗|架空,1
叛逆性百万亚瑟王,8.1,6038336,499948,33513,2286,奇幻|战斗|游戏改|架空,1
写真女友,9.2,9646854,429513,228201,1728,日常|声控|游戏改,0
白猫计划 零之纪元,4.9,7354221,414904,68820,5958,游戏改|战斗|恋爱|奇幻,1
冷然之天秤,9.4,7751595,403744,122459,1905,乙女|游戏改,0
社长，战斗时间到！,6.1,6132078,366027,56771,6513,游戏改|奇幻|战斗|职场,1
初音岛,9.4,2656959,471426,49835,865,游戏改|日常|校园|恋爱,0
Little Busters! ～Refrain～,9.8,3244911,1137119,72058,5206,校园|励志|游戏改,0
梅露可物语 : 无精打采的少年与瓶中少女,9.6,2927813,336575,27358,2152,萌系|游戏改|架空|冒险,1
异界群敌 代码重组,6.1,4293107,328098,32517,1484,游戏改|战斗|科幻|萌系,1
FORTUNE ARTERIAL -赤之约定-,9.1,1771779,340311,28551,1431,奇幻|日常|游戏改,0
新樱花大战,8.4,4307981,354312,33573,1281,游戏改|机战|恋爱,1
影之诗,3.5,6676353,309468,144851,12904,游戏改|少儿,1
光之战记－ZUERST－,9.4,2882330,303036,16693,2620,奇幻|战斗|架空|游戏改,1
装甲娘战机,8.3,2504158,288934,19191,953,游戏改|少女|机战,1
梦幻之星 神谕篇,8.3,5649232,284934,27894,1278,游戏改|战斗|声控|科幻,1
战刻夜想曲,8.2,4951817,284766,94331,1077,乙女|游戏改|穿越,0
消灭都市,7.6,4934508,283789,25823,1162,游戏改|冒险,1
锁链战记 赫克瑟塔斯之光,6.7,4954595,466014,60379,457,游戏改|架空,0
逆转裁判 第二季,9.4,7289812,717147,111674,3007,推理|游戏改,1
A3!满开剧团 秋组&冬组篇,9.4,873804,290238,11014,478,游戏改|音乐|偶像,1
学园Handsome,9.4,6817587,269329,98930,2869,搞笑|校园|游戏改|泡面,0
灰色的迷宫,9.8,2901920,621688,12521,2939,战斗|游戏改,0
战斗女子高校,7.9,3342159,267070,56138,294,校园|魔法|游戏改|战斗,0
18if 梦境异闻录,8.6,3089490,258680,87915,1044,游戏改|穿越|冒险,0
锁链战记 赫克瑟塔斯之光,7.4,2153380,466014,67551,196,奇幻|战斗|游戏改|架空,0
LORD of VERMILION 红莲之王,4.5,3419547,257106,19388,2072,战斗|游戏改,1
偶像梦幻祭,8.7,7139442,252238,187625,2796,游戏改|音乐|偶像|声控,1
环战公主 CIRCLET PRINCESS,7.1,3589159,217927,27627,1199,社团|战斗|游戏改,1
續 刀劍亂舞 -花丸-（僅限港澳台地區）,9.6,756929,217726,26086,1027,日常|游戏改,0
SHUFFLE,9.1,2497410,223557,41246,803,游戏改|奇幻|魔法|神魔,0
募恋英雄,9,3126513,209262,18357,1004,游戏改|恋爱|乙女|职场,1
活撃/刀剣乱舞（僅限港澳台地區）,9.1,748763,200794,29899,642,战斗|神魔|游戏改,0
魔力家族,8.6,1486702,209738,13189,573,奇幻|乙女|游戏改,0
A3!满开剧团,9.4,2676224,290238,39035,1470,游戏改|偶像|音乐,1
千枪士,5.8,3449975,188578,29330,1568,乙女|游戏改,0
SHOW BY ROCK!! 第二季,9.2,3807273,286900,49612,402,游戏改|搞笑|音乐|穿越,0
Dies irae 神怒之日（僅限港澳台地區）,7.1,346757,166076,4243,402,恋爱|游戏改,0
梦王国与沉睡的100王子,8.1,2654796,295987,44026,813,乙女|游戏改,1
叛逆性百万亚瑟王 第二季,9.4,3011908,499948,13470,1294,奇幻|战斗|游戏改,1
八月的棒球甜心,9,1489371,155979,24554,1111,游戏改|运动|校园,1
女神异闻录5 动画版 年末特别篇「前篇 / 后篇」,9,1829064,1365336,33503,1301,奇幻|游戏改,1
精灵宝可梦 钻石&珍珠,9.6,8042263,1567083,206946,1106,热血|战斗|励志|游戏改,1
BanG Dream! 少女乐团派对☆PICO,9.8,8948162,201775,22368,3204,萌系|音乐|少女|游戏改,0
白色相簿 下半篇章,9.5,1091641,702056,19146,1206,日常|恋爱|游戏改,1
绝对防卫利维坦,9.1,1209108,126730,17863,321,萌系|奇幻|魔法|战斗,0
最终幻想15 兄弟情,9.6,2406861,122577,18392,612,奇幻|游戏改|架空|冒险,0
初音岛 S.S.,9.1,920494,471426,29049,368,日常|游戏改|校园|恋爱,0
卡片战斗先导者overDress,8.6,563758,103334,4467,252,热血|游戏改|励志,1
初音岛II,8.7,670958,471426,12574,270,日常|游戏改,0
初音岛II S.S.,9.4,722558,471426,8690,343,日常|游戏改|校园|恋爱,0
女神异闻录3 剧场版 #4 Winter of Rebirth,9.7,2229861,243498,35335,740,游戏改,1
苍翼默示录 Alter Memory,9.1,1055718,94529,11140,432,战斗|游戏改|架空,0
战国BASARA,9.2,809574,108552,16593,260,历史|热血|游戏改,0
Ragnastrike Angels,8.6,2518278,83236,2832,301,游戏改,0
Fate/Grand Order - 絕對魔獸戰線巴比倫尼亞 -（僅限台灣地區）,8.8,359300,81512,5412,591,游戏改|穿越|奇幻|战斗,0
YU-NO 在這世界盡頭詠唱愛的少女（僅限港澳台地區）,7.8,463975,70770,10801,970,游戏改|科幻|恋爱|声控,0
波子汽水,9.3,491790,63529,2310,255,日常|治愈|游戏改,0
最终休止符～无止境的螺旋物语～,9.2,433094,55229,4022,392,游戏改|奇幻|搞笑,1
Re:Stage！Dream Days♪,9.7,835144,55081,13561,924,游戏改|萌系|校园,1
碧藍幻想（僅限台灣地區）,9.1,107872,66469,4352,244,奇幻|游戏改|架空|冒险,0
宝可梦 就决定是你了！,9.6,578070,319018,14273,558,游戏改|奇幻|冒险,1
幕末Rock,8.7,262803,42316,5983,146,搞笑|音乐|偶像|游戏改,0
战国Collection,9.4,741049,41910,26463,217,奇幻|热血|游戏改,0
宝可梦 我们的故事,9.4,567852,319018,5987,404,冒险|游戏改|奇幻,1
问答魔法学院,8.6,420457,36139,1728,103,奇幻|游戏改|架空,0
碧藍幻想 第二季（僅限港澳台地區）,9.2,180513,66469,3982,230,游戏改|战斗|奇幻|架空,0
百慕大三角~多彩田园曲~,8.9,232555,32823,810,147,游戏改|萌系,1
战国BASARA 贰,9,500909,108552,24973,112,历史|热血|游戏改,0
粉彩回忆,6.9,227169,25214,1086,195,游戏改|萌系,1
超異域公主連結☆Re:Dive（僅限港澳台地區）,9.2,303109,21733,4961,307,游戏改|奇幻|战斗|冒险,1
MARGINAL#4 从KISS开始创造Big Bang,9.5,227891,21387,2089,222,游戏改|乙女|偶像,1
