番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
鬼灭之刃,9.7,648155630,10430021,9093808,367670,漫画改|战斗|热血|声控,1
咒术回战,9.8,550468630,9228811,4111087,188504,漫画改|战斗|热血,1
工作细胞 第二季,9.7,61810232,8925728,512591,15121,漫画改|搞笑|战斗|日常,1
关于我转生变成史莱姆这档事 转生史莱姆日记,9.2,9475783,8518569,5042,198,漫画改|日常|搞笑|穿越,1
鬼灭之刃（中配）,9.1,106639185,10430020,575819,14220,漫画改|热血|战斗|励志,1
工作细胞,9.6,209839373,8925729,4418169,69907,搞笑|战斗|日常|声控,1
辉夜大小姐想让我告白？～天才们的恋爱头脑战～,9.8,174093262,7791984,3545825,199773,搞笑|校园|恋爱|漫画改,1
小林家的龙女仆,9.7,252620737,6869295,5382981,47727,萌系|搞笑|日常|漫画改,1
辉夜大小姐想让我告白～天才们的恋爱头脑战～,9.8,226765685,7791984,4579462,219768,恋爱|校园|智斗|日常,1
某科学的超电磁炮T,9.8,172495331,6923418,2553285,113709,漫画改|战斗|科幻|校园,1
堀与宫村,9.8,153294576,5440063,1882871,122294,漫画改|校园|恋爱|少女,1
岸边露伴 一动也不动,9.9,12712950,5590579,79714,15075,漫画改|奇幻|战斗,1
徒然喜欢你,9.7,132680998,5051767,2872004,43517,恋爱|校园|漫画改|搞笑,0
某科学的超电磁炮,9.7,115967107,6923418,6281981,39865,校园|战斗|奇幻|漫画改,1
JOJO的奇妙冒险,9.8,103802273,5590583,2107909,71875,漫画改|战斗|奇幻|冒险,1
干物妹！小埋R,9.4,130707908,6733532,3603910,36678,萌系|搞笑|日常|漫画改,1
总之就是非常可爱,9.5,113598609,4314537,2037944,76799,日常|恋爱|漫画改,1
五等分的新娘∬,9.7,47519158,4528190,563370,24030,漫画改|校园|恋爱,1
JOJO的奇妙冒险 黄金之风,9.8,360443493,5590583,3917937,235890,热血|智斗|战斗|漫画改,1
JOJO的奇妙冒险 星尘远征军,9.8,78028020,5590583,1916570,59593,漫画改|奇幻|战斗|冒险,1
虚构推理,9.2,82709981,3895691,1315071,63686,漫画改|神魔|恋爱|奇幻,1
JOJO的奇妙冒险 星尘远征军 埃及篇,9.8,70603694,5590583,1866556,57606,漫画改|战斗|奇幻|冒险,1
五等分的新娘,8.8,97382636,4528190,2151083,51733,恋爱|校园|日常|漫画改,1
齐木楠雄的灾难 始动篇,9.8,24350855,4460715,183048,36297,漫画改|奇幻|日常|搞笑,1
Ｄｒ．ＳＴＯＮＥ 石纪元  (第二季),9.7,51787616,3816212,303634,19848,漫画改|热血|科幻|冒险,1
动物狂想曲 / BEASTARS 第二季,9.3,37293945,3871928,405117,25131,漫画改|校园|恋爱|架空,1
食戟之灵 餐之皿,9.4,9632809,3573970,64907,2515,校园|美食|搞笑|热血,1
约定的梦幻岛 第二季,2.7,33843852,3870203,322722,106341,漫画改|热血|冒险|励志,1
笨女孩,9.2,107512023,3367757,2110355,28336,搞笑|校园|漫画改,0
地缚少年花子君,9.4,65009017,3337696,1616777,68825,漫画改|搞笑|少女|奇幻,1
约定的梦幻岛,9.8,68900800,3870202,868846,75537,热血|智斗|励志|漫画改,1
动物狂想曲 / BEASTARS,9.7,76047094,3871928,1088045,82955,漫画改|奇幻|恋爱|校园,1
路人超能100 第一次灵能咨询所员工旅游～舒缓心灵的疗愈之旅~（OVA2）,9.8,3781240,4127722,32422,13639,热血|奇幻|战斗|漫画改,1
月刊少女野崎君,9.8,33776140,3175709,645398,46723,搞笑|校园|少女|漫画改,0
天使降临到我身边,9.8,64831102,3165040,1992631,53326,日常|治愈|漫画改|萌系,1
碧蓝之海,9.9,96448158,3147070,889374,97986,搞笑|校园|社团|运动,1
