番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
鬼灭之刃,9.7,648155630,10430021,9093808,367670,漫画改|战斗|热血|声控,1
咒术回战,9.8,550469564,9228823,4111093,188504,漫画改|战斗|热血,1
鬼灭之刃（中配）,9.1,106639185,10430020,575819,14220,漫画改|热血|战斗|励志,1
刀剑神域 Alicization,8.3,169130085,7188581,3082665,84134,小说改|热血|奇幻|战斗,1
JOJO的奇妙冒险 黄金之风,9.8,360443493,5590583,3917937,235890,热血|智斗|战斗|漫画改,1
多罗罗,9.4,158716239,4068924,1329684,74176,热血|战斗|冒险,1
Fate/stay night [Unlimited Blade Works] 第一季,9.4,157457843,5240234,5365139,19677,奇幻|热血,0
Fate/Apocrypha,5.9,139625184,3968909,3536424,112761,热血|战斗,0
Ｄｒ．ＳＴＯＮＥ 石纪元  (第二季),9.7,51787680,3816212,303634,19848,漫画改|热血|科幻|冒险,1
Fate/Zero 第一季,9.6,96360208,3778487,3571106,19292,时泪|奇幻|战斗|热血,0
食戟之灵 餐之皿,9.4,9632869,3573970,64907,2515,校园|美食|搞笑|热血,1
约定的梦幻岛 第二季,2.7,33843852,3870203,322722,106341,漫画改|热血|冒险|励志,1
约定的梦幻岛,9.8,68900800,3870202,868846,75537,热血|智斗|励志|漫画改,1
路人超能100 第一次灵能咨询所员工旅游～舒缓心灵的疗愈之旅~（OVA2）,9.8,3781240,4127722,32422,13639,热血|奇幻|战斗|漫画改,1
魔法禁书目录 第一季,9,70835541,4960054,3693210,15150,科幻|校园|战斗|热血,0
罪恶王冠,9,60123707,3193723,3047017,33112,奇幻|战斗|热血|原创,0
Ｄｒ．ＳＴＯＮＥ 石纪元,9.7,131455948,3816213,1290881,70791,漫画改|科幻|励志|冒险,1
魔法禁书目录 第三季,8,94260834,4960055,1518204,55904,小说改|热血|科幻|奇幻,1
路人超能100(灵能百分百),9.8,92646572,4127721,1320769,25437,热血|奇幻|战斗,1
刀剑神域,9.7,95523970,7188581,3780010,80261,小说改|热血|奇幻|战斗,0
Fate/stay night [Unlimited Blade Works] 第二季,9.5,132216213,5240236,2675846,18378,奇幻|热血,0
路人超能100 II(灵能百分百 第二季),9.8,88886175,4127722,919394,72244,热血|奇幻|战斗|漫画改,1
炎炎消防队 贰之章,9.1,54537807,2997914,430179,17003,漫画改|热血|战斗|声控,1
愤怒的审判,5.9,14895449,2697011,60706,5782,漫画改|热血|战斗|奇幻,1
