番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
紫罗兰永恒花园,9.7,123152300,6777744,3117022,188481,治愈|励志|职场|催泪,1
龙王的工作！,9.1,99223579,3578651,3575711,31729,小说改|职场,0
打工吧！魔王大人,9.6,86363720,2187555,1081095,21803,日常|小说改|神魔|职场,0
甘城光辉游乐园,9.7,26152157,2163942,657594,22660,日常|奇幻|励志|职场,0
COP CRAFT,9.1,24501733,1315042,288653,29987,小说改|职场|奇幻|穿越,1
NEW GAME!!,9.5,16725250,1818730,631360,10372,职场|漫画改,0
花开伊吕波,9.6,12075637,1049914,583468,11812,日常|治愈|催泪|原创,0
少女编号,9.2,12633061,908997,377463,4094,搞笑|励志|原创|职场,0
樱花任务,9.4,11707172,828830,407054,5256,励志|职场|原创,0
书店里的骷髅店员本田,9.6,7804062,651527,50869,4432,搞笑|职场|漫画改,1
迷糊餐厅 WORKING!!,9.5,4910482,787306,86512,3002,搞笑|日常|声控|美食,1
WWW.迷糊餐厅,9.4,13528660,610051,220580,2777,搞笑|日常|职场|漫画改,0
逆转裁判,8.7,22793057,717148,1017406,2826,推理|智斗|游戏改|职场,0
听我的电波吧,9.8,7667042,533660,113311,14126,职场|励志|搞笑|漫画改,1
深夜的超自然公务员,7.6,10771935,527250,74339,3332,漫画改|奇幻|职场|声控,1
食梦者,9.8,5183285,451602,183287,4415,日常|热血|励志|职场,1
电器街的漫画店,9.5,11247144,401468,278522,1784,萌系|搞笑|日常|治愈,0
RAIL WARS!-日本国有铁道公安队-,8.8,4728887,369614,87471,2328,小说改|职场,0
迷糊餐厅 WORKING!!!,9.7,13277430,787306,334142,2806,搞笑|日常|声控|美食,1
社长，战斗时间到！,6.1,6132106,366030,56771,6513,游戏改|奇幻|战斗|职场,1
中间管理录利根川,9.6,9541078,354736,84149,4680,搞笑|日常|励志|职场,1
OVERLORD Ⅱ SP,9.5,28426755,8682816,24855,3900,职场|架空,0
跟班×服务,9.6,2823374,290474,203168,1842,萌系|搞笑|日常|声控,0
青年黑杰克,8.9,7159599,275203,244534,490,奇幻|智斗|职场,0
那就是声优！,9.2,7792046,273170,442808,1166,萌系|搞笑|治愈|职场,0
迷糊餐厅 WORKING’!!,9.6,2793283,787306,69080,1924,搞笑|日常|声控|美食,1
编舟记,9.7,2724916,244505,47633,2348,励志|职场|小说改,0
募恋英雄,9,3126526,209262,18357,1004,游戏改|恋爱|乙女|职场,1
NEW GAME! OVA,9.5,1265621,1818730,37367,1334,职场,0
食梦者。3,9.8,2548122,451602,101988,3586,日常|热血|励志|职场,1
食梦者。2,9.7,2494665,451602,113029,2030,日常|热血|励志|职场,1
逮捕令 第一季,9.6,1412892,81101,54253,434,日常|少女|热血|职场,0
白箱（僅限港澳台地區）,9.5,91822,44424,1762,715,原创|日常|励志|职场,0
COP CRAFT（僅限台灣地區）,8.3,198178,29712,3307,262,小说改|穿越|奇幻|职场,0
能继续奔跑下去真是太好了。,9.3,182975,27758,1072,340,原创|励志|职场,0
昭和元祿落語心中-助六再臨篇（僅限港澳台地區）,9.7,25935,60204,1183,200,励志|职场|漫画改,0
无敌看板娘,9.4,111493,26359,1144,124,日常|职场,0
逮捕令 全速前进,8.8,371309,81101,13234,151,日常|少女|热血|职场,0
Active Raid -机动强袭室第八课-,8.8,254608,24440,2879,162,原创|科幻|机战|职场,0
逮捕令 第二季,8.7,381751,81101,13591,173,日常|少女|热血|职场,0
Active Raid -机动强袭室第八课- 2nd,9.4,184006,24440,1765,141,原创|机战|职场,0
