番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
冰菓,9.8,91775573,5607049,3326327,60796,恋爱|推理|校园|日常,1
异度侵入 ID:INVADED,9.8,107772820,4055636,1487388,289747,原创|科幻|推理,1
虚构推理,9.2,82710266,3895699,1315071,63686,漫画改|神魔|恋爱|奇幻,1
名侦探柯南,9.8,255032988,3738538,5490969,65756,漫画改|推理|智斗,1
君主·埃尔梅罗二世事件簿 魔眼收集列车 Grace note,9.7,46028846,2238441,568601,39464,小说改|奇幻|魔法|冒险,1
GOSICK,9.7,6577255,1561494,125002,18817,萌系|奇幻|日常|催泪,1
ISLAND,9.2,24148495,1469165,327256,11233,游戏改|催泪|推理|治愈,0
弹丸论破,9.3,36836813,1460645,1028068,9927,推理|校园,0
弹丸论破3 -未来篇-,8,34970935,1575698,927080,4205,热血|智斗|推理,0
名侦探柯南 唐红的恋歌,8.9,3581007,3738536,56642,2398,漫画改|推理|智斗,1
樱子小姐的脚下埋着秘密,9.4,24918062,1254430,623936,5270,智斗|日常|推理,0
宝石商人理查德的谜鉴定,9.3,15338316,1087687,543091,12368,小说改|日常|推理|治愈,1
神的记事本,9.3,7405634,917421,190846,4098,日常|小说改|推理,0
绝园的暴风雨,9.6,12667757,899228,284727,9923,奇幻|推理|战斗|穿越,0
只有我不存在的城市,9.7,9508439,833211,152207,25938,推理|治愈|催泪|穿越,1
黑执事II,9.5,8738132,1692629,528202,4012,推理,1
龙娘七七七埋藏的宝藏,9,3975527,737891,52552,3315,奇幻|日常|推理,0
TRICKSTER,7.8,13547789,672625,221667,1066,推理,0
名侦探柯南（中配）,9.8,157769419,3738534,2543420,17725,漫画改|智斗|推理,1
逆转裁判,8.7,22793057,717148,1017406,2826,推理|智斗|游戏改|职场,0
歌舞伎町夏洛克,7.5,12381989,554100,159094,9910,原创|推理|冒险|声控,1
CHAOS;CHILD,8.1,8466300,509406,132849,1721,推理,0
鲁邦三世VS名侦探柯南THE MOVIE,9.7,3449322,3738543,70283,2189,原创|智斗|推理,0
名侦探柯南 Episode“ONE” 变小的名侦探,9.7,3649227,3738543,97400,1987,漫画改|推理|智斗,0
江户川柯南失踪事件～史上最糟糕的两天～,9.5,3493923,3738543,43781,1774,漫画改|推理|智斗,0
池袋西口公园,7.2,4983564,462907,37428,4780,小说改|推理,1
野良神 ARAGOTO OAD,9.7,14938972,3903652,380367,3711,奇幻|推理,0
超级弹丸论破2.5 狛枝凪斗与世界的破坏者,9.6,4042086,369991,59185,1815,推理,0
全部成为F -THE PERFECT INSIDER-,9.2,5916310,349842,117209,1715,科幻|智斗|推理,0
富豪刑警 Balance:UNLIMITED（僅限港澳台地區）,8.2,354962,299152,6898,925,小说改|搞笑|推理,0
心灵侦探八云,8.8,2701391,284271,82440,528,推理|智斗,0
逆转裁判 第二季,9.4,7289848,717148,111674,3007,推理|游戏改,1
斩首循环 蓝色学者与戏言跟班,9.5,2984197,262548,29700,2813,小说改|推理,0
UN-GO 因果论,9.5,121506,257785,593,1070,奇幻|智斗|推理,1
药师寺凉子的怪奇事件簿,9.4,1690087,230001,12006,908,奇幻|日常|热血|推理,0
奇幻贵公子,9.5,3171203,229495,92597,1884,奇幻|推理,0
名侦探柯南 贝克街的亡灵,9.8,5465935,3738543,139251,8652,漫画改|推理|智斗,1
名侦探柯南 计时引爆摩天楼,9.7,5450839,3738543,78177,3747,漫画改|推理|智斗,1
鬼平,9.5,2585533,157061,19642,689,推理|历史,0
名侦探柯南 迷宫的十字路口,9.8,3712975,3738538,88752,2991,漫画改|推理|智斗,1
名侦探柯南 世纪末的魔术师,9.7,3470699,3738543,86045,2253,漫画改|推理|智斗,1
名侦探柯南 纯黑的恶梦,8.9,4076222,3738536,86910,2077,漫画改|推理|智斗,1
名侦探柯南 天空的遇难船,9,3495120,3738534,95792,1843,漫画改|推理|智斗,1
名侦探柯南 业火的向日葵,6.6,3211561,3738534,59588,3067,漫画改|推理|智斗,1
名侦探柯南 侦探们的镇魂歌,9.5,3437495,3738543,83044,1821,漫画改|推理|智斗,1
名侦探柯南 瞳孔中的暗杀者,9.8,3310008,3738534,91805,3420,漫画改|推理|智斗,1
名侦探柯南 第14个目标,9.7,3495963,3738543,70717,1900,漫画改|推理|智斗,1
名侦探柯南 银翼的魔术师,9.3,3312358,3738543,80095,1618,漫画改|推理|智斗,1
名侦探柯南 通往天国的倒计时,9.8,3385174,3738543,90558,2715,漫画改|推理|智斗,1
名侦探柯南 沉默的15分钟,8.8,2965455,3738543,72609,1742,漫画改|推理|智斗,1
名侦探柯南 异次元的狙击手,8.5,3158295,3738543,65335,1471,漫画改|推理|智斗,1
名侦探柯南 水平线上的阴谋,9.4,3066613,3738543,65344,1588,漫画改|推理|智斗,1
名侦探柯南 战栗的乐谱,9.5,2877492,3738543,65198,1613,漫画改|智斗|推理,1
名侦探柯南 漆黑的追踪者,9.3,3007190,3738536,74902,1292,漫画改|推理|智斗,1
名侦探柯南 绀碧之棺,8.7,2834153,3738543,36718,1142,漫画改|推理|智斗,1
吸血鬼福尔摩斯,8.1,2572840,104801,23645,173,泡面|推理|神魔,0
名侦探柯南 第11个前锋,8.8,2676121,3738543,49328,1324,漫画改|推理|智斗,1
名侦探柯南 绝海的侦探,6.4,2679962,3738543,37675,2608,漫画改|推理|智斗,1
侦探歌剧 少女福尔摩斯,9.6,756876,117884,12704,433,搞笑|日常|推理,0
推理之绊,8.2,691157,76595,14443,209,奇幻|日常|智斗|推理,0
PHI·BRAIN 神之谜题 第一季,9.2,1510609,75216,53161,191,奇幻|智斗|推理,0
魔人侦探食脑奈罗,9.5,1065849,66029,30398,524,奇幻|推理,0
雷顿神秘侦探社～卡特莉的解谜事件簿～,9.7,1597699,55001,28637,874,推理,0
怪盗Joker 第四季,9.7,2041951,104547,43729,400,漫画改|推理,0
侦探学园Q,9.5,633616,34655,9731,335,推理,0
JOKER GAME SP,9.4,262013,327977,1045,200,推理,0
傀儡师左近,9.4,387448,24931,18977,185,历史|奇幻|推理,0
ID:INVADED（僅限港澳台地區）,9.6,208861,17381,3296,2163,原创|科幻|推理,1
雷顿教授与永远的歌姬,9.6,108318,14763,2990,146,推理,0
歌舞伎町夏洛克（僅限港澳台地區）,8.5,115464,6204,1920,129,原创|冒险|推理,0
