番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
骑士&魔法,8.7,72800506,1976852,1047114,10272,小说改|机战|奇幻|魔法,1
EVA 新世纪福音战士,9.7,39005877,1840024,773187,38120,科幻|机战|战斗,0
重装武器,9.3,33307416,820454,708239,3497,热血|机战|科幻|战斗,0
超时空要塞Δ,9,33010089,818601,874524,3133,机战|科幻|恋爱|战斗,0
revisions,8.8,9417641,620582,108481,9815,机战|科幻|战斗|原创,1
巴克·亚罗/BACK ARROW,9.6,8346864,581990,61795,5607,原创|机战|架空,1
星之声,9.1,3057125,579790,23739,1270,科幻|少女|治愈|机战,0
环太平洋：黑色禁区,6.3,9172637,566159,74077,6067,战斗|科幻|机战|原创,1
SSSS.电光机王,9.7,4224239,549987,34356,2329,原创|战斗|机战|特摄,1
机动战士高达独角兽(UC) RE:0096,9.4,26602212,522548,291866,3833,热血|机战|科幻|战斗,0
全金属狂潮 Invisible Victory,9.7,9621998,718899,116293,8033,机战|战斗|时泪|小说改,0
机动战士高达 铁血的奥尔芬斯 第一季,9.4,14613396,563181,221481,6263,热血|机战|科幻|战斗,0
高达创形者 再起 第二季,9.8,10234330,564717,142494,13180,原创|热血|科幻|机战,0
天元突破红莲螺岩,9.8,8176126,611851,131506,16655,热血|科幻|励志|机战,0
机动战士高达00,9.6,12784206,516852,223712,4667,科幻|热血|机战,0
机甲少女 FRAME ARMS GIRL,9.1,5894616,443831,196400,811,机战|科幻|原创,0
重神机潘多拉,6.6,6966766,489483,100451,4910,机战|原创|科幻,1
宇宙战舰提拉米斯,9.2,10477573,466631,64402,2336,搞笑|机战|科幻,0
EVA 新世纪福音战士新剧场版1.11：序,9.7,7292227,1840024,94952,4703,科幻|机战|战斗,0
革命机Valvrave,9.8,7339613,420496,230066,95474,机战|科幻|战斗|原创,0
机动战士高达SEED HD,9.6,18559089,483295,459902,5484,科幻|机战,0
EVA 新世纪福音战士新剧场版3.33：Q,8.9,6805490,1840024,120056,6603,机战|科幻|战斗,0
笑容的代价,4.2,6511796,364230,53306,8737,科幻|战斗|原创|机战,1
EVA 新世纪福音战士新剧场版2.22：破,9.7,6842929,1840024,146283,5453,原创|科幻|机战|战斗,0
BUDDY COMPLEX,9.4,5321461,325880,105662,1822,科幻|热血|机战|战斗,0
新樱花大战,8.4,4308038,354319,33573,1281,游戏改|机战|恋爱,1
ALDNOAH.ZERO,9.1,5432514,339721,45378,4536,原创|科幻|架空|机战,1
黑之宣告,6.1,4426235,324097,127030,1320,机战|战斗|科幻,1
高达创形者,4.6,18629013,321537,292136,6345,热血|机战|社团|少儿,0
Regalia 三圣星,8.6,4446022,317540,117688,527,机战|战斗|架空,0
高达创形者 再起,9.4,12803329,564717,120864,7907,原创|热血|科幻|机战,0
无畏魔女,8.6,4500556,316855,80816,451,战斗|机战|原创,0
EVA 新世纪福音战士剧场版：Air / 真心为你,9.6,5976860,1840024,92953,5289,科幻|机战|战斗,0
机动战士高达SEED Destiny HD,9.1,18561119,483294,511238,4534,科幻|机战,0
希德尼娅的骑士 第一季,9.7,6209680,351774,102718,2694,热血|科幻|机战|冒险,0
装甲娘战机,8.3,2504176,288934,19191,953,游戏改|少女|机战,1
翠星之加尔刚蒂亚,9.4,4008453,287308,59578,1465,奇幻|科幻|机战|原创,0
机动战士高达00 第二季,9.7,12787484,516852,242266,4963,科幻|热血|机战,0
Code Geass 亡国的阿基德,7.4,2947868,272025,62450,1269,奇幻|科幻|热血|机战,0
机动战士高达 铁血的奥尔芬斯 第二季,4.1,11672600,563181,232558,19814,机战,0
EVA 新世纪福音战士剧场版：死与新生,9.5,4413409,1840024,23498,1986,科幻|机战|战斗,0
全金属狂潮,9.5,2327653,718900,26085,1113,热血|科幻|小说改|机战,0
黑色残骸,8.8,8858065,236455,185165,669,机战|科幻|战斗,0
英雄时代,9.8,5132778,232095,94847,3342,科幻|热血|机战|战斗,0
天元突破 红莲螺岩 剧场版,9.8,1148039,611851,9196,2577,原创|热血|战斗|科幻,0
机动战士高达 雷霆宙域战线 第二季,9.4,4079643,272441,43504,938,机战,0
超时空要塞 Frontier,9.5,3612073,201364,100004,1469,科幻|热血|机战|偶像,0
机动战士高达 雷霆宙域战线 第一季,9.6,3927318,272441,28787,1205,机战,0
高达创战者,9.7,8063670,222805,143232,2203,机战,0
交响诗篇 第一季,9.6,3624151,177268,46271,1849,科幻|热血|催泪|机战,0
Classica Loid,9.5,2605977,181053,72657,535,搞笑|原创|音乐|机战,0
创圣的大天使,8.7,1635872,196173,19777,232,科幻|热血|机战|架空,0
SD高达三国传 Brave Battle Warriors,9.5,4091264,132218,47342,710,机战|历史,0
破刃之剑,8.5,1206222,180957,12961,1166,机战|战斗|架空,0
新机动战记高达W TV版,9.5,2980788,158590,46726,883,科幻|热血|机战,0
ALDNOAH.ZERO 第二季,6.5,3183557,339721,33866,5813,原创|战斗|科幻|架空,1
变形少女,9,1849068,108285,8480,1561,机战,0
机动战士高达 THE ORIGIN I：苍瞳的卡斯巴尔,9.8,959715,174647,6896,1068,机战|科幻|漫画改,0
高达创战者 TRY,8.9,6517643,222805,86988,1004,机战,0
超时空要塞 Macross,9.5,1809759,118507,67287,527,科幻|热血|机战|偶像,0
地球防卫少年,9,1439541,103504,79562,837,科幻|机战,0
机动战士高达 暮光的阿克西斯 红色残影,8.1,1515357,103381,6857,409,机战,0
STAR DRIVER 闪亮的塔科特,9.3,1181340,101860,35681,882,科幻|机战|搞笑|热血,0
樱花大战 TV版,9.5,1007976,354320,15656,593,时泪|科幻|热血|机战,0
苍穹之法芙娜,9.6,883767,150956,17924,904,科幻|热血|机战,0
加速世界 OVA1 银翼的觉醒,8.7,1477594,1240250,42542,351,热血|机战|战斗,0
轮回的拉格朗日,8.4,754547,98600,13243,194,科幻|奇幻|机战|社团,0
高达Reconguista in G,8.6,1574283,85207,26496,714,机战,0
七武士,9.1,939814,80841,4602,299,热血|机战,0
破刃之剑 剧场版,9.1,1096861,180957,25713,445,机战|科幻|战斗|架空,0
武装机甲,8.4,1536525,79660,34096,239,科幻|热血|机战,0
苍穹之法芙娜EXODUS,9.8,1162737,150956,13517,1142,机战|战斗,0
重神机潘多拉（中配）,7.1,2797743,489483,43585,1061,机战|科幻|原创,1
创圣的大天使EVOL,8.9,1264334,196173,18375,304,科幻|热血|机战|架空,0
加速世界 OVA2 加速的顶点,8.7,1475464,1240250,35459,359,热血|机战|战斗,0
新机动战记高达W 无尽的华尔兹,9.3,904955,158590,4721,275,机战|原创|科幻|架空,0
机动战士高达AGE,8.7,1910722,76325,37258,833,原创|科幻|机战,0
机动战士高达 THE ORIGIN IV：命运的前夜,9.7,715943,174647,7418,606,机战|科幻|漫画改,0
夏娃的时间,9.5,417575,113720,6706,628,机战|科幻,0
机动战士高达 THE ORIGIN III：破晓起义,9.6,595435,174647,14013,573,机战|科幻|漫画改,0
创圣的大天使LOGOS,7.5,3103554,196173,91532,161,科幻|热血|机战,0
机动武斗传G高达,9.7,1619957,64694,34424,812,热血|机战|科幻,0
机动战士高达 THE ORIGIN II：悲哀的阿尔黛西亚,9.7,520246,174647,5920,545,机战|科幻|漫画改,0
高达创战者 战斗部落（BATTLOGUE）,9.4,1707695,222805,9854,327,机战,0
夏娃的时间 剧场版,9.5,387149,113720,4968,413,科幻|机战,0
机动战士高达 THE ORIGIN V：激战 鲁姆会战,9.7,839704,174647,16494,563,机战|科幻|漫画改,0
高达创战者 ​GM的逆袭,9.6,1183665,222805,8011,453,热血|机战,0
机动战士高达 THE ORIGIN VI：红色彗星的诞生,9.8,1058211,174647,16091,1087,机战|科幻|漫画改,0
高达创战者 TRY 岛上热战,9.2,902081,222805,10082,238,机战,0
