番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
工作细胞 第二季,9.7,61807177,8925661,512585,15117,漫画改|搞笑|战斗|日常,1
关于我转生变成史莱姆这档事 转生史莱姆日记,9.2,9456936,8518152,5030,198,漫画改|日常|搞笑|穿越,1
工作细胞,9.6,209836058,8925660,4418148,69906,搞笑|战斗|日常|声控,1
小林家的龙女仆,9.7,252607064,6868982,5382943,47721,萌系|搞笑|日常|漫画改,1
辉夜大小姐想让我告白～天才们的恋爱头脑战～,9.8,226758053,7791757,4579418,219758,恋爱|校园|智斗|日常,1
冰菓,9.8,91757786,5605966,3326245,60792,恋爱|推理|校园|日常,1
在下坂本，有何贵干？,9.3,191583896,5279551,3123205,31548,搞笑|校园|日常,1
徒然喜欢你,9.7,132675790,5051615,2871961,43516,恋爱|校园|漫画改|搞笑,0
Re：从零开始的异世界生活 Memory Snow(雪之回忆),9.7,12191848,8647322,225150,12546,小说改|穿越|奇幻|日常,1
干物妹！小埋R,9.4,130704498,6733385,3603897,36678,萌系|搞笑|日常|漫画改,1
干物妹！小埋,9.3,157594520,6733385,6034369,19780,萌系|日常,1
总之就是非常可爱,9.5,113592739,4314428,2037869,76794,日常|恋爱|漫画改,1
Charlotte,9.4,129024825,4170122,2268052,46942,日常|校园|奇幻|催泪,0
我的青春恋爱物语果然有问题。,9.7,69571007,5895814,2659853,39212,日常|校园|恋爱|小说改,0
我们仍未知道那天所看见的花的名字。,9.5,40694684,3874789,2111088,32957,日常|治愈|催泪|原创,1
五等分的新娘,8.8,97379257,4528106,2151065,51732,恋爱|校园|日常|漫画改,1
齐木楠雄的灾难 始动篇,9.8,24348554,4460602,183043,36297,漫画改|奇幻|日常|搞笑,1
卫宫家今天的饭,9.8,72083707,3247765,1108505,51718,日常|美食,0
天使降临到我身边,9.8,64828001,3164938,1992594,53321,日常|治愈|漫画改|萌系,1
我的青春恋爱物语果然有问题。续,9.8,123920520,5895814,3353065,43312,日常|校园|恋爱|小说改,0
可塑性记忆,9.7,60192105,2899598,2558216,26367,科幻|日常|催泪,0
珈百璃的堕落,9.6,74950053,2928262,1877312,20217,日常|漫画改|神魔,0
阿宅的恋爱真难,9.6,62272377,2782589,1120145,30078,搞笑|恋爱|日常|漫画改,1
日常,9.9,30915358,2782358,480894,47993,萌系|搞笑|日常|漫画改,1
文豪野犬 汪！,9.8,14989710,3030705,182291,7242,漫画改|日常|搞笑,1
