番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
Re：从零开始的异世界生活 第二季 后半,9.9,71274412,8647480,845506,140158,小说改|穿越|奇幻,1
关于我转生变成史莱姆这档事 转生史莱姆日记,9.2,9476008,8518575,5042,198,漫画改|日常|搞笑|穿越,1
Re：从零开始的异世界生活 第二季 前半,9.7,114048037,8647480,1877242,112093,小说改|穿越|奇幻,1
关于我转生变成史莱姆这档事,9.4,353464444,8518572,4570091,109032,小说改|奇幻|战斗|魔法,1
刀剑神域 爱丽丝篇 异界战争 -终章-,4.8,84289368,7188581,1558327,303780,小说改|穿越|架空|科幻,1
Re：从零开始的异世界生活 新编集版,9.6,66811934,8647480,1455739,33920,穿越|奇幻|魔法|架空,1
Re：从零开始的异世界生活,9.2,231356242,8647480,11600907,53784,奇幻|小说改|架空|穿越,1
OVERLORD,9.6,338835043,8682796,3649723,41598,奇幻|战斗|小说改|架空,0
刀剑神域 爱丽丝篇 异界战争,9.1,88644432,7188581,1054482,53024,小说改|穿越|科幻|架空,1
OVERLORD Ⅲ,9.4,330779511,8682796,3776232,80791,小说改|奇幻|智斗|战斗,0
因为太怕痛就全点防御力了,9,182831716,5086314,3030013,140046,小说改|穿越|奇幻|萌系,1
OVERLORD Ⅱ,9.6,314691279,8682794,3910431,71354,小说改|奇幻|战斗|魔法,0
Re：从零开始的异世界生活 Memory Snow(雪之回忆),9.7,12192695,8647480,225151,12549,小说改|穿越|奇幻|日常,1
青春猪头少年不会梦到怀梦美少女,9.8,19243767,6646986,1081507,123114,小说改|穿越|奇幻|校园,1
这个勇者明明超强却过分慎重,9.7,146953126,4548726,1427387,122711,小说改|穿越|奇幻|战斗,1
刀剑神域 Alicization,8.3,169130085,7188581,3082665,84134,小说改|热血|奇幻|战斗,1
命运-冠位指定 绝对魔兽战线 巴比伦尼亚,9.4,137679811,4607284,1637030,136929,游戏改|奇幻|战斗|冒险,1
转生成蜘蛛又怎样！,9,156738976,4194938,838134,66060,奇幻|穿越|冒险|励志,1
盾之勇者成名录,7.3,211163338,4031244,3575030,244012,小说改|奇幻|魔法|架空,1
NO GAME NO LIFE 游戏人生,9.8,63132304,4200850,1661540,60061,奇幻|智斗|架空|穿越,0
Re：创造主,8.8,90167494,3372812,2523571,29020,科幻|奇幻|原创|穿越,0
平凡职业造就世界最强,5.9,116192081,3055028,1623276,217785,小说改|奇幻|战斗|冒险,1
刀剑神域,9.7,95524087,7188581,3780010,80261,小说改|热血|奇幻|战斗,0
转生成为了只有乙女游戏破灭Flag的邪恶大小姐,9.5,78831790,2864800,1546170,74352,穿越|搞笑|恋爱|乙女,1
贤者之孙,6.7,73594775,2324746,958910,56724,小说改|奇幻|架空|穿越,1
打工吧！魔王大人,9.6,86363452,2187549,1081095,21803,日常|小说改|神魔|职场,0
我，不是说了能力要平均值么！,8.2,57391142,2086347,728674,52622,小说改|穿越|奇幻|萌系,1
Angel Beats!,9.7,14781659,2078660,376380,25993,奇幻|校园|战斗|催泪,0
半妖的夜叉姬,4.8,29676857,2652645,388771,23054,原创|穿越|奇幻|战斗,1
骑士&魔法,8.7,72800193,1976847,1047113,10272,小说改|机战|奇幻|魔法,1
异世界食堂,9.4,45212859,1831061,988429,9853,小说改|奇幻|美食|架空,0
重来吧，魔王大人！,8.2,54608505,1791142,912947,36248,小说改|奇幻|魔法|穿越,1
犬夜叉,9.9,140892208,2652646,3214037,40470,漫画改|热血|穿越|奇幻,0
异界少女召唤术,6.9,32643649,1681919,519351,16849,小说改|奇幻|战斗|魔法,1
问题儿童都来自异世界？,9.2,49506271,1716354,692543,7317,奇幻|战斗|热血|架空,0
我立于百万生命之上,8.3,38969054,1654014,283450,18412,漫画改|穿越,1
魔法少女小圆,9.8,24346875,2196829,979109,33040,奇幻|魔法|穿越|原创,0
记录的地平线 圆桌崩坏,9.7,11827508,1784983,87385,8482,小说改|穿越|战斗,1
实况主的逃脱游戏,9.3,30381615,1595792,418038,20772,漫画改|穿越|冒险,1
Rewrite,8.6,37399562,1930981,1111300,3808,奇幻|校园|穿越,0
ISLAND,9.2,24148394,1469158,327256,11233,游戏改|催泪|推理|治愈,0
Fate/kaleid liner 魔法少女☆伊莉雅 Prisma☆Phantasm,9.6,3987950,1941419,64741,6421,漫画改|校园|魔法|搞笑,1
被神捡到的男人,5.5,33555455,1328897,282102,20574,穿越|日常|小说改|架空,1
COP CRAFT,9.1,24501662,1315040,288653,29987,小说改|职场|奇幻|穿越,1
