番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
紫罗兰永恒花园,9.7,123152300,6777744,3117022,188481,治愈|励志|职场|催泪,1
四月是你的谎言,9.8,140594183,4877386,4614935,55232,少女|音乐|催泪|恋爱,0
Charlotte,9.4,129035712,4170380,2268096,46948,日常|校园|奇幻|催泪,0
我们仍未知道那天所看见的花的名字。,9.5,40697436,3874949,2111108,32959,日常|治愈|催泪|原创,1
樱花庄的宠物女孩,9.7,39575276,3401308,2497726,45591,校园|催泪|恋爱|小说改,0
月色真美,9.8,59384735,3199600,3219025,42929,恋爱|校园|原创|治愈,1
宝石之国,9.7,63847850,3064262,1358244,56850,战斗|架空|励志|催泪,1
CLANNAD,9.8,28847458,3139264,758803,50691,时泪|校园|治愈|催泪,0
可塑性记忆,9.7,60194787,2899740,2558252,26371,科幻|日常|催泪,0
夏目友人帐,9.8,35158258,5319614,1452636,11591,奇幻|日常|治愈|催泪,1
秒速五厘米,9.5,20993149,2542575,669421,16927,催泪|日常,0
龙与虎,9.8,42080974,2512015,2405249,41649,少女|校园|治愈|催泪,0
夏目友人帐 伍,9.7,47790284,5319614,1512743,7282,治愈|催泪|神魔|漫画改,1
Angel Beats!,9.7,14781763,2078663,376380,25993,奇幻|校园|战斗|催泪,0
夏目友人帐 陆,9.8,41245742,5319614,1226244,11332,催泪|奇幻|日常|治愈,1
成神之日,5.8,42486444,1940023,452967,49998,恋爱|催泪|日常|搞笑,1
GOSICK,9.7,6577255,1561494,125002,18817,萌系|奇幻|日常|催泪,1
无能力者娜娜,9.4,35439981,1477587,292475,78501,漫画改|校园|智斗|催泪,1
ISLAND,9.2,24148495,1469165,327256,11233,游戏改|催泪|推理|治愈,0
比宇宙更远的地方,9.8,20151904,1419783,443957,37675,声控|治愈|励志|原创,0
DARKER THAN BLACK -黑之契约者-,9.8,13309260,1458100,310568,9525,奇幻|战斗|热血|催泪,1
CLANNAD ～AFTER STORY～,9.9,18273741,3139264,412158,56970,时泪|校园|治愈|催泪,0
来自风平浪静的明天,9.6,12660632,1206248,602217,19760,奇幻|治愈|催泪|恋爱,0
续 夏目友人帐,9.7,19357633,5319614,1054271,5756,奇幻|日常|治愈|催泪,1
星之梦,9.7,9408589,1140444,260022,5214,催泪|奇幻|治愈,0
夏目友人帐 叁,9.7,16781548,5319614,848487,5563,奇幻|日常|治愈|催泪,1
一周的朋友。,9.7,5263478,1026811,222058,8355,日常|少女|催泪|校园,0
夏目友人帐 肆,9.7,16168199,5319614,781174,5147,奇幻|日常|治愈|催泪,1
花开伊吕波,9.6,12075637,1049914,583468,11812,日常|治愈|催泪|原创,0
赛马娘 第二季,9.9,9166790,1107852,107186,22838,游戏改|运动|偶像|催泪,1
好想告诉你 第一季,9.7,14025979,978034,805953,4946,少女|校园|治愈|催泪,0
AIR,9.7,5348732,898586,86511,6782,奇幻|日常|治愈|催泪,0
只有我不存在的城市,9.7,9508439,833211,152207,25938,推理|治愈|催泪|穿越,1
萤火之森,9.7,4429047,830376,110962,7904,漫画改|神魔|催泪|恋爱,0
昴宿七星,5.8,13618001,777093,235270,10807,小说改|催泪,1
我们仍未知道那天所看见的花的名字。 剧场版,9.6,6307487,3874949,173457,6638,催泪|治愈,1
穿越时空的少女,9.5,3225064,618142,64064,6142,科幻|催泪|校园|穿越,1
TARI TARI,9.7,3314322,526175,86518,4214,日常|音乐|校园|催泪,0
在盛夏等待,9.3,2292891,499202,55127,2219,科幻|催泪|恋爱|原创,0
狼的孩子雨和雪,9.8,2945893,491513,64613,8464,治愈|励志|催泪,1
SOLA,9.4,2509323,446209,65949,2366,治愈|奇幻|催泪,0
悠久之翼,9.7,3097721,464213,107988,2578,催泪|校园|恋爱,0
浪客剑心 追忆篇,9.9,2002978,627487,20579,7186,漫画改|战斗|催泪|历史,1
花牌情缘,8.6,4792811,574361,111147,2851,少女|运动|校园|热血,0
好想告诉你 第二季,9.6,9696606,978034,366102,2667,少女|校园|治愈|催泪,0
浪客剑心 星霜篇,8,572323,627487,3339,458,催泪|战斗|历史,1
四月是你的谎言 OAD,9.7,5683208,4877387,111166,3280,催泪|少女,0
DARKER THAN BLACK -流星的双子-,9.6,3867696,1458101,111637,4717,奇幻|科幻|战斗|热血,1
琴浦小姐,9.3,6835305,328919,258586,3943,日常|催泪|校园|恋爱,0
CLANNAD ～AFTER STORY～另一个世界 杏篇,9.7,2179624,3139263,36606,4693,时泪|校园|治愈|催泪,0
CLANNAD 另一个世界 智代篇,9.8,2169699,3139263,28206,5121,校园|治愈|时泪|催泪,0
快要坏掉的八音盒,9.6,2117819,360600,43587,1032,催泪|少女|治愈,0
KANON / 雪之少女（京都版）,9.7,1798636,325055,78677,3366,少女|治愈|催泪,0
刀语,9.5,2658250,259844,78236,1974,历史|奇幻|战斗|催泪,0
花开伊吕波 Home Sweet Home,9.8,1630804,1049914,22058,3415,催泪|日常|治愈|励志,0
偶像大师,9.8,3094673,259067,279738,2529,校园|音乐|催泪|偶像,0
隐之王,9,1772037,243224,17346,837,催泪|奇幻,0
小鸠,9.7,1808777,242967,45255,1412,萌系|日常|少女|治愈,0
DARKER THAN BLACK -黑之契约者- 外传,9.7,1791688,1458101,36009,2081,奇幻|科幻|战斗|热血,1
被狙击的学园,8.5,1284681,222134,34817,1162,催泪|奇幻|校园|日常,0
天元突破 红莲螺岩 剧场版,9.8,1148039,611851,9196,2577,原创|热血|战斗|科幻,0
星之梦～星之人～,9.8,1616899,1140444,70927,4112,催泪,0
东京地震8.0,9.7,681525,186894,13321,2315,日常|催泪|原创,0
悠久之翼2,9.7,1533394,464213,54125,2323,少女|催泪|校园|恋爱,0
交响诗篇 第一季,9.6,3624151,177268,46271,1849,科幻|热血|催泪|机战,0
剧场版 快要坏掉的八音盒,9.6,2117819,360600,43587,1060,催泪|治愈,0
花牌情缘 第二季,8.5,2269207,574361,69896,1862,少女|运动|校园|热血,0
星空清理者,9.6,1294159,120538,41085,1456,科幻|催泪|漫画改,0
寻找满月,9.8,1728742,97973,29181,633,催泪|少女|治愈|奇幻,0
仰望半月的夜空,9.4,497763,72296,8291,494,奇幻|治愈|小说改|催泪,0
在盛夏等待 特别篇,9.4,447742,499202,2876,425,催泪|恋爱|科幻,0
交响诗篇 AO,7.8,1629203,177268,28504,335,科幻|热血|催泪|机战,0
青之六号,8.9,191374,38149,2293,133,催泪|科幻|战斗|时泪,0
