番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
转生成为了只有乙女游戏破灭Flag的邪恶大小姐,9.5,78832087,2864802,1546173,74352,穿越|搞笑|恋爱|乙女,1
我太受欢迎了该怎么办,9.1,39679363,1502230,1289104,5178,乙女|漫画改|校园,0
欢迎光临樱兰高校,9.9,25851393,1110447,614829,12808,搞笑|日常|少女|校园,0
Code:Realize ～创世的姬君～,9,8822462,581088,96419,1710,恋爱|乙女|游戏改|奇幻,0
失忆症,9.2,7950384,586986,168796,1301,奇幻|乙女,0
明治东京恋伽,9.2,12094646,514022,176744,2742,恋爱|乙女|游戏改|声控,0
月歌,9.6,10585751,636485,538788,2201,乙女|音乐|偶像,0
吸血鬼骑士,9.2,11210592,486830,295419,1506,奇幻|少女|乙女|神魔,0
冷然之天秤,9.4,7751637,403746,122459,1905,乙女|游戏改,0
薄樱鬼,9.2,3959960,420795,155544,744,历史|少女|声控|乙女,0
Dance with Devils,7.9,7031027,310809,375423,405,校园|乙女,0
战刻夜想曲,8.2,4951837,284768,94331,1077,乙女|游戏改|穿越,0
兄弟战争,9.5,5716672,328441,142230,1710,小说改|乙女,0
众神的恶作剧,9,6845883,283281,346990,699,乙女|奇幻,0
Room Mate,7.7,3884729,281992,50437,337,乙女|泡面|原创,0
超心动！艺术之星,9,6061202,241968,117690,450,乙女|音乐,0
歌之☆王子殿下 真爱1000%,9.4,2021604,325852,77964,697,音乐|声控|乙女,0
吸血鬼骑士 Guilty,9.2,11210603,486830,295419,872,恋爱|乙女|少女,0
彩云国物语,9.5,2911795,230791,81052,1059,奇幻|少女|声控|小说改,0
募恋英雄,9,3126526,209262,18357,1004,游戏改|恋爱|乙女|职场,1
歌之☆王子殿下 真爱REVOLUTIONS,9.3,6998125,325852,300774,490,音乐|声控|乙女|偶像,0
枕男子,9,948996,200711,4412,550,日常|乙女,0
魔力家族,8.6,1486765,209751,13189,573,奇幻|乙女|游戏改,0
千枪士,5.8,3449993,188579,29330,1568,乙女|游戏改,0
红伤骑士X,6.3,2050024,185121,58088,124,乙女|科幻|声控,1
梦王国与沉睡的100王子,8.1,2654803,295987,44026,813,乙女|游戏改,1
歌之☆王子殿下 真爱2000%,9.3,2985832,325852,171005,455,音乐|声控|乙女,0
薄樱鬼 御伽草子,9.6,2935414,119755,31725,291,萌系|乙女|泡面,0
薄樱鬼 碧血录,9.3,3959960,420795,155544,332,历史|声控|乙女,0
金色琴弦～primo passo～,9.6,1086595,123884,26528,423,音乐|乙女,0
STARRY☆SKY,8.7,632883,99656,4656,145,乙女|校园|日常,0
绯色的欠片 第一季,7.4,1363783,87778,31774,162,奇幻|乙女,0
薄樱鬼 黎明录,9.1,1157578,420795,53528,218,历史|声控|乙女,0
遥远时空中 八叶抄,9,978732,77660,24818,128,奇幻|乙女|架空|穿越,0
彩云国物语 第二季,9.5,1609289,230791,25636,382,奇幻|少女|声控|小说改,0
薄樱鬼 雪华录,9.3,820536,420795,23004,167,历史|声控|乙女,0
失忆症 SP,9.3,724597,586986,21613,212,乙女|治愈,0
金色琴弦～Secondo Passo～,9.2,264654,123884,3135,114,音乐|乙女,0
金色琴弦 Blue♪Sky,7.5,565224,123884,7080,101,音乐|乙女,0
魔力家族 La prima festa,9,232637,209751,673,130,乙女|奇幻,0
只想受你欢迎,5,466010,37541,3062,927,原创|恋爱|乙女|声控,1
MARGINAL#4 从KISS开始创造Big Bang,9.5,227898,21387,2089,222,游戏改|乙女|偶像,1
