番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
刀剑神域 爱丽丝篇 异界战争 -终章-,4.8,84286193,7188484,1558318,303776,小说改|穿越|架空|科幻,1
某科学的超电磁炮T,9.8,172488912,6923300,2553239,113707,漫画改|战斗|科幻|校园,1
刀剑神域 爱丽丝篇 异界战争,9.1,88642447,7188482,1054473,53023,小说改|穿越|科幻|架空,1
异度侵入 ID:INVADED,9.8,107769436,4055515,1487373,289738,原创|科幻|推理,1
Ｄｒ．ＳＴＯＮＥ 石纪元  (第二季),9.7,51781974,3816188,303615,19841,漫画改|热血|科幻|冒险,1
Re：创造主,8.8,90164207,3372726,2523561,29016,科幻|奇幻|原创|穿越,0
魔法禁书目录 第一季,9,70831684,4959982,3693179,15147,科幻|校园|战斗|热血,0
全员恶玉,6.3,90085625,3047673,657091,83923,原创|战斗|架空|科幻,1
Ｄｒ．ＳＴＯＮＥ 石纪元,9.7,131451872,3816185,1290841,70790,漫画改|科幻|励志|冒险,1
魔法禁书目录 第三季,8,94257899,4959982,1518202,55902,小说改|热血|科幻|奇幻,1
可塑性记忆,9.7,60192179,2899601,2558217,26367,科幻|日常|催泪,0
刀剑神域,9.7,95511810,7188484,3779946,80258,小说改|热血|奇幻|战斗,0
某科学的一方通行,6.6,63772391,2695479,1150067,68437,漫画改|科幻|战斗|魔法,1
CAROLE & TUESDAY,9.7,63302051,2261910,1034621,100671,原创|科幻|音乐|励志,1
幻界战线,9.6,57363939,2811446,814772,13092,科幻|热血|战斗,0
装甲重拳/MEGALOBOX 第二季,9.9,5934633,2117227,27271,4298,原创|热血|科幻|运动,1
装甲重拳/MEGALOBOX,9.8,48007910,2117218,439317,64038,运动|科幻|原创|热血,1
魔法禁书目录 第二季,9.1,45245774,4959982,2456691,11359,科幻|校园|战斗|热血,0
没落要塞 / DECA-DENCE,9.7,29427601,1582417,271695,36695,原创|科幻|架空|冒险,1
碧蓝航线,8.1,32189447,1698996,691988,26123,游戏改|战斗|萌系|架空,1
EVA 新世纪福音战士,9.7,38998802,1839847,773145,38116,科幻|机战|战斗,0
ReLIFE,9.9,13899946,1495044,192073,27525,校园|恋爱|搞笑|治愈,1
迪迦奥特曼（中配）,9.9,47573482,1903109,634872,57938,战斗|科幻|热血|特摄,0
无限系统树,6.1,35943327,1247821,393328,14900,小说改|穿越|奇幻|战斗,1
时钟机关之星,8.2,26451256,1230891,479928,3545,小说改|科幻|架空,0
噬神者,9.4,33463811,1200721,447725,4442,奇幻|科幻|热血|游戏改,0
DARLING in the FRANXX（僅限港澳台地區）,8.9,5787697,1130694,260861,20461,科幻|原创|架空,0
哆啦A梦 第一季,9.8,8048611,1473706,58357,3163,漫画改|日常|少儿|搞笑,1
加速世界,8.7,19008355,1240192,822892,6877,科幻|校园|战斗|热血,0
刻刻,9.3,17613822,1075679,265836,12330,科幻|漫画改,0
迪迦奥特曼,9.9,14556630,1903112,105207,17681,科幻|战斗|热血|特摄,0
刀剑神域：序列之争,9.4,31566539,7188484,892136,13861,科幻|动画|冒险,0
ReLIFE 完结篇,9.9,10884822,1495046,142096,54259,恋爱|科幻|校园|漫画改,0
泽塔奥特曼,9.9,16078497,1903110,127935,11831,热血|战斗|科幻|特摄,0
攻壳机动队,9.9,1011855,943147,4923,2500,漫画改|科幻|战斗,1
奈克赛斯奥特曼,9.8,6724497,1903118,59042,6501,热血|战斗|科幻|特摄,0
非枪人生 第二季,9.3,4106348,918905,21659,2172,漫画改|战斗|科幻,1
重装武器,9.3,33305881,820388,708234,3497,热血|机战|科幻|战斗,0
超时空要塞Δ,9,33009289,818585,874516,3133,机战|科幻|恋爱|战斗,0
Caligula 卡里古拉,8.7,13389037,816679,192878,7578,战斗|游戏改|科幻,0
来自新世界,9.6,8846742,814934,359212,10040,奇幻|科幻|架空|小说改,0
境界线上的地平线,9.3,10060378,864508,175552,2533,科幻|战斗|小说改|架空,0
梦比优斯奥特曼,9.8,6374153,1903121,69307,4147,热血|战斗|科幻|特摄,0
雷欧奥特曼,9.2,5184786,1903124,56876,3603,热血|战斗|科幻|特摄,0
盖亚奥特曼（中配）,9.9,7607029,1903124,87611,5494,热血|战斗|科幻|特摄,0
欧布奥特曼,9.8,3959766,1903121,29893,2576,热血|战斗|科幻|特摄,0
麦克斯奥特曼,9.8,2881520,1903124,23364,2524,热血|战斗|科幻|特摄,0
捷德奥特曼,9.4,3964887,1903124,25540,1721,热血|战斗|科幻|特摄,0
高斯奥特曼,9.7,2570263,1903124,20610,1774,热血|战斗|科幻|特摄,0
ULTRAMAN 机动奥特曼,9.5,30937448,1903124,448525,18718,漫画改|奇幻|科幻|战斗,0
赛罗奥特曼 英雄传,9.6,2918488,1903126,16859,1098,热血|战斗|科幻|特摄,0
戴拿奥特曼（中配）,9.4,4800394,1903113,41891,2274,热血|战斗|科幻|特摄,0
艾克斯奥特曼,9.8,2766766,1903124,19764,2166,热血|战斗|科幻|特摄,0
泰迦奥特曼,8.9,1201565,1903108,9492,1175,热血|战斗|科幻|特摄,1
欧布奥特曼 原生之初,5,1145480,1903126,4450,1439,热血|战斗|科幻|特摄,0
罗布奥特曼,8.5,779902,1903121,6227,1783,热血|战斗|科幻|特摄,1
雷欧奥特曼（中配）,8.9,2146216,1903126,14973,927,热血|战斗|科幻|特摄,0
攻壳机动队 SAC_2045,9.6,4853482,943145,43856,4599,漫画改|科幻,1
赛罗奥特曼 英雄传（中配）,9.2,965726,1903110,2040,199,热血|战斗|科幻|特摄,0
捷德奥特曼（中配）,9.3,1223275,1903110,4061,270,热血|战斗|科幻|特摄,0
泰迦奥特曼（中配）,8.4,364010,1903126,767,174,热血|战斗|科幻|特摄,1
欧布奥特曼（中配）,9.4,642967,1903110,1980,211,热血|战斗|科幻|特摄,0
罗布奥特曼（中配）,7.4,253380,1903118,170,213,热血|战斗|科幻|特摄,1
欧布奥特曼 原生之初（中配）,6,418398,1903126,552,198,热血|科幻|战斗|特摄,0
艾克斯奥特曼（中配）,9.5,609369,1903126,1254,228,热血|战斗|科幻|特摄,0
非枪人生,7.5,12035329,918905,78521,15911,漫画改|科幻|冒险,1
魔法禁书目录 剧场版,9,8359069,4959982,434533,4353,科幻|校园|战斗|热血,0
revisions,8.8,9416880,620520,108480,9813,机战|科幻|战斗|原创,1
穿越时空的少女,9.5,3224813,618108,64063,6142,科幻|催泪|校园|穿越,1
少女与战车,9.6,8171271,685594,382775,8551,科幻|智斗|日常,1
攻壳机动队 STAND ALONE COMPLEX,9.8,8169656,943145,159648,4569,科幻|热血|智斗,0
超次元游戏 海王星,9.7,4955896,596392,146583,3554,科幻|热血|奇幻|少女,0
星之声,9.1,3056935,579758,23738,1270,科幻|少女|治愈|机战,0
环太平洋：黑色禁区,6.3,9167715,565854,74051,6063,战斗|科幻|机战|原创,1
刀剑神域 Extra Edition,8.7,13097342,7188485,199921,4345,小说改|热血|战斗|科幻,0
命运石之门 负荷领域的既视感,9.8,6363061,1963804,234769,10467,科幻|穿越,0
机动战士高达独角兽(UC) RE:0096,9.4,26599329,522497,291863,3833,热血|机战|科幻|战斗,0
OVERLORD SP,9.4,41120981,8682566,48597,3859,科幻|奇幻|战斗|日常,0
机动战士高达 铁血的奥尔芬斯 第一季,9.4,14611407,563149,221477,6263,热血|机战|科幻|战斗,0
高达创形者 再起 第二季,9.8,10233152,564697,142494,13180,原创|热血|科幻|机战,0
天元突破红莲螺岩,9.8,8173351,611763,131462,16651,热血|科幻|励志|机战,0
在盛夏等待,9.3,2292415,499163,55126,2219,科幻|催泪|恋爱|原创,0
战翼的希格德莉法,9.1,5276609,459441,54619,4570,原创|科幻,1
在世界尽头咏唱恋曲的少女YU-NO,6.8,2156606,459321,18004,1672,游戏改|科幻|恋爱|声控,1
机动战士高达00,9.6,12781743,516807,223700,4666,科幻|热血|机战,0
凉宫春日的忧郁 2006,9.7,2363946,1177726,23621,3213,时泪|奇幻|搞笑|科幻,1
机甲少女 FRAME ARMS GIRL,9.1,5894331,443805,196398,811,机战|科幻|原创,0
重神机潘多拉,6.6,6966648,489483,100450,4910,机战|原创|科幻,1
宇宙战舰提拉米斯,9.2,10477384,466622,64402,2336,搞笑|机战|科幻,0
EVA 新世纪福音战士新剧场版1.11：序,9.7,7290884,1839847,94949,4703,科幻|机战|战斗,0
革命机Valvrave,9.8,7339077,420484,230065,95472,机战|科幻|战斗|原创,0
机动战士高达SEED HD,9.6,18552149,483244,459869,5484,科幻|机战,0
人类衰退之后,9.8,2322672,384086,25621,3356,科幻|日常|小说改,0
钢壳都市雷吉欧斯,8,2741119,374290,34559,1144,科幻|热血|战斗|架空,0
EVA 新世纪福音战士新剧场版3.33：Q,8.9,6804558,1839850,120051,6602,机战|科幻|战斗,0
泽塔奥特曼（中配）,9.3,2350135,1903126,11891,614,热血|战斗|科幻|特摄,0
笑容的代价,4.2,6511269,364206,53306,8737,科幻|战斗|原创|机战,1
全部成为F -THE PERFECT INSIDER-,9.2,5916039,349817,117208,1715,科幻|智斗|推理,0
Punch Line,9.3,2441827,344939,6089,1463,搞笑|科幻|原创,1
EVA 新世纪福音战士新剧场版2.22：破,9.7,6842090,1839850,146280,5453,原创|科幻|机战|战斗,0
