番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
鬼灭之刃,9.7,648157958,10430052,9093821,367676,漫画改|战斗|热血|声控,1
工作细胞,9.6,209839736,8925739,4418170,69907,搞笑|战斗|日常|声控,1
徒然喜欢你,9.7,132681413,5051786,2872010,43517,恋爱|校园|漫画改|搞笑,0
命运-冠位指定 绝对魔兽战线 巴比伦尼亚,9.4,137680752,4607292,1637030,136929,游戏改|奇幻|战斗|冒险,1
Fate/Zero 第一季,9.6,96360867,3778495,3571106,19292,时泪|奇幻|战斗|热血,0
路人女主的养成方法 ♭,9.7,19340912,4417222,288111,21460,小说改|恋爱|校园|社团,1
碧蓝之海,9.9,96449807,3147167,889375,97986,搞笑|校园|社团|运动,1
工作细胞BLACK,9.8,63453547,2765003,611782,30954,漫画改|战斗|声控,1
炎炎消防队 贰之章,9.1,54538035,2997919,430179,17003,漫画改|热血|战斗|声控,1
女高中生的虚度日常,9.8,56411344,2504319,1031680,66728,日常|漫画改|校园|搞笑,1
Fate/Zero 第二季,9.6,96313428,3778495,3571086,16681,时泪|奇幻|战斗|热血,0
K,9.4,23374610,3027221,673085,6460,奇幻|战斗|声控,1
无论何时我们的恋情都是10厘米。～告白实行委员会～,9.6,17661732,2356883,295212,11329,恋爱|音乐|原创|校园,0
碧蓝航线,8.1,32191132,1699083,692005,26123,游戏改|战斗|萌系|架空,1
K RETURN OF KINGS,9.3,68613727,3027221,1177902,5338,奇幻|战斗|声控|原创,1
比宇宙更远的地方,9.8,20151885,1419782,443957,37675,声控|治愈|励志|原创,0
无头骑士异闻录,9.6,18210237,1695032,952202,7392,奇幻|日常|声控|小说改,0
魔王勇者,9.5,10057634,1361013,187189,11777,奇幻|少女|声控|神魔,1
忧国的莫里亚蒂 后半,9.8,2311556,1319932,23098,1444,漫画改|架空|声控|智斗,1
不吉波普不笑,9.7,21537053,1231037,256121,20770,小说改|奇幻|校园|声控,1
超人高中生们即便在异世界也能从容生存！,3.6,28745069,1227874,566557,100909,小说改|穿越|奇幻|冒险,1
忧国的莫里亚蒂,9.6,18422375,1319933,179568,15880,漫画改|智斗|声控|架空,1
黑子的篮球,9.1,19308163,1207316,915773,3014,运动|热血|声控|社团,1
滑头鬼之孙,9.4,10294937,1010683,153056,4725,奇幻|战斗|热血|声控,0
从很久以前就喜欢你了。～告白实行委员会～,9.6,8071270,2356883,209396,2824,恋爱|音乐|校园|声控,1
暗黑破坏神在身边。,9.2,14219552,769142,179887,11541,漫画改|日常|搞笑|声控,1
永生之酒,9.7,4578982,734393,106004,7614,时泪|奇幻|声控|小说改,0
猎兽神兵,8.2,16596533,730059,175143,7779,漫画改|战斗|声控|奇幻,1
怪病医拉姆尼,9.3,10186648,723954,73956,5847,漫画改|奇幻|声控,1
黑塔利亚 Axis Powers,9.5,18146814,990527,670718,3462,萌系|泡面|声控|日常,0
荒川爆笑团,9.7,5917844,727599,111535,5291,搞笑|日常|声控,0
迷糊餐厅 WORKING!!,9.5,4910482,787306,86512,3002,搞笑|日常|声控|美食,1
剧场版 K Seven Stories,9.7,9641031,3027223,196580,5663,奇幻|战斗|声控|原创,1
revisions,8.8,9417641,620582,108481,9815,机战|科幻|战斗|原创,1
月歌。THE ANIMATION2,7.9,2185861,636484,23228,596,原创|声控|偶像|日常,1
丹特丽安的书架,9.7,3571749,564554,64978,5383,奇幻|治愈|声控|冒险,0
喜欢上你的那个瞬间。～告白实行委员会～,9.6,5223600,2356883,85321,2349,恋爱|校园|声控,1
歌舞伎町夏洛克,7.5,12381989,554100,159094,9910,原创|推理|冒险|声控,1
无头骑士异闻录×2 转,9.5,13038816,1695032,535344,2080,奇幻|日常|声控|小说改,0
IDOLiSH7-偶像星愿- Second BEAT!,9.8,4544494,652273,85924,3870,游戏改|声控|偶像,1
黑子的篮球 第3期,9.3,49900924,1207316,1885425,2256,运动|热血|声控|社团,1
深夜的超自然公务员,7.6,10771935,527250,74339,3332,漫画改|奇幻|职场|声控,1
目隐都市的演绎者,9.6,4222897,522184,69078,6787,奇幻|声控|励志|音乐,0
无头骑士异闻录×2 承,9.5,18142759,1695032,683243,2295,奇幻|日常|声控|小说改,0
明治东京恋伽,9.2,12094646,514022,176744,2742,恋爱|乙女|游戏改|声控,0
KARNEVAL狂欢节,9.6,4750790,505840,147005,1706,奇幻|战斗|声控|架空,0
魔笛MAGI 辛巴达的冒险,9.5,11652145,1112858,187994,1378,奇幻|战斗|架空|冒险,0
BanG Dream! 梦想协奏曲 电影演唱会,9.8,891159,671540,23903,3969,音乐|社团|少女|声控,1
在世界尽头咏唱恋曲的少女YU-NO,6.8,2157124,459330,18004,1672,游戏改|科幻|恋爱|声控,1
重创的伤口,6.3,4356835,455007,16648,957,奇幻|声控|战斗,1
K MISSING KINGS,9.4,7505106,3027223,197375,1792,奇幻|战斗|声控,0
黑子的篮球 第2期,9.2,15288506,1207316,924424,1730,运动|热血|声控|社团,1
无头骑士异闻录×2 结,9.4,9912103,1695029,404869,2900,奇幻|日常|声控,0
黑塔利亚 The World Twinkle 第6期,9.7,22172804,990527,447830,3227,萌系|日常|泡面|声控,0
写真女友,9.2,9646901,429514,228203,1728,日常|声控|游戏改,0
滑头鬼之孙 第二季,9.6,8052106,1010683,97953,3297,奇幻|战斗|热血|声控,0
迷糊餐厅 WORKING!!!,9.7,13277430,787306,334142,2806,搞笑|日常|声控|美食,1
魔法科高校的劣等生 简单易懂的魔法科！,4.6,7569727,1628282,10777,3205,校园|搞笑|战斗|日常,0
DOG DAYS,9.3,2789679,424614,80827,1128,少女|战斗|热血|声控,1
薄樱鬼,9.2,3959960,420795,155544,744,历史|少女|声控|乙女,0
异界群敌 代码重组,6.1,4293129,328099,32517,1484,游戏改|战斗|科幻|萌系,1
ALDNOAH.ZERO,9.1,5432514,339721,45378,4536,原创|科幻|架空|机战,1
女神异闻录4,9.7,4544478,297668,111362,1776,热血|奇幻|校园|战斗,1
跟班×服务,9.6,2823374,290474,203168,1842,萌系|搞笑|日常|声控,0
