番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
鬼灭之刃,9.7,648157958,10430052,9093821,367676,漫画改|战斗|热血|声控,1
鬼灭之刃（中配）,9.1,106639579,10430053,575819,14220,漫画改|热血|战斗|励志,1
紫罗兰永恒花园,9.7,123152300,6777744,3117022,188481,治愈|励志|职场|催泪,1
刀剑神域 Alicization,8.3,169130266,7188588,3082669,84134,小说改|热血|奇幻|战斗,1
转生成蜘蛛又怎样！,9,156747226,4195033,838153,66060,奇幻|穿越|冒险|励志,1
樱花庄的宠物女孩,9.7,39575276,3401308,2497726,45591,校园|催泪|恋爱|小说改,0
约定的梦幻岛 第二季,2.7,33844113,3870204,322724,106341,漫画改|热血|冒险|励志,1
约定的梦幻岛,9.8,68900949,3870204,868847,75537,热血|智斗|励志|漫画改,1
宝石之国,9.7,63847850,3064262,1358244,56850,战斗|架空|励志|催泪,1
Ｄｒ．ＳＴＯＮＥ 石纪元,9.7,131456181,3816213,1290883,70791,漫画改|科幻|励志|冒险,1
刀剑神域,9.7,95524730,7188588,3780021,80261,小说改|热血|奇幻|战斗,0
CAROLE & TUESDAY,9.7,63303196,2261939,1034624,100671,原创|科幻|音乐|励志,1
甘城光辉游乐园,9.7,26152095,2163940,657594,22660,日常|奇幻|励志|职场,0
Love Live! School Idol Project,9.7,22438995,1767742,1836054,11067,校园|音乐|偶像|社团,0
比宇宙更远的地方,9.8,20151885,1419782,443957,37675,声控|治愈|励志|原创,0
强风吹拂,9.9,32056226,1326857,515528,61536,运动|励志|小说改|热血,1
吹响吧！上低音号,9.8,28687638,1481917,673772,16665,音乐|校园|少女|励志,0
灰与幻想的格林姆迦尔,9.8,13818328,1291417,298974,28397,奇幻|战斗|小说改|励志,0
3月的狮子,9.8,22184426,1345431,364001,10005,漫画改|恋爱|日常|励志,0
Little Busters!,9.7,10058061,1137123,263674,4287,校园|日常|治愈|励志,0
花开伊吕波,9.6,12075637,1049914,583468,11812,日常|治愈|催泪|原创,0
少女编号,9.2,12633061,908997,377463,4094,搞笑|励志|原创|职场,0
吹响吧！上低音号 第二季,9.9,5330165,1481917,160730,15970,日常|校园|励志|音乐,1
黑子的篮球,9.1,19308163,1207316,915773,3014,运动|热血|声控|社团,1
吹响吧！上低音号～誓言的终章～,9.9,2747540,1481917,107263,17616,日常|校园|励志|音乐,1
樱花任务,9.4,11707172,828830,407054,5256,励志|职场|原创,0
佐贺偶像是传奇 卷土重来,9.8,4470852,763247,40503,935,原创|偶像|搞笑|音乐,1
吹响吧！上低音号～想要传达的旋律～,9.8,1080965,1481916,14595,3696,小说改|日常|校园|萌系,1
吹响吧！上低音号～欢迎来到北宇治高中吹奏乐部～,9.8,1048957,1481917,15235,3252,小说改|日常|萌系|校园,1
神推偶像登上武道馆我就死而无憾,9.8,11250479,625297,289787,20271,漫画改|日常|偶像|萌系,1
排球少年！！,9.9,15070607,741121,283139,25513,漫画改|热血|校园|运动,1
精灵宝可梦 无印,9.8,28430887,1567095,827908,5645,热血|战斗|励志|架空,1
月歌。THE ANIMATION2,7.9,2185861,636484,23228,596,原创|声控|偶像|日常,1
3月的狮子 第二季,9.8,12935594,1345431,256091,17709,日常|励志|漫画改,0
听我的电波吧,9.8,7667042,533660,113311,14126,职场|励志|搞笑|漫画改,1
目隐都市的演绎者,9.6,4222897,522184,69078,6787,奇幻|声控|励志|音乐,0
舞动青春,9.6,17044176,519011,340016,9305,运动|漫画改|励志,0
TARI TARI,9.7,3314322,526175,86518,4214,日常|音乐|校园|催泪,0
爱书的下克上：为了成为图书管理员不择手段！ 第二部,9.6,6108129,577918,98116,7758,小说改|穿越|架空|励志,1
天元突破红莲螺岩,9.8,8176126,611851,131506,16655,热血|科幻|励志|机战,0
狼的孩子雨和雪,9.8,2945893,491513,64613,8464,治愈|励志|催泪,1
BanG Dream!,9.5,8175223,671540,219818,3331,校园|音乐|社团|日常,0
爱书的下克上：为了成为图书管理员不择手段！,9.5,10254404,577918,164485,10700,小说改|穿越|架空|励志,1
花牌情缘 第三季,7.8,6787551,574361,78844,9344,漫画改|热血|恋爱|少女,1
偶像大师 灰姑娘女孩,9.3,7368654,543501,224292,1175,音乐|偶像|励志|少女,0
食梦者,9.8,5183285,451602,183287,4415,日常|热血|励志|职场,1
花牌情缘,8.6,4792811,574361,111147,2851,少女|运动|校园|热血,0
Little Busters! ～Refrain～,9.8,3244947,1137123,72058,5206,校园|励志|游戏改,0
中间管理录利根川,9.6,9541078,354736,84149,4680,搞笑|日常|励志|职场,1
体操武士,9.8,3520123,321266,29080,6269,运动|搞笑|治愈|励志,1
精灵宝可梦 XY,9.2,14228155,1567095,465031,1725,热血|战斗|励志,1
加速世界 Infinite Burst,8.7,4279259,1240249,131952,1022,小说改|恋爱|战斗|励志,1
2.43清阴高中男子排球社,8.7,2008096,268569,17323,1442,小说改|运动|社团|励志,1
十二国记,9.8,8151667,266682,167112,3820,时泪|奇幻|小说改|励志,0
纯白之音,9.7,1412988,256724,12762,912,漫画改|音乐|励志,1
花开伊吕波 Home Sweet Home,9.8,1630804,1049914,22058,3415,催泪|日常|治愈|励志,0
编舟记,9.7,2724916,244505,47633,2348,励志|职场|小说改,0
Little Busters! EX,9.7,1525475,1137123,30431,1730,校园|日常|治愈|励志,0
天元突破 红莲螺岩 剧场版,9.8,1148039,611851,9196,2577,原创|热血|战斗|科幻,0
琴之森,9.5,3678059,312709,29340,1383,音乐|治愈|励志|漫画改,0
青春歌舞伎,9,2106706,194742,42553,292,校园|社团|励志,0
精灵宝可梦 超世代,9.6,8446917,1567095,241329,1171,热血|战斗|励志|架空,1
麻辣教师GTO,9.8,6860480,164469,184647,3341,时泪|搞笑|日常|热血,0
精灵宝可梦 钻石&珍珠,9.6,8042368,1567095,206946,1106,热血|战斗|励志|游戏改,1
坂道上的阿波罗,9.6,890423,140377,24984,1268,音乐|治愈|励志|校园,0
偶像大师 灰姑娘女孩 第2期,9.2,2852280,543501,103077,753,音乐|励志|偶像|少女,0
花牌情缘 第二季,8.5,2269207,574361,69896,1862,少女|运动|校园|热血,0
精灵宝可梦 超级愿望,7.3,3890119,1567095,100730,681,热血|战斗|励志|架空,1
食梦者。3,9.8,2548120,451602,101988,3586,日常|热血|励志|职场,1
星梦手记,8.4,1845336,113462,38097,102,科幻|偶像|励志|原创,0
食梦者。2,9.7,2494660,451602,113029,2030,日常|热血|励志|职场,1
卡片战斗先导者overDress,8.6,563816,103345,4468,252,热血|游戏改|励志,1
ARGONAVIS from BanG Dream! 梦想协奏曲,9.5,1813046,102963,20390,1064,音乐|偶像|励志,1
王牌投手 振臂高挥,9.7,1462970,97480,24814,1140,运动|治愈|热血|声控,0
琴之森 第二季,9.1,1786594,312709,13045,744,音乐|治愈|励志|漫画改,0
棒球英豪 TV版,9.8,4120225,81221,164642,1709,日常|少女|运动|热血,0
BT21 UNIVERSE动画,9.8,1728659,116201,36680,6203,日常|偶像|励志|原创,0
宇宙兄弟,9.8,1315414,67284,64450,832,科幻|日常|治愈|热血,0
BanG Dream! OVA,9.2,716828,671540,9200,695,音乐|校园|社团|日常,0
