番剧名称,评分,播放量,追番人数,弹幕总数,评分人数,类型,是否为大会员
堀与宫村,9.8,153271456,5439742,1882689,122234,漫画改|校园|恋爱|少女,1
四月是你的谎言,9.8,140584574,4877171,4614868,55228,少女|音乐|催泪|恋爱,0
地缚少年花子君,9.4,65007965,3337632,1616776,68825,漫画改|搞笑|少女|奇幻,1
月刊少女野崎君,9.8,33772598,3175627,645374,46716,搞笑|校园|少女|漫画改,0
魔卡少女樱 CLEAR CARD篇,9.8,58576746,3708153,2096553,46148,少女|魔法|漫画改,0
龙与虎,9.8,42075678,2511875,2405197,41643,少女|校园|治愈|催泪,0
元气少女缘结神◎,9.6,31317887,2644261,646559,6292,奇幻|少女|神魔,0
会长是女仆大人！,9.8,42974512,2271633,909354,21248,日常|少女|校园|恋爱,0
言叶之庭,9.7,19224091,2218371,704179,18408,日常|少女|治愈,0
玉子市场,9.8,26855983,2891563,860521,24571,萌系|少女|治愈|日常,0
属性咖啡厅,9.6,40257318,2017151,1136787,22223,萌系|少女|日常|漫画改,0
玉子爱情故事,9.9,14417041,2891559,532614,29002,校园|少女|恋爱,0
邻座的怪同学,9.6,47338292,1813752,1222703,12491,搞笑|少女|校园,0
百变小樱,9.8,53808482,3708152,3732391,20082,少女|魔法,0
魔王勇者,9.5,10053440,1360750,187157,11776,奇幻|少女|声控|神魔,1
青春之旅,9.5,12320362,1347335,386400,6201,少女|恋爱|校园,0
吹响吧！上低音号,9.8,28685648,1481818,673737,16665,音乐|校园|少女|励志,0
赤发白雪姬 第一季,9.7,26275447,1369575,1003001,4577,少女|奇幻|架空,0
欢迎光临樱兰高校,9.9,25848286,1110377,614822,12805,搞笑|日常|少女|校园,0
水果篮子 第二季,9.6,8144762,1231297,99724,4825,漫画改|奇幻|校园|恋爱,1
银仙,9.7,34237097,1047450,2914248,4280,萌系|搞笑|日常|治愈,0
一周的朋友。,9.7,5262654,1026749,222040,8355,日常|少女|催泪|校园,0
恋爱随意链接,9.6,7141881,965851,279620,12650,日常|少女|校园|小说改,0
水果篮子 (2019),9.7,17085338,1231300,263315,9684,漫画改|奇幻|校园|恋爱,1
好想告诉你 第一季,9.7,14024427,977992,805940,4946,少女|校园|治愈|催泪,0
俺物语！！,9.9,14438225,895102,547630,42528,漫画改|日常|校园|恋爱,1
云之彼端，约定的地方,8.9,5158099,836158,64413,1424,少女|治愈,0
放学后海堤日记,9.8,11104501,790098,175902,12621,漫画改|搞笑|日常|少女,1
关于完全听不懂老公在说什么的事 第二季,9.7,40345571,1354751,196235,6305,日常|少女|泡面,0
晨曦公主,9.7,27052453,774380,466821,4674,少女|奇幻|架空|冒险,0
尽管如此世界依然美丽,9.6,8011100,697556,182772,5026,治愈|少女|漫画改|架空,0
这爱情有点奇怪,9.3,6563056,670349,74064,5669,漫画改|少女|恋爱,1
圣女魔力无所不能,9.4,3823095,669625,33033,1837,小说改|穿越|少女,1
稻荷恋之歌,9.1,9813523,602706,267075,2521,少女|奇幻|恋爱,0
赤发白雪姬 第二季,9.7,15723301,1369575,484902,2927,奇幻|少女|架空,0
超次元游戏 海王星,9.7,4955954,596394,146583,3554,科幻|热血|奇幻|少女,0
NANA,9.8,9885076,595920,326179,4855,日常|少女|音乐,1
星之声,9.1,3056952,579762,23738,1270,科幻|少女|治愈|机战,0
只要你说你爱我,7.8,5171612,585423,162596,2383,日常|少女|恋爱,0
